# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.311
metadata : {}


# id : NWRW1800000030.311.1.1
日, 대형 잠수함 늘리고 美는 7함대 항모 증편

日,	日/SH+,/SP
대형	대형/NNG
잠수함	잠수함/NNG
늘리고	늘리/VV+고/EC
美는	美/SH+는/JX
7함대	7/SN+함대/NNG
항모	항모/NNG
증편	증편/NNG


# id : NWRW1800000030.311.2.1
•긴장하는 주변국

•긴장하는	•/SW+긴장/NNG+하/XSV+는/ETM
주변국	주변국/NNG


# id : NWRW1800000030.311.3.1
중국의 첫 항공모함 진수가 코앞으로 다가오면서 중국의 주변국들이 긴장하고 있다

중국의	중국/NNP+의/JKG
첫	첫/MMN
항공모함	항공/NNG+모함/NNG
진수가	진수/NNG+가/JKS
코앞으로	코앞/NNG+으로/JKB
다가오면서	다가오/VV+면서/EC
주변국들이	주변국/NNG+들/XSN+이/JKS
긴장하고	긴장/NNG+하/XSV+고/EC
있다	있/VX+다/EF


# id : NWRW1800000030.311.4.1
중국 항모가 가장 먼저 실전 배치될 가능성이 큰 곳으로는 남중국해와 동중국해가 꼽힌다.

중국	중국/NNP
항모가	항모/NNG+가/JKS
가장	가장/MAG
먼저	먼저/MAG
실전	실전/NNG
배치될	배치/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
곳으로는	곳/NNG+으로/JKB+는/JX
남중국해와	남중국해/NNP+와/JC
동중국해가	동중국해/NNP+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.311.4.2
이 지역에서 중국과 영토 분쟁 중인 일본과 베트남 등은 대응책 마련에 분주한 상황이다.

이	이/MMD
지역에서	지역/NNG+에서/JKB
중국과	중국/NNP+과/JKB
영토	영토/NNG
분쟁	분쟁/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
일본과	일본/NNP+과/JC
베트남	베트남/NNP
등은	등/NNB+은/JX
대응책	대응책/NNG
마련에	마련/NNG+에/JKB
분주한	분주/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.311.5.1
일본은 지난해 중국의 항모 개발에 대비, 대형 잠수함 보유 대수를 대폭 늘리는 것을 골자로 한 신방위대강을 마련했다.

일본은	일본/NNP+은/JX
지난해	지난해/NNG
중국의	중국/NNP+의/JKG
항모	항모/NNG
개발에	개발/NNG+에/JKB
대비,	대비/NNG+,/SP
대형	대형/NNG
잠수함	잠수함/NNG
보유	보유/NNG
대수를	대수/NNG+를/JKO
대폭	대폭/MAG
늘리는	늘리/VV+는/ETM
것을	것/NNB+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
