# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.165
metadata : {}


# id : NWRW1800000038.165.1.1
[길] 탈북아이들 보듬어주는 두 번째 엄마

[길]	[/SS+길/NNG+]/SS
탈북아이들	탈북/NNG+아이/NNG+들/XSN
보듬어주는	보듬/VV+어/EC+주/VX+는/ETM
두	두/MMN
번째	번/NNB+째/XSN
엄마	엄마/NNG


# id : NWRW1800000038.165.2.1
두리하나국제학교 김다해 교사

두리하나국제학교	두리하나국제학교/NNP
김다해	김다해/NNP
교사	교사/NNG


# id : NWRW1800000038.165.3.1
서울 방배동의 탈북 학생 대안학교인 '두리하나국제학교'는 지난 18일 2배 넓은 맞은편 건물 5층으로 이사했다.

서울	서울/NNP
방배동의	방배동/NNP+의/JKG
탈북	탈북/NNG
학생	학생/NNG
대안학교인	대안/NNG+학교/NNG+이/VCP+ㄴ/ETM
'두리하나국제학교'는	'/SS+두리하나국제학교/NNP+'/SS+는/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
2배	2/SN+배/NNG
넓은	넓/VA+은/ETM
맞은편	맞은편/NNG
건물	건물/NNG
5층으로	5/SN+층/NNG+으로/JKB
이사했다.	이사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.165.3.2
12명이던 학생이 25명으로 늘어나 공간이 비좁았다.

12명이던	12/SN+명/NNB+이/VCP+던/ETM
학생이	학생/NNG+이/JKS
25명으로	25/SN+명/NNB+으로/JKB
늘어나	늘어나/VV+아/EC
공간이	공간/NNG+이/JKS
비좁았다.	비좁/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.165.4.1
학생이 늘어난 것은 탈북자 교사 김다해(가명·여·35)씨 때문이다.

학생이	학생/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
탈북자	탈북자/NNG
교사	교사/NNG
김다해(가명·여·35)씨	김다해/NNP+(/SS+가명/NNG+·/SP+여/NNG+·/SP+35/SN+)/SS+씨/NNB
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.165.4.2
그는 학생들과 기숙사에서 함께 생활하면서 낮에는 학생들을 가르치고 밤에는 엄마가 보고 싶다며 찾아오는 아이들과 이야기를 나누다 잠들었다.

그는	그/NP+는/JX
학생들과	학생/NNG+들/XSN+과/JC
