# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.78
metadata : {}


# id : NWRW1800000029.78.1.1
[단독]대우조선해양, 인도네시아와 단독 협상… 1조2000억 잠수함 수출 ‘다된 밥’

[단독]대우조선해양,	[/SS+단독/NNG+]/SS+대우조선해양/NNP+,/SP
인도네시아와	인도네시아/NNP+와/JKB
단독	단독/NNG
협상…	협상/NNG+…/SE
1조2000억	1/SN+조/NR+2000/SN+억/NR
잠수함	잠수함/NNG
수출	수출/NNG
‘다된	‘/SS+다/MAG+되/VV+ㄴ/ETM
밥’	밥/NNG+’/SS


# id : NWRW1800000029.78.2.1
사상최대 防産수출 계약 앞둬

사상최대	사상/NNG+최대/NNG
防産수출	防産/SH+수출/NNG
계약	계약/NNG
앞둬	앞두/VV+어/EF


# id : NWRW1800000029.78.3.1
대우조선해양이 인도네시아 국방부 및 해군과 잠수함 계약 체결을 위한 단독 협상에 착수했다고 10일 밝혔다.

대우조선해양이	대우조선해양/NNP+이/JKS
인도네시아	인도네시아/NNP
국방부	국방부/NNG
및	및/MAG
해군과	해군/NNG+과/JKB
잠수함	잠수함/NNG
계약	계약/NNG
체결을	체결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
단독	단독/NNG
협상에	협상/NNG+에/JKB
착수했다고	착수/NNG+하/XSV+았/EP+다고/EC
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.78.3.2
인도네시아 정부가 잠수함 수주 경쟁관계에 있던 프랑스와의 협상을 파기해 대우조선해양이 단독 협상자가 되면서 단일 프로젝트로는 사상 최대 규모의 방위산업 수출 계약을 눈앞에 뒀다.

인도네시아	인도네시아/NNP
정부가	정부/NNG+가/JKS
잠수함	잠수함/NNG
수주	수주/NNG
경쟁관계에	경쟁/NNG+관계/NNG+에/JKB
있던	있/VA+던/ETM
프랑스와의	프랑스/NNP+와/JKB+의/JKG
협상을	협상/NNG+을/JKO
파기해	파기/NNG+하/XSV+아/EC
대우조선해양이	대우조선해양/NNP+이/JKS
단독	단독/NNG
협상자가	협상자/NNG+가/JKC
되면서	되/VV+면서/EC
단일	단일/NNG
프로젝트로는	프로젝트/NNG+로/JKB+는/JX
사상	사상/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
방위산업	방위/NNG+산업/NNG
수출	수출/NNG
계약을	계약/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.78.4.1
인도네시아 잠수함 프로젝트는 1400t 규모의 잠수함 3척을 건조하는 사업으로, 총사업비는 약 1조2000억 원(11억 달러)에 달한다.

인도네시아	인도네시아/NNP
잠수함	잠수함/NNG
프로젝트는	프로젝트/NNG+는/JX
1400t	1400/SN+t/SW
규모의	규모/NNG+의/JKG
3척을	3/SN+척/NNB+을/JKO
건조하는	건조/NNG+하/XSV+는/ETM
사업으로,	사업/NNG+으로/JKB+,/SP
총사업비는	총/MMA+사업비/NNG+는/JX
약	약/MMA
1조2000억	1/SN+조/NR+2000/SN+억/NR
원(11억	원/NNB+(/SS+11/SN+억/NR
달러)에	달러/NNB+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.78.4.2
이에 앞서 방산수출 단일 계약 중 가장 규모가 큰 것은 5월 T-50 고등 훈련기 인도네시아 수출(4억 달러)이었다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
방산수출	방산/NNG+수출/NNG
단일	단일/NNG
계약	계약/NNG
중	중/NNB
가장	가장/MAG
규모가	규모/NNG+가/JKS
큰	크/VA+ㄴ/ETM
것은	것/NNB+은/JX
5월	5/SN+월/NNB
T-50	T/SL+-/SO+50/SN
고등	고등/NNG
훈련기	훈련기/NNG
인도네시아	인도네시아/NNP
수출(4억	수출/NNG+(/SS+4/SN+억/NR
달러)이었다.	달러/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.78.5.1
이 프로젝트에는 세계적인 잠수함 건조 강국인 프랑스, 독일, 러시아가 모두 참여해 경쟁을 벌였다.

이	이/MMD
프로젝트에는	프로젝트/NNG+에/JKB+는/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
잠수함	잠수함/NNG
건조	건조/NNG
강국인	강국/NNG+이/VCP+ㄴ/ETM
프랑스,	프랑스/NNP+,/SP
독일,	독일/NNP+,/SP
러시아가	러시아/NNP+가/JKS
모두	모두/MAG
참여해	참여/NNG+하/XSV+아/EC
경쟁을	경쟁/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.78.5.2
대우조선해양은 가격, 품질 및 조선기술 협력 등의 다양한 카드로 인도네시아를 설득했다.

대우조선해양은	대우조선해양/NNP+은/JX
가격,	가격/NNG+,/SP
품질	품질/NNG
및	및/MAG
조선기술	조선/NNG+기술/NNG
협력	협력/NNG
등의	등/NNB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
카드로	카드/NNG+로/JKB
인도네시아를	인도네시아/NNP+를/JKO
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.78.5.3
이에 앞서 2003년 12월과 2009년 4월 인도네시아 정부가 각각 발주한 잠수함 2척의 성능 개량 및 정비 프로젝트를 성공적으로 마쳐 건조 기술력에 대한 신뢰를 쌓은 점도 긍정적으로 작용했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
2003년	2003/SN+년/NNB
12월과	12/SN+월/NNB+과/JC
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
인도네시아	인도네시아/NNP
정부가	정부/NNG+가/JKS
각각	각각/MAG
발주한	발주/NNG+하/XSV+ㄴ/ETM
