# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.215
metadata : {}


# id : NWRW1800000036.215.1.1
‘연구비 1조’ 삼성 TV기술, 엘지서 빼갔나

‘연구비	‘/SS+연구비/NNG
1조’	1/SN+조/NR+’/SS
삼성	삼성/NNP
TV기술,	TV/SL+기술/NNG+,/SP
엘지서	엘지/NNP+서/JKB
빼갔나	빼/VV+어/EC+가/VV+았/EP+나/EF


# id : NWRW1800000036.215.2.1
[한겨레] 이직 연구원 ‘대형 아몰레드’ 유출 혐의로 구속

[한겨레]	[/SS+한겨레/NNP+]/SS
이직	이직/NNG
연구원	연구원/NNG
‘대형	‘/SS+대형/NNG
아몰레드’	아몰레드/NNG+’/SS
유출	유출/NNG
혐의로	혐의/NNG+로/JKB
구속	구속/NNG


# id : NWRW1800000036.215.3.1
“범죄 행위” “해당기술 불필요” 양대 기업 공방

“범죄	“/SS+범죄/NNG
행위”	행위/NNG+”/SS
“해당기술	“/SS+해당/NNG+기술/NNG
불필요”	불/XPN+필요/NNG+”/SS
양대	양대/MMA
기업	기업/NNG
공방	공방/NNG


# id : NWRW1800000036.215.4.1
경기지방경찰청 산업기술유출수사대는 삼성모바일디스플레이의 대형 능동형 유기발광다이오드(AMOLED) 텔레비전 제조기술을 빼돌린 혐의(산업기술 유출 방지 및 보호, 부정경쟁 방지 및 영업비밀 보호법 위반)로 전 삼성모바일디스플레이 연구원 조아무개(46)씨의 구속영장을 신청했다고 5일 밝혔다.

경기지방경찰청	경기지방경찰청/NNP
산업기술유출수사대는	산업/NNG+기술/NNG+유출/NNG+수사대/NNG+는/JX
삼성모바일디스플레이의	삼성모바일디스플레이/NNP+의/JKG
대형	대형/NNG
능동형	능동/NNG+형/XSN
유기발광다이오드(AMOLED)	유기/NNG+발광/NNG+다이오드/NNG+(/SS+AMOLED/SL+)/SS
텔레비전	텔레비전/NNG
제조기술을	제조/NNG+기술/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
혐의(산업기술	혐의/NNG+(/SS+산업/NNG+기술/NNG
유출	유출/NNG
방지	방지/NNG
및	및/MAG
보호,	보호/NNG+,/SP
부정경쟁	부정/NNG+경쟁/NNG
영업비밀	영업/NNG+비밀/NNG
보호법	보호법/NNG
위반)로	위반/NNG+)/SS+로/JKB
전	전/MMD
삼성모바일디스플레이	삼성모바일디스플레이/NNP
연구원	연구원/NNG
조아무개(46)씨의	조/NNP+아무개/NP+(/SS+46/SN+)/SS+씨/NNB+의/JKG
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.215.4.2
경찰은 또 핵심기술을 빼돌린 삼성모바일디스플레이 전·현직 연구원과 경쟁업체인 엘지디스플레이 직원 등 10명을 같은 혐의로 불구속 입건했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
핵심기술을	핵심/NNG+기술/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
삼성모바일디스플레이	삼성모바일디스플레이/NNP
전·현직	전·현직/NNG
연구원과	연구원/NNG+과/JC
경쟁업체인	경쟁업체/NNG+이/VCP+ㄴ/ETM
엘지디스플레이	엘지디스플레이/NNP
직원	직원/NNG
등	등/NNB
10명을	10/SN+명/NNB+을/JKO
같은	같/VA+은/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.215.5.1
조씨는 삼성모바일디스플레이에서 대형 아몰레드 텔레비전의 핵심기술인 에스엠에스(Small Mask Scanning) 기술을 주도적으로 개발해오다 지난해 11월 경쟁회사인 엘지디스플레이로 옮겨 이 제조공정 관련 비밀자료를 제공하고 1억9000만원을 받은 혐의를 사고 있다.

조씨는	조/NNP+씨/NNB+는/JX
삼성모바일디스플레이에서	삼성모바일디스플레이/NNP+에서/JKB
대형	대형/NNG
아몰레드	아몰레드/NNG
텔레비전의	텔레비전/NNG+의/JKG
핵심기술인	핵심/NNG+기술/NNG+이/VCP+ㄴ/ETM
에스엠에스(Small	에스엠에스/NNG+(/SS+Small/SL
Mask	Mask/SL
Scanning)	Scanning/SL+)/SS
기술을	기술/NNG+을/JKO
주도적으로	주도/NNG+적/XSN+으로/JKB
개발해오다	개발/NNG+하/XSV+아/EC+오/VX+다/EC
지난해	지난해/NNG
11월	11/SN+월/NNB
경쟁회사인	경쟁/NNG+회사/NNG+이/VCP+ㄴ/ETM
엘지디스플레이로	엘지디스플레이/NNP+로/JKB
옮겨	옮기/VV+어/EC
이	이/MMD
제조공정	제조/NNG+공정/NNG
관련	관련/NNG
비밀자료를	비밀/NNG+자료/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
1억9000만원을	1/SN+억/NR+9000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.215.5.2
특히 조씨는 애초 약속과 달리 엘지에서 임원급 입사가 무산되자 중국의 한 디스플레이업체로 해당 기술을 빼돌리려 한 혐의도 받고 있다.

특히	특히/MAG
조씨는	조/NNP+씨/NNB+는/JX
애초	애초/NNG
약속과	약속/NNG+과/JKB
달리	달리/MAG
엘지에서	엘지/NNP+에서/JKB
임원급	임원급/NNG
입사가	입사/NNG+가/JKS
무산되자	무산/NNG+되/XSV+자/EC
중국의	중국/NNP+의/JKG
한	하/VX+ㄴ/ETM
디스플레이업체로	디스플레이/NNG+업체/NNG+로/JKB
해당	해당/NNG
기술을	기술/NNG+을/JKO
빼돌리려	빼돌리/VV+려/EC
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.215.5.3
불구속 입건된 삼성모바일디스플레이 연구원 강아무개(38)씨 등 5명은 경쟁사로 입사하거나 현직에 근무하면서 카카오톡·문자메시지 등을 통해 관련 제조공정 비밀을 누설한 혐의를 받고 있다.

불구속	불/XPN+구속/NNG
입건된	입건/NNG+되/XSV+ㄴ/ETM
삼성모바일디스플레이	삼성모바일디스플레이/NNP
연구원	연구원/NNG
강아무개(38)씨	강/NNP+아무개/NP+(/SS+38/SN+)/SS+씨/NNB
등	등/NNB
5명은	5/SN+명/NNB+은/JX
경쟁사로	경쟁사/NNG+로/JKB
입사하거나	입사/NNG+하/XSV+거나/EC
현직에	현직/NNG+에/JKB
근무하면서	근무/NNG+하/XSV+면서/EC
카카오톡·문자메시지	카카오톡/NNP+·/SP+문자/NNG+메시지/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
관련	관련/NNG
제조공정	제조/NNG+공정/NNG
