# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.76
metadata : {}


# id : NWRW1800000053.76.1.1
[IT&Game]넥슨, 타이탄폴TM-오버히트 등 하반기 라인업도 막강

[IT&Game]넥슨,	[/SS+IT/SL+&/SW+Game/SL+]/SS+넥슨/NNP+,/SP
타이탄폴TM-오버히트	타이탄폴/NNP+TM/SL+-/SO+오버히트/NNP
등	등/NNB
하반기	하반기/NNG
라인업도	라인업/NNG+도/JX
막강	막강/NNG


# id : NWRW1800000053.76.2.1
올해 하반기 ‘다크어벤저 3’, ‘AxE(액스)’로 모바일 시장의 흐름을 뒤흔든 넥슨이 새로운 타이틀로 2017년 막바지 장식을 앞두고 있다.

올해	올해/NNG
하반기	하반기/NNG
‘다크어벤저	‘/SS+다크어벤저/NNP
3’,	3/SN+’/SS+,/SP
‘AxE(액스)’로	‘/SS+AxE/SL+(/SS+액스/NNP+)/SS+’/SS+로/JKB
모바일	모바일/NNG
시장의	시장/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
넥슨이	넥슨/NNP+이/JKS
새로운	새롭/VA+ㄴ/ETM
타이틀로	타이틀/NNG+로/JKB
2017년	2017/SN+년/NNB
막바지	막바지/NNG
장식을	장식/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.76.3.1
다양한 시도와 하이퀄리티 타이틀로 상승가도 지속

다양한	다양/NNG+하/XSA+ㄴ/ETM
시도와	시도/NNG+와/JC
하이퀄리티	하이퀄리티/NNG
타이틀로	타이틀/NNG+로/JKB
상승가도	상승/NNG+가도/NNG
지속	지속/NNG


# id : NWRW1800000053.76.4.1
올해 상반기 넥슨은 ‘이블팩토리’, ‘애프터 디 엔드’와 같은 독특한 인디 모바일게임들을 출시해 글로벌 마켓에서 독창성을 인정받았으며, ‘진·삼국무쌍: 언리쉬드’, ‘탱고파이브: 더 라스트 댄스’, ‘레고○R(등록기호) 퀘스트앤콜렉트’ 등 다양한 장르의 모바일 신작들을 연이어 선보여 시장의 주목을 받았다.

올해	올해/NNG
상반기	상반기/NNG
넥슨은	넥슨/NNP+은/JX
