# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.201
metadata : {}


# id : NWRW1800000038.201.1.1
중부 300㎜ 폭우로 4명 사망… 곳곳서 산사태·홍수주의보

중부	중부/NNG
300㎜	300/SN+㎜/SW
폭우로	폭우/NNG+로/JKB
4명	4/SN+명/NNB
사망…	사망/NNG+…/SE
곳곳서	곳곳/NNG+서/JKB
산사태·홍수주의보	산사태/NNG+·/SP+홍수/NNG+주의보/NNG


# id : NWRW1800000038.201.2.1
영동고속도로 등 13곳 통제

영동고속도로	영동고속도로/NNP
등	등/NNB
13곳	13/SN+곳/NNG
통제	통제/NNG


# id : NWRW1800000038.201.3.1
22일 새벽부터 서울·경기·강원도 일대에 최대 300㎜ 이상의 폭우가 내리면서 4명이 숨졌다.

22일	22/SN+일/NNB
새벽부터	새벽/NNG+부터/JX
서울·경기·강원도	서울/NNP+·/SP+경기/NNP+·/SP+강원도/NNP
일대에	일대/NNG+에/JKB
최대	최대/NNG
300㎜	300/SN+㎜/SW
이상의	이상/NNG+의/JKG
폭우가	폭우/NNG+가/JKS
내리면서	내리/VV+면서/EC
4명이	4/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.3.2
강원도 영동고속도로, 서울 잠수교 등 도로 13곳이 통제됐으며, 산사태가 발생하고, 제방이 무너져 저지대가 침수되는 등 피해도 잇따랐다.

강원도	강원도/NNP
영동고속도로,	영동고속도로/NNP+,/SP
서울	서울/NNP
잠수교	잠수교/NNP
등	등/NNB
도로	도로/NNG
13곳이	13/SN+곳/NNG+이/JKS
통제됐으며,	통제/NNG+되/XSV+었/EP+으며/EC+,/SP
산사태가	산사태/NNG+가/JKS
발생하고,	발생/NNG+하/XSV+고/EC+,/SP
제방이	제방/NNG+이/JKS
무너져	무너지/VV+어/EC
저지대가	저/XPN+지대/NNG+가/JKS
침수되는	침수/NNG+되/XSV+는/ETM
피해도	피해/NNG+도/JX
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.201.4.1
이날 오전 9시쯤 경기도 이천시 백사면 한 기도원 인근에서 산사태가 발생해 목사 김모(61)씨가 토사에 깔려 숨졌고 낮 12시 13분쯤엔 경기도 여주군 북내면의 한 숯가마에서 토사가 무너지며 이모(75)씨가 매몰돼 숨졌다.

이날	이날/NNG
오전	오전/NNG
9시쯤	9/SN+시/NNB+쯤/XSN
경기도	경기도/NNP
이천시	이천시/NNP
백사면	백사면/NNP
한	한/MMN
기도원	기도원/NNG
인근에서	인근/NNG+에서/JKB
산사태가	산사태/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
목사	목사/NNG
김모(61)씨가	김/NNP+모/NP+(/SS+61/SN+)/SS+씨/NNB+가/JKS
토사에	토사/NNG+에/JKB
깔려	깔리/VV+어/EC
숨졌고	숨지/VV+었/EP+고/EC
낮	낮/NNG
12시	12/SN+시/NNB
13분쯤엔	13/SN+분/NNB+쯤/XSN+에/JKB+ㄴ/JX
여주군	여주군/NNP
북내면의	북내면/NNP+의/JKG
숯가마에서	숯가마/NNG+에서/JKB
토사가	토사/NNG+가/JKS
무너지며	무너지/VV+며/EC
이모(75)씨가	이/NNP+모/NP+(/SS+75/SN+)/SS+씨/NNB+가/JKS
매몰돼	매몰/NNG+되/XSV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.4.2
또 이천시 신둔면에선 농작물을 살피러 논에 나갔던 김모(61)씨가 산사태로 실종됐다가 오후 4시40분쯤 숨진 채 발견됐다.

또	또/MAG
이천시	이천시/NNP
신둔면에선	신둔면/NNP+에서/JKB+ㄴ/JX
농작물을	농작물/NNG+을/JKO
살피러	살피/VV+러/EC
논에	논/NNG+에/JKB
나갔던	나가/VV+았/EP+던/ETM
김모(61)씨가	김/NNP+모/NP+(/SS+61/SN+)/SS+씨/NNB+가/JKS
산사태로	산사태/NNG+로/JKB
실종됐다가	실종/NNG+되/XSV+었/EP+다가/EC
오후	오후/NNG
4시40분쯤	4/SN+시/NNB+40/SN+분/NNB+쯤/XSN
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.201.4.3
이천시 관고동의 한 사찰에선 산사태로 조립식 패널 건물이 무너지며 안모(여·71)씨가 목숨을 잃었다.

이천시	이천시/NNP
관고동의	관고동/NNP+의/JKG
한	한/MMN
사찰에선	사찰/NNG+에서/JKB+ㄴ/JX
산사태로	산사태/NNG+로/JKB
