# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.353
metadata : {}


# id : NWRW1800000032.353.1.1
“북 우라늄 농축 단호대응을” /한-미, 안보리 재논의 시사

“북	“/SS+북/NNP
우라늄	우라늄/NNG
농축	농축/NNG
단호대응을”	단호/XR+대응/NNG+을/JKO+”/SS
/한-미,	//SP+한-미/NNP+,/SP
안보리	안보리/NNG
재논의	재/XPN+논의/NNG
시사	시사/NNG


# id : NWRW1800000032.353.2.1
보즈워스-위성락 서울회동

보즈워스-위성락	보즈워스/NNP+-/SO+위성락/NNP
서울회동	서울/NNP+회동/NNG


# id : NWRW1800000032.353.3.1
중에 대북제재 압박메시지

중에	중/NNP+에/JKB
대북제재	대북/NNG+제재/NNG
압박메시지	압박/NNG+메시지/NNG


# id : NWRW1800000032.353.4.1
한·미 양국 정부는 5일 북한의 우라늄농축 시설 외부 공개와 관련해, 국제사회의 단호한 대응이 필요하다는 데 공감했다.

한·미	한·미/NNP
양국	양국/NNG
정부는	정부/NNG+는/JX
5일	5/SN+일/NNB
북한의	북한/NNP+의/JKG
우라늄농축	우라늄/NNG+농축/NNG
시설	시설/NNG
외부	외부/NNG
공개와	공개/NNG+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
국제사회의	국제/NNG+사회/NNG+의/JKG
단호한	단호하/VA+ㄴ/ETM
대응이	대응/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
데	데/NNB
공감했다.	공감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.353.5.1
정부 고위당국자는 이날 스티븐 보즈워스 미국 국무부 대북정책 특별대표와 위성락 외교통상부 한반도평화교섭본부장의 이날 회동 결과를 설명하는 자리에서 “양쪽이 북한의 우라늄농축 활동이 안보리 결의와 9·19 공동성명 등 국제규범 위반이란 점을 재차 강조했다”며 이렇게 밝혔다.

정부	정부/NNG
고위당국자는	고위/NNG+당국자/NNG+는/JX
이날	이날/NNG
스티븐	스티븐/NNP
보즈워스	보즈워스/NNP
미국	미국/NNP
국무부	국무부/NNG
대북정책	대북/NNG+정책/NNG
특별대표와	특별/NNG+대표/NNG+와/JC
위성락	위성락/NNP
외교통상부	외교/NNG+통상부/NNG
한반도평화교섭본부장의	한반도평화교섭본부장/NNG+의/JKG
회동	회동/NNG
결과를	결과/NNG+를/JKO
설명하는	설명/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
“양쪽이	“/SS+양쪽/NNG+이/JKS
북한의	북한/NNP+의/JKG
우라늄농축	우라늄/NNG+농축/NNG
활동이	활동/NNG+이/JKS
안보리	안보리/NNG
결의와	결의/NNG+와/JC
9·19	9/SN+·/SP+19/SN
공동성명	공동/NNG+성명/NNG
등	등/NNB
국제규범	국제/NNG+규범/NNG
위반이란	위반/NNG+이/VCP+란/ETM
점을	점/NNG+을/JKO
재차	재차/MAG
강조했다”며	강조/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.353.6.1
이 고위당국자는 ‘북한의 우라늄농축 활동을 안보리에서 재논의하는 것도 단호한 대응에 포함되느냐’는 질문에 “그것도 배제할 수 없다”며 “우라늄활동과 관련해 국제사회가 아무것도 하지 않는 것은 받아들이기 어렵다는 게 우리 입장이고, 미국 입장이기도 하며 대부분 국제사회가 수용하고 있다”고 밝혔다.

이	이/MMD
고위당국자는	고위/NNG+당국자/NNG+는/JX
‘북한의	‘/SS+북한/NNP+의/JKG
우라늄농축	우라늄/NNG+농축/NNG
활동을	활동/NNG+을/JKO
안보리에서	안보리/NNG+에서/JKB
재논의하는	재/XPN+논의/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
단호한	단호하/VA+ㄴ/ETM
대응에	대응/NNG+에/JKB
포함되느냐’는	포함/NNG+되/XSV+느냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“그것도	“/SS+그것/NP+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“우라늄활동과	“/SS+우라늄/NNG+활동/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
국제사회가	국제/NNG+사회/NNG+가/JKS
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
받아들이기	받아들이/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
게	거/NNB+이/JKS
우리	우리/NP
입장이고,	입장/NNG+이/VCP+고/EC+,/SP
미국	미국/NNP
입장이기도	입장/NNG+이/VCP+기/ETN+도/JX
하며	하/VX+며/EC
대부분	대/XPN+부분/NNG
수용하고	수용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.353.6.2
북한의 우라늄농축 문제는 지난 11월 안보리에서 논의 중에 연평도 포격 사건에 밀려 보류돼 있는 상태다.

북한의	북한/NNP+의/JKG
우라늄농축	우라늄/NNG+농축/NNG
문제는	문제/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
안보리에서	안보리/NNG+에서/JKB
논의	논의/NNG
중에	중/NNB+에/JKB
연평도	연평도/NNP
포격	포격/NNG
사건에	사건/NNG+에/JKB
밀려	밀리/VV+어/EC
보류돼	보류/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.353.7.1
한·미는 중국이 대북 제재의 고삐를 죄지 않는 탓에 우라늄농축 관련 시설들이 중국을 통해 북한으로 들어갔다고 의심하고 있다.

한·미는	한·미/NNP+는/JX
중국이	중국/NNP+이/JKS
대북	대북/NNG
제재의	제재/NNG+의/JKG
고삐를	고삐/NNG+를/JKO
죄지	죄/VV+지/EC
않는	않/VX+는/ETM
탓에	탓/NNG+에/JKB
우라늄농축	우라늄/NNG+농축/NNG
관련	관련/NNG
시설들이	시설/NNG+들/XSN+이/JKS
중국을	중국/NNP+을/JKO
통해	통하/VV+아/EC
북한으로	북한/NNP+으로/JKB
