# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.17
metadata : {}


# id : NWRW1800000033.17.1.1
화학업종 2분기도 먹구름… 목표주가 잇단 하향

화학업종	화학/NNG+업종/NNG
2분기도	2/SN+분기/NNG+도/JX
먹구름…	먹구름/NNG+…/SE
목표주가	목표/NNG+주가/NNG
잇단	잇달/VV+ㄴ/ETM
하향	하향/NNG


# id : NWRW1800000033.17.2.1
원자재 값 상승-中 부진 여파

원자재	원자재/NNG
값	값/NNG
상승-中	상승/NNG+-/SO+中/SH
부진	부진/NNG
여파	여파/NNG


# id : NWRW1800000033.17.3.1
LG화학 등 수익성 악화

LG화학	LG화학/NNP
등	등/NNB
수익성	수익/NNG+성/XSN
악화	악화/NNG


# id : NWRW1800000033.17.4.1
화학업종의 1분기 실적이 기대에 미치지 못한 데 이어 2분기 이후에도 반등이 어려울 것으로 전망됐다.

화학업종의	화학/NNG+업종/NNG+의/JKG
1분기	1/SN+분기/NNG
실적이	실적/NNG+이/JKS
기대에	기대/NNG+에/JKB
미치지	미치/VV+지/EC
못한	못하/VX+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2분기	2/SN+분기/NNG
이후에도	이후/NNG+에/JKB+도/JX
반등이	반등/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망됐다.	전망/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.17.4.2
22일 증권업계는 LG화학, 호남석유 등 화학업종의 실적 개선에 상당한 기간이 걸릴 것으로 보고 목표주가를 잇달아 하향 조정했다.

22일	22/SN+일/NNB
증권업계는	증권업/NNG+계/XSN+는/JX
LG화학,	LG화학/NNP+,/SP
호남석유	호남석유/NNP
등	등/NNB
화학업종의	화학/NNG+업종/NNG+의/JKG
실적	실적/NNG
개선에	개선/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
기간이	기간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
목표주가를	목표/NNG+주가/NNG+를/JKO
잇달아	잇달/VV+아/EC
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.17.5.1
한화증권은 “중국의 석유화학 수요 회복이 늦어지고 있다”며 “LG화학의 올해 연간 예상 영업이익을 3조360억 원에서 2조4082억 원으로 낮췄다”고 밝혔다.

한화증권은	한화증권/NNP+은/JX
“중국의	“/SS+중국/NNP+의/JKG
석유화학	석유/NNG+화학/NNG
수요	수요/NNG
회복이	회복/NNG+이/JKS
늦어지고	늦어지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“LG화학의	“/SS+LG화학/NNP+의/JKG
올해	올해/NNG
연간	연간/NNG
예상	예상/NNG
영업이익을	영업/NNG+이익/NNG+을/JKO
3조360억	3/SN+조/NR+360/SN+억/NR
원에서	원/NNB+에서/JKB
2조4082억	2/SN+조/NR+4082/SN+억/NR
원으로	원/NNB+으로/JKB
낮췄다”고	낮추/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.17.5.2
이에 따라 한화증권은 LG화학의 목표 주가를 43만 원에 40만 원으로 하향 조정했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한화증권은	한화증권/NNP+은/JX
LG화학의	LG화학/NNP+의/JKG
목표	목표/NNG
주가를	주가/NNG+를/JKO
43만	43/SN+만/NR
원에	원/NNB+에/JKB
40만	40/SN+만/NR
