# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.18
metadata : {}


# id : NWRW1800000038.18.1.1
헤이글, 역대 최저표로 인준 통과… 힘빠진 美국방

헤이글,	헤이글/NNP+,/SP
역대	역대/NNG
최저표로	최저/NNG+표/NNG+로/JKB
인준	인준/NNG
통과…	통과/NNG+…/SE
힘빠진	힘/NNG+빠지/VV+ㄴ/ETM
美국방	美/SH+국방/NNG


# id : NWRW1800000038.18.2.1
공화당 거센 반대로 상처투성이… 국방운영 험로 예상

공화당	공화당/NNP
거센	거세/VA+ㄴ/ETM
반대로	반대/NNG+로/JKB
상처투성이…	상처/NNG+투성이/XSN+…/SE
국방운영	국방/NNG+운영/NNG
험로	험로/NNG
예상	예상/NNG


# id : NWRW1800000038.18.3.1
사병으로 베트남전에 참전했던 21세 청년이 46년 뒤 미 국방부 수장에 올랐다.

사병으로	사병/NNG+으로/JKB
베트남전에	베트남전/NNG+에/JKB
참전했던	참전/NNG+하/XSV+았/EP+던/ETM
21세	21/SN+세/NNB
청년이	청년/NNG+이/JKS
46년	46/SN+년/NNB
뒤	뒤/NNG
미	미/NNP
국방부	국방부/NNG
수장에	수장/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.18.3.2
척 헤이글<사진> 국방장관 지명자는 26일(현지 시각) 버락 오바마 대통령의 지명을 받은 지 50여일 만에 상원 인준을 통과했다.

척	척/NNP
헤이글<사진>	헤이글/NNP+</SS+사진/NNG+>/SS
국방장관	국방/NNG+장관/NNG
지명자는	지명자/NNG+는/JX
26일(현지	26/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
버락	버락/NNP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
지명을	지명/NNG+을/JKO
받은	받/VV+은/ETM
지	지/NNB
50여일	50/SN+여/XSN+일/NNB
만에	만/NNB+에/JKB
상원	상원/NNG
