# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.184
metadata : {}


# id : NWRW1800000026.184.1.1
우린 글로벌 기업서 로열티 받는다;퀄컴·노키아·산요 등에 기술 팔아 수백억대 수입 잘나가는 '强小기업' 늘어

우린	우리/NP+ㄴ/JX
글로벌	글로벌/NNG
기업서	기업/NNG+서/JKB
로열티	로열티/NNG
받는다;퀄컴·노키아·산요	받/VV+는다/EF+;/SP+퀄컴/NNP+·/SP+노키아/NNP+·/SP+산요/NNP
등에	등/NNB+에/JKB
기술	기술/NNG
팔아	팔/VV+아/EC
수백억대	수백억/NR+대/XSN
수입	수입/NNG
잘나가는	잘나가/VV+는/ETM
'强小기업'	'/SS+强小/SH+기업/NNG+'/SS
늘어	늘/VV+어/EF


# id : NWRW1800000026.184.2.1
모바일 솔루션 기업 인프라웨어는 작년 매출(300억원)의 23%인 70억원이 노키아·삼성전자·LG전자·모토로라 등에서 받은 기술 사용료(로열티)이다.

모바일	모바일/NNG
솔루션	솔루션/NNG
기업	기업/NNG
인프라웨어는	인프라웨어/NNP+는/JX
작년	작년/NNG
매출(300억원)의	매출/NNG+(/SS+300/SN+억/NR+원/NNB+)/SS+의/JKG
23%인	23/SN+%/SW+이/VCP+ㄴ/ETM
70억원이	70/SN+억/NR+원/NNB+이/JKS
노키아·삼성전자·LG전자·모토로라	노키아/NNP+·/SP+삼성전자/NNP+·/SP+LG전자/NNP+·/SP+모토로라/NNP
등에서	등/NNB+에서/JKB
받은	받/VV+은/ETM
기술	기술/NNG
사용료(로열티)이다.	사용료/NNG+(/SS+로열티/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.184.2.2
인프라웨어는 휴대전화에서 인터넷 검색을 할 수 있는 기술을 보유한 토종 회사.

인프라웨어는	인프라웨어/NNP+는/JX
휴대전화에서	휴대/NNG+전화/NNG+에서/JKB
인터넷	인터넷/NNG
검색을	검색/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기술을	기술/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
토종	토종/NNG
회사.	회사/NNG+./SF


# id : NWRW1800000026.184.2.3
전 세계 휴대전화 제조사들이 만든 연간 2500만대의 휴대전화에 이 회사가 만든 인터넷 접속 프로그램 '폴라리스(Polaris)'가 들어간다.

전	전/MMN
세계	세계/NNG
휴대전화	휴대/NNG+전화/NNG
