# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.75
metadata : {}


# id : NWRW1800000029.75.1.1
‘농구공’ 바퀴 車로 전후좌우 이동… 안방서 대리운전…현대차 R&D 사내공모전

‘농구공’	‘/SS+농구공/NNG+’/SS
바퀴	바퀴/NNG
車로	車/SH+로/JKB
전후좌우	전후좌우/NNG
이동…	이동/NNG+…/SE
안방서	안방/NNG+서/JKB
대리운전…현대차	대리운전/NNG+…/SE+현대차/NNP
R&D	R/SL+&/SW+D/SL
사내공모전	사내/NNG+공모전/NNG


# id : NWRW1800000029.75.2.1
현대차 R&D사내공모전… 톡톡 튀는 아이디어 눈길

현대차	현대차/NNP
R&D사내공모전…	R/SL+&/SW+D/SL+사내/NNG+공모전/NNG+…/SE
톡톡	톡톡/MAG
튀는	튀/VV+는/ETM
아이디어	아이디어/NNG
눈길	눈길/NNG


# id : NWRW1800000029.75.3.1
자동차가 전후좌우로 쉽게 움직일 수 있다면?

자동차가	자동차/NNG+가/JKS
전후좌우로	전후좌우/NNG+로/JKB
쉽게	쉽/VA+게/EC
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
있다면?	있/VA+다면/EC+?/SF


# id : NWRW1800000029.75.3.2
안방에 앉아 시뮬레이션으로 술에 취한 남편이 타고 있는 차를 운전해 줄 수 있다면?

안방에	안방/NNG+에/JKB
앉아	앉/VV+아/EC
시뮬레이션으로	시뮬레이션/NNG+으로/JKB
술에	술/NNG+에/JKB
취한	취하/VV+ㄴ/ETM
남편이	남편/NNG+이/JKS
타고	타/VV+고/EC
있는	있/VX+는/ETM
차를	차/NNG+를/JKO
운전해	운전/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
수	수/NNB
있다면?	있/VA+다면/EC+?/SF


# id : NWRW1800000029.75.4.1
현대자동차그룹의 경기 화성시 남양연구소 연구원들이 5일 ‘2011 연구개발(R&D) 아이디어 페스티벌’에 선보인 차세대 운송수단은 이런 상상에서 출발했다.

현대자동차그룹의	현대자동차그룹/NNP+의/JKG
경기	경기/NNP
화성시	화성시/NNP
남양연구소	남양연구소/NNP
연구원들이	연구원/NNG+들/XSN+이/JKS
5일	5/SN+일/NNB
‘2011	‘/SS+2011/SN
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
아이디어	아이디어/NNG
페스티벌’에	페스티벌/NNG+’/SS+에/JKB
선보인	선보이/VV+ㄴ/ETM
차세대	차세대/NNG
운송수단은	운송/NNG+수단/NNG+은/JX
이런	이런/MMD
상상에서	상상/NNG+에서/JKB
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.75.4.2
R&D 아이디어 페스티벌은 현대자동차와 기아자동차의 차량 개발을 담당하는 연구원 4∼7명이 팀을 이뤄 아이디어를 실물로 제작해 경연하는 R&D 부문 사내 공모전이다.

R&D	R/SL+&/SW+D/SL
아이디어	아이디어/NNG
페스티벌은	페스티벌/NNG+은/JX
현대자동차와	현대자동차/NNP+와/JC
기아자동차의	기아자동차/NNP+의/JKG
차량	차량/NNG
개발을	개발/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
연구원	연구원/NNG
4∼7명이	4/SN+∼/SO+7/SN+명/NNB+이/JKS
팀을	팀/NNG+을/JKO
이뤄	이루/VV+어/EC
아이디어를	아이디어/NNG+를/JKO
실물로	실물/NNG+로/JKB
제작해	제작/NNG+하/XSV+아/EC
경연하는	경연/NNG+하/XSV+는/ETM
부문	부문/NNG
사내	사내/NNG
공모전이다.	공모전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.75.5.1
대상을 받은 ‘구운몽(球雲夢)’은 농구공 3개를 바퀴로 한 비행접시 모양의 탈것으로, 어느 방향으로나 쉽게 이동할 수 있는 신개념 이동수단이다.

대상을	대상/NNG+을/JKO
받은	받/VV+은/ETM
‘구운몽(球雲夢)’은	‘/SS+구운몽/NNG+(/SS+球雲夢/SH+)/SS+’/SS+은/JX
농구공	농구공/NNG
3개를	3/SN+개/NNB+를/JKO
