# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.207
metadata : {}


# id : NWRW1800000028.207.1.1
발해가 ‘백두산 폭발’로 멸망했다?

발해가	발해/NNP+가/JKS
‘백두산	‘/SS+백두산/NNP
폭발’로	폭발/NNG+’/SS+로/JKB
멸망했다?	멸망/NNG+하/XSV+았/EP+다/EF+?/SF


# id : NWRW1800000028.207.2.1
백두산 대폭발의 비밀

백두산	백두산/NNP
대폭발의	대/XPN+폭발/NNG+의/JKG
비밀	비밀/NNG


# id : NWRW1800000028.207.3.1
서기 10세기의 어느 겨울 백두산 화산이 거대한 폭발을 일으켰다.

서기	서기/NNG
10세기의	10/SN+세기/NNG+의/JKG
어느	어느/MMD
겨울	겨울/NNG
백두산	백두산/NNP
화산이	화산/NNG+이/JKS
거대한	거대/NNG+하/XSA+ㄴ/ETM
폭발을	폭발/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.207.3.2
뜨거운 화산분출물이 시속 150㎞의 속도로 산허리를 가로질러 100㎞ 밖의 아름드리 거목을 순식간에 숯으로 만들었다.

뜨거운	뜨겁/VA+ㄴ/ETM
화산분출물이	화산/NNG+분출물/NNG+이/JKS
시속	시속/NNG
150㎞의	150/SN+㎞/SW+의/JKG
속도로	속도/NNG+로/JKB
산허리를	산허리/NNG+를/JKO
가로질러	가로지르/VV+어/EC
100㎞	100/SN+㎞/SW
밖의	밖/NNG+의/JKG
아름드리	아름드리/NNG
거목을	거목/NNG+을/JKO
순식간에	순식/NNG+간/XSN+에/JKB
숯으로	숯/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.207.3.3
산 위에 쌓여 있던 수억톤의 눈이 녹은 흙탕물이 해일처럼 두만강, 압록강, 쑹화강을 따라 마을들을 차례로 삼켰다.

산	산/NNG
위에	위/NNG+에/JKB
쌓여	쌓이/VV+어/EC
있던	있/VX+던/ETM
수억톤의	수억/NR+톤/NNB+의/JKG
눈이	눈/NNG+이/JKS
녹은	녹/VV+은/ETM
흙탕물이	흙탕물/NNG+이/JKS
해일처럼	해일/NNG+처럼/JKB
두만강,	두만강/NNP+,/SP
압록강,	압록강/NNP+,/SP
쑹화강을	쑹화강/NNP+을/JKO
따라	따르/VV+아/EC
마을들을	마을/NNG+들/XSN+을/JKO
차례로	차례/NNG+로/JKB
삼켰다.	삼키/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.207.3.4
화산재는 동해를 건너 일본 아오모리와 홋카이도의 하늘을 며칠째 가렸고 땅 위에 두터운 화산재층을 쌓았다.

화산재는	화산재/NNG+는/JX
동해를	동해/NNP+를/JKO
건너	건너/VV+어/EC
일본	일본/NNP
아오모리와	아오모리/NNP+와/JC
홋카이도의	홋카이도/NNP+의/JKG
하늘을	하늘/NNG+을/JKO
며칠째	며칠/NNG+째/XSN
가렸고	가리/VV+었/EP+고/EC
땅	땅/NNG
위에	위/NNG+에/JKB
두터운	두텁/VA+ㄴ/ETM
화산재층을	화산재/NNG+층/XSN+을/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.207.3.5
백두산 분출은 최근 유럽 항공을 마비시킨 아이슬란드 화산의 1000배 규모로 인류 역사상 가장 강한 폭발로 기록돼 있다.

백두산	백두산/NNP
분출은	분출/NNG+은/JX
최근	최근/MAG
유럽	유럽/NNP
항공을	항공/NNG+을/JKO
마비시킨	마비/NNG+시키/XSV+ㄴ/ETM
아이슬란드	아이슬란드/NNP
화산의	화산/NNG+의/JKG
1000배	1000/SN+배/NNG
규모로	규모/NNG+로/JKB
인류	인류/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
강한	강하/VA+ㄴ/ETM
폭발로	폭발/NNG+로/JKB
기록돼	기록/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.207.3.6
이 화산 폭발은 발해의 멸망을 비롯해 백두산 주변 고대문명에 커다란 영향을 끼쳤다.

이	이/MMD
화산	화산/NNG
폭발은	폭발/NNG+은/JX
발해의	발해/NNP+의/JKG
멸망을	멸망/NNG+을/JKO
비롯해	비롯하/VV+아/EC
백두산	백두산/NNP
주변	주변/NNG
고대문명에	고대/NNG+문명/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤다.	끼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.207.3.7
게다가 백두산은 다시금 대규모 폭발을 준비하고 있다는 징후가 속속 드러나고 있다.

게다가	게다가/MAG
백두산은	백두산/NNP+은/JX
다시금	다시금/MAG
대규모	대/XPN+규모/NNG
폭발을	폭발/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
징후가	징후/NNG+가/JKS
속속	속속/MAG
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.207.3.8
