# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.300
metadata : {}


# id : NWRW1800000053.300.1.1
문재인, 사드-개헌에 ‘전략적 모호성’

문재인,	문재인/NNP+,/SP
사드-개헌에	사드/NNG+-/SO+개헌/NNG+에/JKB
‘전략적	‘/SS+전략/NNG+적/XSN
모호성’	모호성/NNG+’/SS


# id : NWRW1800000053.300.2.1
[대선 정국]“사드, 취소도 강행도 아닌 공론화… 개헌, 4년중임 고집할 생각 없어” 당내 “이슈회피 인상 줄수도” 우려

[대선	[/SS+대선/NNG
정국]“사드,	정국/NNG+]/SS+“/SS+사드/NNG+,/SP
취소도	취소/NNG+도/JX
강행도	강행/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
공론화…	공론/NNG+화/XSN+…/SE
개헌,	개헌/NNG+,/SP
4년중임	4/SN+년/NNB+중임/NNG
고집할	고집/NNG+하/XSV+ㄹ/ETM
생각	생각/NNG
없어”	없/VA+어/EF+”/SS
당내	당내/NNG
“이슈회피	“/SS+이슈/NNG+회피/NNG
인상	인상/NNG
줄수도”	주/VV+ㄹ/ETM+수/NNB+도/JX+”/SS
우려	우려/NNG


# id : NWRW1800000053.300.3.1
더불어민주당 문재인 전 대표가 17일 스스로를 ‘재수 전문’이라고 평가하며 이번 대선에서 “가장 준비되고 검증이 끝난 적임자”임을 강조했다.

더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
17일	17/SN+일/NNB
스스로를	스스로/NNG+를/JKO
‘재수	‘/SS+재수/NNG
전문’이라고	전문/NNG+’/SS+이라고/JKQ
평가하며	평가/NNG+하/XSV+며/EC
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
“가장	“/SS+가장/MAG
준비되고	준비/NNG+되/XSV+고/EC
검증이	검증/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
적임자”임을	적임자/NNG+”/SS+이/VCP+ㅁ/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.3.2
문 전 대표는 이날 서울 중구 한국프레스센터에서 열린 대담집 ‘대한민국이 묻는다’ 출간 기념 기자간담회에서 “(대입) 입시, 사법시험을 재수를 통해 합격했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
중구	중구/NNP
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
대담집	대담집/NNG
‘대한민국이	‘/SS+대한민국/NNP+이/JKS
묻는다’	묻/VV+는다/EF+’/SS
출간	출간/NNG
기념	기념/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“(대입)	“/SS+(/SS+대입/NNG+)/SS
입시,	입시/NNG+,/SP
사법시험을	사법/NNG+시험/NNG+을/JKO
재수를	재수/NNG+를/JKO
통해	통하/VV+아/EC
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.3.3
다시 또 (대선) 재수를 하고 있는데 이번에도 잘 되리라고 믿는다”고 말했다.

다시	다시/MAG
또	또/MAG
(대선)	(/SS+대선/NNG+)/SS
재수를	재수/NNG+를/JKO
하고	하/VV+고/EC
있는데	있/VX+는데/EC
이번에도	이번/NNG+에/JKB+도/JX
잘	잘/MAG
되리라고	되/VV+리라고/EC
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.3.4
이재명 경기 성남시장이 최근 “재수한 문 전 대표보다 ‘신상’인 내가 이긴다”고 한 발언을 겨냥하면서 자신의 두 번째 대권 도전에 대한 자신감을 드러낸 것으로 풀이된다.

이재명	이재명/NNP
경기	경기/NNP
성남시장이	성남시장/NNG+이/JKS
최근	최근/MAG
“재수한	“/SS+재수/NNG+하/XSV+ㄴ/ETM
문	문/NNG
전	전/MMD
대표보다	대표/NNG+보다/JKB
‘신상’인	‘/SS+신상/NNG+’/SS+이/VCP+ㄴ/ETM
내가	내/NP+가/JKS
이긴다”고	이기/VV+ㄴ다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
발언을	발언/NNG+을/JKO
겨냥하면서	겨냥/NNG+하/XSV+면서/EC
자신의	자신/NNG+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
대권	대권/NNG
도전에	도전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.300.3.5
그는 촛불민심이 요구하는 적폐 청산에 대해 가장 절박한 의지를 갖고 있다고도 말했다.

그는	그/NP+는/JX
촛불민심이	촛불/NNG+민심/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
적폐	적폐/NNG
청산에	청산/NNG+에/JKB
대해	대하/VV+아/EC
가장	가장/MAG
절박한	절박하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
갖고	갖/VV+고/EC
있다고도	있/VX+다고/EC+도/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.300.4.1
주한미군의 사드(THAAD·고고도미사일방어체계) 배치와 관련해 문 전 대표는 “(사드 배치를) 취소하겠다 또는 강행하겠다는 그런 입장이 아니다”며 “득실이 교차하는 문제이기 때문에 전체를 종합해 논의해야 한다”고 말했다.

주한미군의	주한/NNG+미군/NNG+의/JKG
사드(THAAD·고고도미사일방어체계)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
배치와	배치/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
“(사드	“/SS+(/SS+사드/NNG
배치를)	배치/NNG+를/JKO+)/SS
