# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.77
metadata : {}


# id : NWRW1800000033.77.1.1
“마지막 남은 노다지 캐자” 심해 골드러시

“마지막	“/SS+마지막/NNG
남은	남/VV+은/ETM
노다지	노다지/NNG
캐자”	캐/VV+자/EF+”/SS
심해	심해/NNG
골드러시	골드러시/NNG


# id : NWRW1800000033.77.2.1
금-구리 등 公海 광물 개발 韓-中-러 등 17개국 신청

금-구리	금/NNG+-/SO+구리/NNG
등	등/NNB
公海	公海/SH
광물	광물/NNG
개발	개발/NNG
韓-中-러	韓/SH+-/SO+中/SH+-/SO+러/NNP
17개국	17/SN+개국/NNB
신청	신청/NNG


# id : NWRW1800000033.77.3.1
美-캐나다는 민간차원 공략

美-캐나다는	美/SH+-/SO+캐나다/NNP+는/JX
민간차원	민간/NNG+차원/NNG
공략	공략/NNG


# id : NWRW1800000033.77.4.1
지난해 11월 남태평양 피지에서 열린 유엔 산하 국제해저기구(ISA) 심포지엄에서 가나 국적의 니 알로테이 오둔톤 사무총장은 의미심장한 발언을 했다.

지난해	지난해/NNG
11월	11/SN+월/NNB
남태평양	남태평양/NNP
피지에서	피지/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔	유엔/NNP
산하	산하/NNG
국제해저기구(ISA)	국제해저기구/NNP+(/SS+ISA/SL+)/SS
심포지엄에서	심포지엄/NNG+에서/JKB
가나	가나/NNP
국적의	국적/NNG+의/JKG
니	니/NNP
알로테이	알로테이/NNP
오둔톤	오둔톤/NNP
사무총장은	사무총장/NNG+은/JX
의미심장한	의미심장하/VA+ㄴ/ETM
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.77.4.2
세계 각국이 지구 면적의 절반을 차지하는 공해(公海)상에서 펼치고 있는 금 구리 등 심해 광물자원 개발이 ‘새로운 국면’에 접어들고 있다는 내용이었다.

세계	세계/NNG
각국이	각국/NNG+이/JKS
지구	지구/NNG
면적의	면적/NNG+의/JKG
절반을	절반/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
공해(公海)상에서	공해/NNG+(/SS+公海/SH+)/SS+상/XSN+에서/JKB
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
금	금/NNG
구리	구리/NNG
등	등/NNB
심해	심해/NNG
광물자원	광물/NNG+자원/NNG
개발이	개발/NNG+이/JKS
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
국면’에	국면/NNG+’/SS+에/JKB
접어들고	접어들/VV+고/EC
있다는	있/VX+다는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.77.4.3
몇 달 뒤 국제광물협회의 체카쇼프 박사는 “먼저 들어가는 사람이 먼저 차지하는 시장이다.

몇	몇/NR
달	달/NNB
뒤	뒤/NNG
국제광물협회의	국제광물협회/NNP+의/JKG
체카쇼프	체카쇼프/NNP
박사는	박사/NNG+는/JX
“먼저	“/SS+먼저/MAG
들어가는	들어가/VV+는/ETM
사람이	사람/NNG+이/JKS
먼저	먼저/MAG
차지하는	차지/NNG+하/XSV+는/ETM
시장이다.	시장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.77.4.4
마지막 남아 있는 지구의 영토 전쟁”이라고 거들었다.

마지막	마지막/NNG
남아	남/VV+아/EC
있는	있/VX+는/ETM
지구의	지구/NNG+의/JKG
영토	영토/NNG
전쟁”이라고	전쟁/NNG+”/SS+이라고/JKQ
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.77.5.1
최근 한국과 일본 사이에 벌어지고 있는 대륙붕 경계 논란, 한국과 중국의 이어도 분쟁, 중국이 필리핀 베트남 등 남중국해 6개국과 벌이고 있는 해양 분쟁의 근저에는 모두 ‘미래의 노다지’로 불리는 해양 광물자원 확보 전쟁이 깔려 있다.

최근	최근/NNG
한국과	한국/NNP+과/JC
일본	일본/NNP
사이에	사이/NNG+에/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
대륙붕	대륙붕/NNG
경계	경계/NNG
논란,	논란/NNG+,/SP
중국의	중국/NNP+의/JKG
이어도	이어도/NNP
분쟁,	분쟁/NNG+,/SP
중국이	중국/NNP+이/JKS
필리핀	필리핀/NNP
베트남	베트남/NNP
등	등/NNB
남중국해	남중국해/NNP
6개국과	6/SN+개국/NNB+과/JKB
벌이고	벌이/VV+고/EC
해양	해양/NNG
분쟁의	분쟁/NNG+의/JKG
근저에는	근저/NNG+에/JKB+는/JX
모두	모두/MAG
‘미래의	‘/SS+미래/NNG+의/JKG
노다지’로	노다지/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
광물자원	광물/NNG+자원/NNG
확보	확보/NNG
전쟁이	전쟁/NNG+이/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.77.5.2
올 들어 지상의 영토 분쟁보다 해양 분쟁이 부쩍 더 잦아졌다.

올	올/NNG
들어	들/VV+어/EC
지상의	지상/NNG+의/JKG
영토	영토/NNG
분쟁보다	분쟁/NNG+보다/JKB
해양	해양/NNG
분쟁이	분쟁/NNG+이/JKS
부쩍	부쩍/MAG
더	더/MAG
잦아졌다.	잦아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.77.5.3
세계 각국은 ‘21세 해양 골드러시’에서 패하지 않으려고 정면승부에 들어간 모양새다.

세계	세계/NNG
각국은	각국/NNG+은/JX
‘21세	‘/SS+21/SN+세/NA
해양	해양/NNG
골드러시’에서	골드러시/NNG+’/SS+에서/JKB
패하지	패/NNG+하/XSV+지/EC
않으려고	않/VX+으려고/EC
정면승부에	정면/NNG+승부/NNG+에/JKB
