# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.158
metadata : {}


# id : NWRW1800000026.158.1.1
현생인류(호모사피엔스)와 네안데르탈인, 혼종 자식 낳았을 것;獨 연구결과 사이언스지 게재 현생인류와 유전자 공유 1~4%로 지역차이 보여

현생인류(호모사피엔스)와	현생/NNG+인류/NNG+(/SS+호모사피엔스/NNG+)/SS+와/JC
네안데르탈인,	네안데르탈인/NNG+,/SP
혼종	혼종/NNG
자식	자식/NNG
낳았을	낳/VV+았/EP+을/ETM
것;獨	것/NNB+;/SW+獨/SH
연구결과	연구/NNG+결과/NNG
사이언스지	사이언스지/NNP
게재	게재/NNG
현생인류와	현생/NNG+인류/NNG+와/JKB
유전자	유전자/NNG
공유	공유/NNG
1~4%로	1/SN+~/SO+4/SN+%/SW+로/JKB
지역차이	지역/NNG+차이/NNG
보여	보이/VV+어/EF


# id : NWRW1800000026.158.2.1
현생인류인 호모사피엔스와 완전히 다른 종(種)으로 분류되는 네안데르탈인이 현생인류와 결합해 혼종(混種) 자식을 낳았을 것이라는 연구 결과가 나왔다.

현생인류인	현생/NNG+인류/NNG+이/VCP+ㄴ/ETM
호모사피엔스와	호모사피엔스/NNG+와/JKB
완전히	완전히/MAG
다른	다르/VA+ㄴ/ETM
종(種)으로	종/NNG+(/SS+種/SH+)/SS+으로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
네안데르탈인이	네안데르탈인/NNG+이/JKS
현생인류와	현생/NNG+인류/NNG+와/JKB
결합해	결합/NNG+하/XSV+아/EC
혼종(混種)	혼종/NNG+(/SS+混種/SH+)/SS
자식을	자식/NNG+을/JKO
낳았을	낳/VV+았/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.158.2.2
네안데르탈인 유골의 유전자 분석 결과에 따른 이 연구는 과학계에서 통용되고 있는, 현생인류와 네안데르탈인 사이의 결합이 없었으리라는 가설을 뒤집는 것이다.

