# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.96
metadata : {}


# id : NWRW1800000029.96.1.1
프라다… 발리… 213개 브랜드 손님맞이, 롯데 프리미엄 아웃렛 파주점 오픈

프라다…	프라다/NNP+…/SE
발리…	발리/NNP+…/SE
213개	213/SN+개/NNB
브랜드	브랜드/NNG
손님맞이,	손님맞이/NNG+,/SP
롯데	롯데/NNP
프리미엄	프리미엄/NNG
아웃렛	아웃렛/NNG
파주점	파주점/NNG
오픈	오픈/NNG


# id : NWRW1800000029.96.2.1
사람들이 늘어선 줄이 30m를 훌쩍 넘어 길게 이어졌다.

사람들이	사람/NNG+들/XSN+이/JKS
늘어선	늘어서/VV+ㄴ/ETM
줄이	줄/NNG+이/JKS
30m를	30/SN+m/SW+를/JKO
훌쩍	훌쩍/MAG
넘어	넘/VV+어/EC
길게	길/VA+게/EC
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.2.2
토즈, 멀버리 등 유명 패션·잡화 브랜드 매장 앞에는 외투를 입고 목도리를 두른 사람들이 입장을 기다렸다.

토즈,	토즈/NNP+,/SP
멀버리	멀버리/NNP
등	등/NNB
유명	유명/NNG
패션·잡화	패션/NNG+·/SP+잡화/NNG
브랜드	브랜드/NNG
매장	매장/NNG
앞에는	앞/NNG+에/JKB+는/JX
외투를	외투/NNG+를/JKO
입고	입/VV+고/EC
목도리를	목도리/NNG+를/JKO
두른	두르/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
입장을	입장/NNG+을/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.2.3
기온이 영상 5도에 머물러 바람이 불 때마다 한기가 느껴졌지만 줄은 점점 더 길어졌다.

기온이	기온/NNG+이/JKS
영상	영상/NNG
5도에	5/SN+도/NNB+에/JKB
머물러	머무르/VV+어/EC
바람이	바람/NNG+이/JKS
불	불/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
한기가	한기/NNG+가/JKS
느껴졌지만	느끼/VV+어/EC+지/VX+었/EP+지만/EC
줄은	줄/NNG+은/JX
점점	점점/MAG
더	더/MAG
길어졌다.	길어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.96.3.1
1일 찾은 경기 파주시 롯데 프리미엄 아웃렛 파주점은 면세점 매장을 야외로 옮겨 놓은 듯한 모습이었다.

1일	1/SN+일/NNB
찾은	찾/VV+은/ETM
경기	경기/NNP
파주시	파주시/NNP
롯데	롯데/NNP
프리미엄	프리미엄/NNG
아웃렛	아웃렛/NNG
파주점은	파주점/NNG+은/JX
면세점	면세점/NNG
매장을	매장/NNG+을/JKO
야외로	야외/NNG+로/JKB
옮겨	옮기/VV+어/EC
놓은	놓/VX+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.96.3.2
2일 정식으로 문을 열지만 이날 VIP 고객 약 4만 명을 대상으로 먼저 ‘프리 오픈’ 행사를 열었기 때문이다.

2일	2/SN+일/NNB
정식으로	정식/NNG+으로/JKB
문을	문/NNG+을/JKO
열지만	열/VV+지만/EC
이날	이날/NNG
VIP	VIP/SL
고객	고객/NNG
약	약/MMA
4만	4/SN+만/NR
명을	명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
먼저	먼저/MAG
‘프리	‘/SS+프리/NNG
오픈’	오픈/NNG+’/SS
행사를	행사/NNG+를/JKO
열었기	열/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.96.3.3
오전 11시 매장 문이 열리자 각지에서 찾아온 사람들이 속속 입장했다.

오전	오전/NNG
11시	11/SN+시/NNB
매장	매장/NNG
문이	문/NNG+이/JKS
열리자	열리/VV+자/EC
각지에서	각지/NNG+에서/JKB
찾아온	찾아오/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
속속	속속/MAG
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.96.4.1
○ 매머드급 아웃렛 상륙

○	○/SW
매머드급	매머드급/NNG
아웃렛	아웃렛/NNG
상륙	상륙/NNG


# id : NWRW1800000029.96.5.1
이날 첫선을 보인 롯데 프리미엄 아웃렛은 국내 최대 규모를 자랑한다.

이날	이날/NNG
첫선을	첫선/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
롯데	롯데/NNP
프리미엄	프리미엄/NNG
아웃렛은	아웃렛/NNG+은/JX
국내	국내/NNG
최대	최대/NNG
규모를	규모/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.96.5.2
광주와 경남 김해 등에 이어 롯데백화점의 5번째 아웃렛인 파주점은 총면적 15만473m²(약 4만5500평)에 영업면적 3만5428m²(약 1만700평)로 국내에서 가장 크다.

광주와	광주/NNP+와/JC
경남	경남/NNP
김해	김해/NNP
등에	등/NNB+에/JKB
이어	잇/VV+어/EC
롯데백화점의	롯데백화점/NNP+의/JKG
5번째	5/SN+번/NNB+째/XSN
아웃렛인	아웃렛/NNG+이/VCP+ㄴ/ETM
파주점은	파주점/NNG+은/JX
총면적	총면적/NNG
15만473m²(약	15/SN+만/NR+473/SN+m²/SW+(/SS+약/MMA
4만5500평)에	4/SN+만/NR+5500/SN+평/NNB+)/SS+에/JKB
영업면적	영업/NNG+면적/NNG
