# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.255
metadata : {}


# id : NWRW1800000021.255.1.1
LG ‘휘센’ 기술 中경쟁사에 넘어갈뻔

LG	LG/SL
‘휘센’	‘/SS+휘센/NNP+’/SS
기술	기술/NNG
中경쟁사에	中/SH+경쟁사/NNG+에/JKB
넘어갈뻔	넘어가/VV+ㄹ/ETM+뻔/NNB


# id : NWRW1800000021.255.2.1
LG전자 ‘휘센’ 에어컨에 사용된 ‘금속표면처리기술’ 등의 첨단기술을 중국 경쟁업체에 유출하려던 국내 벤처기업의 전 대표와 임원, 연구원 등 4명이 검찰에 적발됐다.

LG전자	LG전자/NNP
‘휘센’	‘/SS+휘센/NNP+’/SS
에어컨에	에어컨/NNG+에/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
‘금속표면처리기술’	‘/SS+금속/NNG+표면/NNG+처리/NNG+기술/NNG+’/SS
등의	등/NNB+의/JKG
첨단기술을	첨단/NNG+기술/NNG+을/JKO
중국	중국/NNP
경쟁업체에	경쟁업체/NNG+에/JKB
유출하려던	유출/NNG+하/XSV+려던/ETM
국내	국내/NNG
벤처기업의	벤처/NNG+기업/NNG+의/JKG
전	전/MMD
대표와	대표/NNG+와/JC
임원,	임원/NNG+,/SP
연구원	연구원/NNG
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
검찰에	검찰/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.255.3.1
서울중앙지검 첨단범죄수사1부(부장 이혁)는 한국과학기술연구원(KIST)이 설립한 국내 벤처기업 P사에서 기술을 빼낸 혐의(부정경쟁 방지 및 영업비밀보호 등에 관한 법률 위반)로 이 회사 전 대표 고모 씨 등 2명을 구속 기소하고 이 회사 연구원 김모 씨 등 2명을 같은 혐의로 불구속 기소했다고 9일 밝혔다.

서울중앙지검	서울중앙지검/NNP
첨단범죄수사1부(부장	첨단/NNG+범죄/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
이혁)는	이혁/NNP+)/SS+는/JX
한국과학기술연구원(KIST)이	한국과학기술연구원/NNP+(/SS+KIST/SL+)/SS+이/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
벤처기업	벤처/NNG+기업/NNG
P사에서	P/SL+사/NNG+에서/JKB
기술을	기술/NNG+을/JKO
빼낸	빼내/VV+ㄴ/ETM
혐의(부정경쟁	혐의/NNG+(/SS+부정/NNG+경쟁/NNG
방지	방지/NNG
및	및/MAG
영업비밀보호	영업/NNG+비밀/NNG+보호/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반)로	위반/NNG+)/SS+로/JKB
이	이/MMD
회사	회사/NNG
전	전/MMD
대표	대표/NNG
고모	고/NNP+모/NP
씨	씨/NNB
등	등/NNB
2명을	2/SN+명/NNB+을/JKO
구속	구속/NNG
기소하고	기소/NNG+하/XSV+고/EC
연구원	연구원/NNG
김모	김/NNP+모/NP
같은	같/VA+은/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.255.3.2
중국으로 도피한 이모 씨 등 이 회사 연구원 2명은 기소중지했다.

중국으로	중국/NNP+으로/JKB
