# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.49
metadata : {}


# id : NWRW1800000036.49.1.1
모텔방에 장부 보관·옆 사무실에 매출조작 비밀전산실… 고소득 자영업자, 현금 빼돌려 탈세

모텔방에	모텔방/NNG+에/JKB
장부	장부/NNG
보관·옆	보관/NNG+·/SP+옆/NNG
사무실에	사무실/NNG+에/JKB
매출조작	매출/NNG+조작/NNG
비밀전산실…	비밀/NNG+전산실/NNG+…/SE
고소득	고/XPN+소득/NNG
자영업자,	자영업자/NNG+,/SP
현금	현금/NNG
빼돌려	빼돌리/VV+어/EC
탈세	탈세/NNG


# id : NWRW1800000036.49.2.1
[한겨레] 병원장·변호사·유흥업소 업주 등

[한겨레]	[/SS+한겨레/NNP+]/SS
병원장·변호사·유흥업소	병원장/NNG+·/SP+변호사/NNG+·/SP+유흥업소/NNG
업주	업주/NNG
등	등/NNB


# id : NWRW1800000036.49.3.1
국세청, 418명 조사 3973억 추징

국세청,	국세청/NNG+,/SP
418명	418/SN+명/NNB
조사	조사/NNG
3973억	3973/SN+억/NR
추징	추징/NNG


# id : NWRW1800000036.49.4.1
“카드 고객 10명이 현금 고객 1명만 못하다.”

“카드	“/SS+카드/NNG
고객	고객/NNG
10명이	10/SN+명/NNB+이/JKS
현금	현금/NNG
1명만	1/SN+명/NNB+만/JX
못하다.”	못/MAG+하/XSA+다/EF+./SF+”/SS


# id : NWRW1800000036.49.5.1
현금거래를 ‘탈세의 왕도’로 삼아온 의사, 변호사, 학원장 등 고소득 자영업자들이 국세청에 무더기로 적발됐다.

현금거래를	현금/NNG+거래/NNG+를/JKO
‘탈세의	‘/SS+탈세/NNG+의/JKG
왕도’로	왕도/NNG+’/SS+로/JKB
삼아온	삼/VV+아/EC+오/VX+ㄴ/ETM
의사,	의사/NNG+,/SP
변호사,	변호사/NNG+,/SP
학원장	학원장/NNG
등	등/NNB
고소득	고/XPN+소득/NNG
자영업자들이	자영업자/NNG+들/XSN+이/JKS
국세청에	국세청/NNG+에/JKB
무더기로	무더기/NNG+로/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.5.2
이들은 현금 소득의 노출을 막기 위해 차명계좌같은 고전적 수법은 물론이고 영업장부를 보관하는 비밀 창고를 모텔에다 별도로 만들어놓거나, 매출 자료를 전산으로 조작하기 위해 별도의 서버를 갖춘 비밀 사무실을 운영하는 최첨단 탈세기법을 선보였다.

이들은	이/NP+들/XSN+은/JX
현금	현금/NNG
소득의	소득/NNG+의/JKG
노출을	노출/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
차명계좌같은	차명/NNG+계좌/NNG+같/VA+은/ETM
고전적	고전/NNG+적/XSN
수법은	수법/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
영업장부를	영업/NNG+장부/NNG+를/JKO
보관하는	보관/NNG+하/XSV+는/ETM
비밀	비밀/NNG
창고를	창고/NNG+를/JKO
모텔에다	모텔/NNG+에다/JKB
별도로	별도/NNG+로/JKB
만들어놓거나,	만들/VV+어/EC+놓/VX+거나/EC+,/SP
매출	매출/NNG
자료를	자료/NNG+를/JKO
전산으로	전산/NNG+으로/JKB
조작하기	조작/NNG+하/XSV+기/ETN
별도의	별도/NNG+의/JKG
서버를	서버/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
사무실을	사무실/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
최첨단	최/XPN+첨단/NNG
탈세기법을	탈세/NNG+기법/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.49.6.1
국세청은 26일 30만원 이상의 상품을 제공했을 경우 소비자가 요구하지 않았어도 현금영수증을 의무적으로 발행해야 하는 의사, 변호사, 학원장, 유흥업소 업주 등 고소득 자영업자 418명을 조사해 탈루세금 3973억원을 추징했다고 발표했다.

국세청은	국세청/NNG+은/JX
26일	26/SN+일/NNB
30만원	30/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
상품을	상품/NNG+을/JKO
제공했을	제공/NNG+하/XSV+았/EP+을/ETM
경우	경우/NNG
소비자가	소비자/NNG+가/JKS
요구하지	요구/NNG+하/XSV+지/EC
않았어도	않/VX+았/EP+어도/EC
현금영수증을	현금/NNG+영수증/NNG+을/JKO
의무적으로	의무/NNG+적/XSN+으로/JKB
발행해야	발행/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
의사,	의사/NNG+,/SP
변호사,	변호사/NNG+,/SP
학원장,	학원장/NNG+,/SP
유흥업소	유흥업소/NNG
업주	업주/NNG
등	등/NNB
고소득	고/XPN+소득/NNG
자영업자	자영업자/NNG
418명을	418/SN+명/NNB+을/JKO
조사해	조사/NNG+하/XSV+아/EC
탈루세금	탈루/NNG+세금/NNG
3973억원을	3973/SN+억/NR+원/NNB+을/JKO
추징했다고	추징/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.49.6.2
이들은 30만원 이상 현금 거래를 하면서 10~15%의 할인을 미끼로 소비자에게 현금을 받고 현금영수증을 발급하지 않는 수법으로 소득을 탈루한 혐의를 받고 있다.

이들은	이/NP+들/XSN+은/JX
30만원	30/SN+만/NR+원/NNB
이상	이상/NNG
현금	현금/NNG
거래를	거래/NNG+를/JKO
하면서	하/VV+면서/EC
10~15%의	10/SN+~/SO+15/SN+%/SW+의/JKG
할인을	할인/NNG+을/JKO
미끼로	미끼/NNG+로/JKB
소비자에게	소비자/NNG+에게/JKB
현금을	현금/NNG+을/JKO
받고	받/VV+고/EC
현금영수증을	현금/NNG+영수증/NNG+을/JKO
발급하지	발급/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
수법으로	수법/NNG+으로/JKB
소득을	소득/NNG+을/JKO
탈루한	탈루/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.49.7.1
국세청은 고소득 자영업자의 현금 소득을 파악하기 위해 2010년 4월부터 변호사 의사 유흥주점 대표 등 34개 업종을 현금영수증 의무발행업종으로 지정하고 각 사업장마다 자동인식 전산장비를 마련했다.

국세청은	국세청/NNG+은/JX
고소득	고/XPN+소득/NNG
자영업자의	자영업자/NNG+의/JKG
현금	현금/NNG
소득을	소득/NNG+을/JKO
파악하기	파악/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2010년	2010/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
변호사	변호사/NNG
의사	의사/NNG
유흥주점	유흥/NNG+주점/NNG
대표	대표/NNG
등	등/NNB
34개	34/SN+개/NNB
업종을	업종/NNG+을/JKO
현금영수증	현금/NNG+영수증/NNG
의무발행업종으로	의무/NNG+발행/NNG+업종/NNG+으로/JKB
지정하고	지정/NNG+하/XSV+고/EC
각	각/MMD
