# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.377
metadata : {}


# id : NWRW1800000036.377.1.1
민주 “이대통령 하야 논의할 시점”

민주	민주/NNP
“이대통령	“/SS+이/NNP+대통령/NNG
하야	하야/NNG
논의할	논의/NNG+하/XSV+ㄹ/ETM
시점”	시점/NNG+”/SS


# id : NWRW1800000036.377.2.1
[한겨레] 전방위사찰, 총선정국 핵으로

[한겨레]	[/SS+한겨레/NNP+]/SS
전방위사찰,	전방위/NNG+사찰/NNG+,/SP
총선정국	총선/NNG+정국/NNG
핵으로	핵/NNG+으로/JKB


# id : NWRW1800000036.377.3.1
박근혜 “누구든 철저히 수사를”

박근혜	박근혜/NNP
“누구든	“/SS+누구/NP+든/JX
철저히	철저히/MAG
수사를”	수사/NNG+를/JKO+”/SS


# id : NWRW1800000036.377.4.1
청와대 비서관의 지휘를 받은 총리실 공직윤리지원관실의 민간인 불법사찰 사건이 11일 앞으로 다가온 4·11 총선의 핵심 쟁점으로 급부상했다.

청와대	청와대/NNP
비서관의	비서관/NNG+의/JKG
지휘를	지휘/NNG+를/JKO
받은	받/VV+은/ETM
총리실	총리실/NNG
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
민간인	민간인/NNG
불법사찰	불법/NNG+사찰/NNG
사건이	사건/NNG+이/JKS
11일	11/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
4·11	4/SN+·/SP+11/SN
총선의	총선/NNG+의/JKG
핵심	핵심/NNG
쟁점으로	쟁점/NNG+으로/JKB
급부상했다.	급부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.4.2
민주통합당은 30일 이 사안을 ‘희대의 국기문란 사건’으로 규정하고 이명박 대통령의 하야까지 거론하고 나섰다.

민주통합당은	민주통합당/NNP+은/JX
30일	30/SN+일/NNB
이	이/MMD
사안을	사안/NNG+을/JKO
‘희대의	‘/SS+희대/NNG+의/JKG
국기문란	국기/NNG+문란/NNG
사건’으로	사건/NNG+’/SS+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
하야까지	하야/NNG+까지/JX
거론하고	거론/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.377.4.3
새누리당도 성역 없는 수사와 함께 권재진 법무장관의 퇴진을 사실상 촉구했다.

새누리당도	새누리당/NNP+도/JX
성역	성역/NNG
없는	없/VA+는/ETM
수사와	수사/NNG+와/JKB
함께	함께/MAG
권재진	권재진/NNP
법무장관의	법무/NNG+장관/NNG+의/JKG
퇴진을	퇴진/NNG+을/JKO
사실상	사실/NNG+상/XSN
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.5.1
한명숙 민주당 대표는 이날 강원도청에서 긴급 기자회견을 열어 “이명박 대통령이 자신의 증거인멸 여부를 확실히 밝히고 연루 인사에 대해선 지위 고하를 막론하고 철저히 수사하도록 지시해야 한다”고 말했다.

한명숙	한명숙/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
강원도청에서	강원도청/NNP+에서/JKB
긴급	긴급/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
자신의	자신/NNG+의/JKG
증거인멸	증거/NNG+인멸/NNG
여부를	여부/NNG+를/JKO
확실히	확실히/MAG
밝히고	밝히/VV+고/EC
연루	연루/NNG
인사에	인사/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
지위	지위/NNG
고하를	고하/NNG+를/JKO
막론하고	막론하/VV+고/EC
철저히	철저히/MAG
수사하도록	수사/NNG+하/XSV+도록/EC
지시해야	지시/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.6.1
민주당 ‘엠비(MB)새누리심판 국민위원회’ 박영선 위원장은 이날 국회에서 열린 선거대책회의 및 엠비심판 국민위원회 공동회의에서 “청와대 지시임을 입증하는 ‘BH(청와대의 영문 약자) 하명’이라고 돼 있다.

민주당	민주당/NNP
‘엠비(MB)새누리심판	‘/SS+엠비/NNP+(/SS+MB/SL+)/SS+새누리/NNP+심판/NNG
국민위원회’	국민/NNG+위원회/NNG+’/SS
박영선	박영선/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
선거대책회의	선거/NNG+대책/NNG+회의/NNG
및	및/MAG
엠비심판	엠비/NNP+심판/NNG
국민위원회	국민/NNG+위원회/NNG
공동회의에서	공동/NNG+회의/NNG+에서/JKB
“청와대	“/SS+청와대/NNP
지시임을	지시/NNG+이/VCP+ㅁ/ETN+을/JKO
입증하는	입증/NNG+하/XSV+는/ETM
‘BH(청와대의	‘/SS+BH/SL+(/SS+청와대/NNP+의/JKG
영문	영문/NNG
약자)	약자/NNG+)/SS
하명’이라고	하명/NNG+’/SS+이라고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.377.6.2
이는 청와대를 비롯한 전방위적인 사정기관에서 불법사찰이 이뤄졌음을 보여주는 것”이라며 “범국민적으로 대통령 하야를 논의해야 할 시점이 아닌가 싶다”고 말했다.

이는	이/NP+는/JX
청와대를	청와대/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
전방위적인	전방위/NNG+적/XSN+이/VCP+ㄴ/ETM
사정기관에서	사정/NNG+기관/NNG+에서/JKB
불법사찰이	불법/NNG+사찰/NNG+이/JKS
이뤄졌음을	이뤄지/VV+었/EP+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“범국민적으로	“/SS+범/XPN+국민/NNG+적/XSN+으로/JKB
대통령	대통령/NNG
하야를	하야/NNG+를/JKO
논의해야	논의/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
시점이	시점/NNG+이/JKC
아닌가	아니/VCN+ㄴ가/EF
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.6.3
우위영 통합진보당 대변인은 “불법사찰은 헌법과 민주주의를 짓밟고 유린한 이명박 정권 최악의 사태로 정권을 내놔야 할 어마어마한 사건”이라며 “이명박 대통령이 직접 해명하고 그에 상응하는 책임을 져야 한다”고 논평했다.

우위영	우위영/NNP
통합진보당	통합진보당/NNP
대변인은	대변인/NNG+은/JX
“불법사찰은	“/SS+불법/NNG+사찰/NNG+은/JX
헌법과	헌법/NNG+과/JC
민주주의를	민주주의/NNG+를/JKO
짓밟고	짓밟/VV+고/EC
유린한	유린/NNG+하/XSV+ㄴ/ETM
이명박	이명박/NNP
정권	정권/NNG
최악의	최악/NNG+의/JKG
사태로	사태/NNG+로/JKB
정권을	정권/NNG+을/JKO
내놔야	내놓/VV+아야/EC
할	하/VX+ㄹ/ETM
어마어마한	어마어마하/VA+ㄴ/ETM
사건”이라며	사건/NNG+”/SS+이/VCP+라며/EC
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
해명하고	해명/NNG+하/XSV+고/EC
그에	그/NP+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
책임을	책임/NNG+을/JKO
져야	짓/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
논평했다.	논평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.377.7.1
박근혜 새누리당 비상대책위원장은 이날 대전 합동유세 뒤 “민간인 사찰은 반드시 근절돼야 할 중대한 문제”라며 “지위 고하를 막론하고 그 일을 저지른 사람이 누구든 상관없이 철저히 수사해 책임 있는 사람을 엄벌해야 한다”고 말했다.

박근혜	박근혜/NNP
새누리당	새누리당/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
이날	이날/NNG
대전	대전/NNP
합동유세	합동/NNG+유세/NNG
뒤	뒤/NNG
“민간인	“/SS+민간인/NNG
사찰은	사찰/NNG+은/JX
반드시	반드시/MAG
근절돼야	근절/NNG+되/XSV+어야/EC
할	하/VX+ㄹ/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“지위	“/SS+지위/NNG
고하를	고하/NNG+를/JKO
막론하고	막론하/VV+고/EC
그	그/MMD
일을	일/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
누구든	누구/NP+든/JX
상관없이	상관없이/MAG
철저히	철저히/MAG
수사해	수사/NNG+하/XSV+아/EC
책임	책임/NNG
있는	있/VA+는/ETM
사람을	사람/NNG+을/JKO
엄벌해야	엄벌/NNG+하/XSV+아야/EC
