# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.2
metadata : {}


# id : NWRW1800000028.2.1.1
‘금호그룹 일가’ 경영권 보장…‘대마불사’ 부활

‘금호그룹	‘/SS+금호그룹/NNP
일가’	일가/NNG+’/SS
경영권	경영/NNG+권/XSN
보장…‘대마불사’	보장/NNG+…/SE+‘/SS+대마불사/NNG+’/SS
부활	부활/NNG


# id : NWRW1800000028.2.2.1
채권단과 금융감독당국이 금호그룹 구조조정과 관련해 부실 책임이 있는 박삼구 회장 등 대주주 일가의 경영권을 최소 3년은 보장하기로 해, 외환위기를 계기로 무너지는 듯했던 이른바 ‘대마불사 신화’가 다시 부활하는 것 아니냐는 지적이 나오고 있다.

채권단과	채권단/NNG+과/JC
금융감독당국이	금융/NNG+감독/NNG+당국/NNG+이/JKS
금호그룹	금호그룹/NNP
구조조정과	구조/NNG+조정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
부실	부실/NNG
책임이	책임/NNG+이/JKS
있는	있/VA+는/ETM
박삼구	박삼구/NNP
회장	회장/NNG
등	등/NNB
대주주	대/XPN+주주/NNG
일가의	일가/NNG+의/JKG
경영권을	경영/NNG+권/XSN+을/JKO
최소	최소/NNG
3년은	3/SN+년/NNB+은/JX
보장하기로	보장/NNG+하/XSV+기/ETN+로/JKB
해,	하/VV+아/EC+,/SP
외환위기를	외환/NNG+위기/NNG+를/JKO
계기로	계기/NNG+로/JKB
무너지는	무너지/VV+는/ETM
듯했던	듯/NNB+하/XSA+았/EP+던/ETM
이른바	이른바/MAG
‘대마불사	‘/SS+대마불사/NNG
신화’가	신화/NNG+’/SS+가/JKS
다시	다시/MAG
부활하는	부활/NNG+하/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.2.3.1
채권단 대표인 산업은행의 고위 임원은 31일 “금호산업과 금호타이어는 기업구조조정촉진법상 워크아웃에 따라 채권단의 출자전환을 포함한 구조조정이 이뤄지더라도 대주주 일가의 경영권을 최소 3년에서 최대 5년까지 인정하기로 했다”고 밝혔다.

채권단	채권단/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
산업은행의	산업은행/NNP+의/JKG
고위	고위/NNG
임원은	임원/NNG+은/JX
31일	31/SN+일/NNB
“금호산업과	“/SS+금호산업/NNP+과/JC
금호타이어는	금호타이어/NNP+는/JX
기업구조조정촉진법상	기업/NNG+구조/NNG+조정/NNG+촉진법/NNG+상/XSN
워크아웃에	워크아웃/NNG+에/JKB
따라	따르/VV+아/EC
채권단의	채권단/NNG+의/JKG
