# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.144
metadata : {}


# id : NWRW1800000028.144.1.1
감잡은 박경완, 헤매는 김현수

감잡은	감/NNG+잡/VV+은/ETM
박경완,	박경완/NNP+,/SP
헤매는	헤매/VV+는/ETM
김현수	김현수/NNP


# id : NWRW1800000028.144.2.1
프로야구 에스케이 와이번스의 ‘안방마님’ 박경완(38)은 지난달 30일 문학 엘지전에서 포수 첫 300홈런의 금자탑을 세웠다.

프로야구	프로/NNG+야구/NNG
에스케이	에스케이/NNP
와이번스의	와이번스/NNP+의/JKG
‘안방마님’	‘/SS+안방마님/NNG+’/SS
박경완(38)은	박경완/NNP+(/SS+38/SN+)/SS+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
문학	문학/NNG
엘지전에서	엘지전/NNG+에서/JKB
포수	포수/NNG
첫	첫/MMN
300홈런의	300/SN+홈런/NNG+의/JKG
금자탑을	금자탑/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.144.2.2
수비 부담이 큰 포수를 맡으면서도 통산 포수 홈런 2위(252개)인 같은 팀 이만수 수석코치가 보는 앞에서 1991년 데뷔 이후 20시즌 만에 대기록의 주인공이 된 것이다.

수비	수비/NNG
부담이	부담/NNG+이/JKS
큰	크/VA+ㄴ/ETM
포수를	포수/NNG+를/JKO
맡으면서도	맡/VV+으면서/EC+도/JX
통산	통산/NNG
포수	포수/NNG
홈런	홈런/NNG
2위(252개)인	2/SN+위/NNB+(/SS+252/SN+개/NNB+)/SS+이/VCP+ㄴ/ETM
같은	같/VA+은/ETM
팀	팀/NNG
이만수	이만수/NNP
수석코치가	수석/NNG+코치/NNG+가/JKS
보는	보/VV+는/ETM
앞에서	앞/NNG+에서/JKB
1991년	1991/SN+년/NNB
데뷔	데뷔/NNG
이후	이후/NNG
20시즌	20/SN+시즌/NNG
만에	만/NNB+에/JKB
대기록의	대/XPN+기록/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.144.3.1
이어 다음날에는 결승점이 된 3점 홈런을 터뜨리는 등 지난주 눈부신 활약을 펼쳤다.

이어	이어/MAG
다음날에는	다음날/NNG+에/JKB+는/JX
결승점이	결승점/NNG+이/JKC
된	되/VV+ㄴ/ETM
3점	3/SN+점/NNB
홈런을	홈런/NNG+을/JKO
터뜨리는	터뜨리/VV+는/ETM
등	등/NNB
지난주	지난주/NNG
눈부신	눈부시/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.144.3.2
수비에서는 포수 마스크를 쓰고 투수들을 잘 이끌어 팀이 15연승을 이어가는 데 큰 구실을 했다.

수비에서는	수비/NNG+에서/JKB+는/JX
포수	포수/NNG
마스크를	마스크/NNG+를/JKO
쓰고	쓰/VV+고/EC
투수들을	투수/NNG+들/XSN+을/JKO
잘	잘/MAG
이끌어	이끌/VV+어/EC
팀이	팀/NNG+이/JKS
15연승을	15/SN+연승/NNG+을/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
구실을	구실/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.144.4.1
박경완은 지난주 5경기에서 13타수 7안타(0.538) 2홈런 5타점으로 불방망이를 휘두르며 주간 타율 2위에 올랐다.

박경완은	박경완/NNP+은/JX
지난주	지난주/NNG
5경기에서	5/SN+경기/NNG+에서/JKB
13타수	13/SN+타수/NNG
7안타(0.538)	7/SN+안타/NNG+(/SS+0/SN+./SP+538/SN+)/SS
2홈런	2/SN+홈런/NNG
5타점으로	5/SN+타점/NNG+으로/JKB
불방망이를	불방망이/NNG+를/JKO
휘두르며	휘두르/VV+며/EC
주간	주간/NNG
타율	타율/NNG
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.144.4.2
18차례 타석에 들어서 7개의 안타와 볼넷 5개를 골라 출루율은 무려 0.667에 이른다.

18차례	18/SN+차례/NNG
타석에	타석/NNG+에/JKB
들어서	들어서/VV+어/EC
7개의	7/SN+개/NNB+의/JKG
안타와	안타/NNG+와/JC
볼넷	볼넷/NNG
5개를	5/SN+개/NNB+를/JKO
골라	고르/VV+아/EC
출루율은	출루/NNG+율/XSN+은/JX
무려	무려/MAG
0.667에	0/SN+./SP+667/SN+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.144.4.3
물론 주간 출루율 1위다.

물론	물론/MAG
주간	주간/NNG
출루율	출루/NNG+율/XSN
