# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.22
metadata : {}


# id : NWRW1800000026.22.1.1
[아이티 지진 참사]"내 딸이 살아있대, 내 딸이…" 울음 터진 '3000㎞ 母情';美거주 아이티 여성 나디아 전재산 들고 급히 고향으로 딸과 동생 생존 전해듣고 연방 "난 행복해요"

[아이티	[/SS+아이티/NNP
지진	지진/NNG
참사]"내	참사/NNG+]/SS+"/SS+나/NP+의/JKG
딸이	딸/NNG+이/JKS
살아있대,	살/VV+아/EC+있/VX+대/EF+,/SP
내	나/NP+의/JKG
딸이…"	딸/NNG+이/JKS+…/SE+"/SS
울음	울음/NNG
터진	터지/VV+ㄴ/ETM
'3000㎞	'/SS+3000/SN+㎞/SW
母情';美거주	母情/SH+'/SS+;/SP+美/SH+거주/NNG
아이티	아이티/NNP
여성	여성/NNG
나디아	나디아/NNP
전재산	전/MMN+재산/NNG
들고	들/VV+고/EC
급히	급히/MAG
고향으로	고향/NNG+으로/JKB
딸과	딸/NNG+과/JC
동생	동생/NNG
생존	생존/NNG
전해듣고	전하/VV+아/EC+듣/VV+고/EC
연방	연방/MAG
"난	"/SS+나/NP+ㄴ/JX
행복해요"	행복/NNG+하/XSA+아요/EF+"/SS


# id : NWRW1800000026.22.2.1
지난 15일 도미니카 공화국에서 아이티로 들어가는 육로에서 기자는 미국에서 온 아이티 여성 나디아 에그장튀 조셉(34)을 만났다.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
도미니카	도미니카/NNP
공화국에서	공화국/NNG+에서/JKB
아이티로	아이티/NNP+로/JKB
들어가는	들어가/VV+는/ETM
육로에서	육로/NNG+에서/JKB
기자는	기자/NNG+는/JX
미국에서	미국/NNP+에서/JKB
온	오/VV+ㄴ/ETM
아이티	아이티/NNP
여성	여성/NNG
나디아	나디아/NNP
에그장튀	에그장튀/NNP
조셉(34)을	조셉/NNP+(/SS+34/SN+)/SS+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.3.1
그녀는 기자와 만나기 직전 도미니카 국경 도시 히마니에서 고속버스를 타고 아이티로 들어가다 사고를 당했다.

그녀는	그녀/NP+는/JX
기자와	기자/NNG+와/JKB
만나기	만나/VV+기/ETN
직전	직전/NNG
도미니카	도미니카/NNP
국경	국경/NNG
도시	도시/NNG
히마니에서	히마니/NNP+에서/JKB
고속버스를	고속버스/NNG+를/JKO
타고	타/VV+고/EC
아이티로	아이티/NNP+로/JKB
들어가다	들어가/VV+다/EC
사고를	사고/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.22.4.1
버스가 턱이 진 길가로 탈선하는 바람에 같이 버스에 탔던 아이티인 수십명과 함께 길가에서 우왕좌왕하고 있었다.

버스가	버스/NNG+가/JKS
턱이	턱/NNG+이/JKS
진	지/VV+ㄴ/ETM
길가로	길가/NNG+로/JKB
탈선하는	탈선/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
같이	같이/MAG
버스에	버스/NNG+에/JKB
탔던	타/VV+았/EP+던/ETM
아이티인	아이티인/NNG
수십명과	수십/NR+명/NNB+과/JKB
함께	함께/MAG
길가에서	길가/NNG+에서/JKB
우왕좌왕하고	우왕좌왕/NNG+하/XSV+고/EC
