# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.92
metadata : {}


# id : NWRW1800000025.92.1.1
[수도권]“이 버스, 소화기가 없네… 안전항목 빵점”

[수도권]“이	[/SS+수도/NNG+권/XSN+]/SS+“/SS+이/MMD
버스,	버스/NNG+,/SP
소화기가	소화기/NNG+가/JKS
없네…	없/VA+네/EF+…/SE
안전항목	안전/NNG+항목/NNG
빵점”	빵점/NNG+”/SS


# id : NWRW1800000025.92.2.1
지난달 29일 서울 마포구 성산2동 마포구청 앞 버스정류장에서 버스를 기다리던 마정옥 씨(59·여)는 타야 할 마을버스가 다가오자 핸드백에서 작은 메모지와 볼펜을 꺼냈다.

지난달	지난달/NNG
29일	29/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
성산2동	성산2동/NNP
마포구청	마포구청/NNP
앞	앞/NNG
버스정류장에서	버스/NNG+정류장/NNG+에서/JKB
버스를	버스/NNG+를/JKO
기다리던	기다리/VV+던/ETM
마정옥	마정옥/NNP
씨(59·여)는	씨/NNB+(/SS+59/SN+·/SP+여/NNG+)/SS+는/JX
타야	타/VV+아야/EC
할	하/VX+ㄹ/ETM
마을버스가	마을버스/NNG+가/JKS
다가오자	다가오/VV+자/EC
핸드백에서	핸드백/NNG+에서/JKB
작은	작/VA+은/ETM
메모지와	메모지/NNG+와/JC
볼펜을	볼펜/NNG+을/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.2.2
노선번호와 현재 시간, 차량등록번호 등을 빠르게 적은 마 씨는 다시 메모지를 숨기고 태연히 버스에 올라탔다.

노선번호와	노선/NNG+번호/NNG+와/JC
현재	현재/NNG
시간,	시간/NNG+,/SP
차량등록번호	차량/NNG+등록/NNG+번호/NNG
등을	등/NNB+을/JKO
빠르게	빠르/VA+게/EC
적은	적/VV+은/ETM
마	마/NNP
씨는	씨/NNB+는/JX
다시	다시/MAG
메모지를	메모지/NNG+를/JKO
숨기고	숨기/VV+고/EC
태연히	태연히/MAG
버스에	버스/NNG+에/JKB
올라탔다.	올라타/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.2.3
버스 친절도나 청결도 등을 평가하는 ‘암행감찰’을 시작한 것.

버스	버스/NNG
친절도나	친절도/NNG+나/JC
청결도	청결도/NNG
등을	등/NNB+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
‘암행감찰’을	‘/SS+암행감찰/NNG+’/SS+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.92.2.4
마 씨는 마포구에서 운영하는 ‘버스구민평가단’으로 활동하고 있다.

마	마/NNP
씨는	씨/NNB+는/JX
마포구에서	마포구/NNP+에서/JKB
운영하는	운영/NNG+하/XSV+는/ETM
‘버스구민평가단’으로	‘/SS+버스/NNG+구민/NNG+평가단/NNG+’/SS+으로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.92.2.5
기자도 이날 마 씨와 함께 점검에 나섰다.

기자도	기자/NNG+도/JX
이날	이날/NNG
마	마/NNP
씨와	씨/NNB+와/JKB
함께	함께/MAG
점검에	점검/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.3.1
○ 기사 친절도부터 버스 청결상태까지

○	○/SW
기사	기사/NNG
친절도부터	친절도/NNG+부터/JX
버스	버스/NNG
청결상태까지	청결/NNG+상태/NNG+까지/JX


# id : NWRW1800000025.92.4.1
버스에 타면서 마 씨가 운전기사에게 “안녕하세요”라고 인사를 건넸다.

버스에	버스/NNG+에/JKB
타면서	타/VV+면서/EC
마	마/NNP
씨가	씨/NNB+가/JKS
운전기사에게	운전기사/NNG+에게/JKB
“안녕하세요”라고	“/SS+안녕/NNG+하/XSA+시/EP+어요/EF+”/SS+라고/JKQ
인사를	인사/NNG+를/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.4.2
마을버스 기사가 반갑게 맞았다.

마을버스	마을버스/NNG
기사가	기사/NNG+가/JKS
반갑게	반갑/VA+게/EC
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.4.3
자리에 앉은 마 씨는 습관적으로 창 밖을 응시하는 다른 승객들과 달랐다.

자리에	자리/NNG+에/JKB
앉은	앉/VV+은/ETM
마	마/NNP
씨는	씨/NNB+는/JX
습관적으로	습관/NNG+적/XSN+으로/JKB
창	창/NNG
밖을	밖/NNG+을/JKO
응시하는	응시/NNG+하/XSV+는/ETM
다른	다른/MMD
승객들과	승객/NNG+들/XSN+과/JKB
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.92.4.4
빠르게 버스 이곳저곳을 둘러보며 조금 전에 숨겼던 메모지에 무언가를 재빠르게 적었다.

빠르게	빠르/VA+게/EC
버스	버스/NNG
이곳저곳을	이곳저곳/NNG+을/JKO
둘러보며	둘러보/VV+며/EC
조금	조금/NNG
전에	전/NNG+에/JKB
숨겼던	숨기/VV+었/EP+던/ETM
메모지에	메모지/NNG+에/JKB
무언가를	무어/NP+이/VCP+ㄴ가/EF+를/JKO
재빠르게	재빠르/VA+게/EC
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.4.5
정확한 노선을 모른 채 버스에 탄 승객들과 버스기사의 대화를 주의 깊게 엿듣기도 했다.

정확한	정확/NNG+하/XSA+ㄴ/ETM
노선을	노선/NNG+을/JKO
모른	모르/VV+ㄴ/ETM
채	채/NNB
버스에	버스/NNG+에/JKB
탄	타/VV+ㄴ/ETM
승객들과	승객/NNG+들/XSN+과/JKB
버스기사의	버스/NNG+기사/NNG+의/JKG
대화를	대화/NNG+를/JKO
주의	주의/NNG
깊게	깊/VA+게/EC
엿듣기도	엿듣/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.92.4.6
버스에서 내린 곳은 서대문구 창천동 신촌 현대백화점 앞.

버스에서	버스/NNG+에서/JKB
