# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.88
metadata : {}


# id : NWRW1800000030.88.1.1
"높은 산보다 동네 야산 오르고 밤 11시에 잠자리 드세요"

"높은	"/SS+높/VA+은/ETM
산보다	산/NNG+보다/JKB
동네	동네/NNG
야산	야산/NNG
오르고	오르/VV+고/EC
밤	밤/NNG
11시에	11/SN+시/NNB+에/JKB
잠자리	잠자리/NNG
드세요"	들/VV+시/EP+어요/EF+"/SS


# id : NWRW1800000030.88.2.1
?암 환자 10년 이상 건강하게 살려면

?암	?/NA+암/NNG
환자	환자/NNG
10년	10/SN+년/NNB
이상	이상/NNG
건강하게	건강/NNG+하/XSA+게/EC
살려면	살/VV+려면/EC


# id : NWRW1800000030.88.3.1
"암에 걸려도 일찍 발견하고, 검증된 치료법을 충실히 따르며, 긍정적인 마음을 잃지 않고 생활습관을 개선하면 얼마든지 완치해 오래 살 수 있습니다."

"암에	"/SS+암/NNG+에/JKB
걸려도	걸리/VV+어도/EC
일찍	일찍/MAG
발견하고,	발견/NNG+하/XSV+고/EC+,/SP
검증된	검증/NNG+되/XSV+ㄴ/ETM
치료법을	치료법/NNG+을/JKO
충실히	충실히/MAG
따르며,	따르/VV+며/EC+,/SP
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
마음을	마음/NNG+을/JKO
잃지	잃/VV+지/EC
않고	않/VX+고/EC
생활습관을	생활/NNG+습관/NNG+을/JKO
개선하면	개선/NNG+하/XSV+면/EC
얼마든지	얼마/NNG+든지/JX
완치해	완치/NNG+하/XSV+아/EC
오래	오래/MAG
살	살/VV+ㄹ/ETM
수	수/NNB
있습니다."	있/VA+습니다/EF+./SF+"/SS


# id : NWRW1800000030.88.4.1
이대여성암전문병원 백남선 원장은 "지난 10년간 우리나라 전체 암환자 완치율이 15% 정도 올라갔을 뿐 아니라, 10~20년 이상 건강하게 사는 암 장기생존자가 크게 늘었다"며, 장기생존자가 증가한 원인을 암 조기발견율 증가, 새로운 수술기법과 표적항암제 등 치료술의 발전, 암 환자의 생활습관과 마음 상태를 아우르는 토털 케어 등 세 가지로 꼽았다.

이대여성암전문병원	이대여성암전문병원/NNP
백남선	백남선/NNP
원장은	원장/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
우리나라	우리나라/NNG
전체	전체/NNG
암환자	암/NNG+환자/NNG
완치율이	완치/NNG+율/XSN+이/JKS
15%	15/SN+%/SW
정도	정도/NNG
올라갔을	올라가/VV+았/EP+을/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
10~20년	10/SN+~/SO+20/SN+년/NNB
이상	이상/NNG
건강하게	건강/NNG+하/XSA+게/EC
사는	살/VV+는/ETM
암	암/NNG
장기생존자가	장기/NNG+생존자/NNG+가/JKS
크게	크/VA+게/EC
늘었다"며,	늘/VV+었/EP+다/EF+"/SS+며/EC+,/SP
증가한	증가/NNG+하/XSV+ㄴ/ETM
원인을	원인/NNG+을/JKO
조기발견율	조기/NNG+발견/NNG+율/XSN
증가,	증가/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
수술기법과	수술/NNG+기법/NNG+과/JC
표적항암제	표적/NNG+항암제/NNG
등	등/NNB
치료술의	치료술/NNG+의/JKG
발전,	발전/NNG+,/SP
환자의	환자/NNG+의/JKG
생활습관과	생활/NNG+습관/NNG+과/JC
마음	마음/NNG
상태를	상태/NNG+를/JKO
아우르는	아우르/VV+는/ETM
토털	토털/NNG
케어	케어/NNG
세	세/MMN
가지로	가지/NNB+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.5.1
백남선 원장은 "수술·항암 등 급성기 치료 후 재발 없이 오래 살려면 암에 의해 삶의 질이 나빠지지 않도록 환자 스스로 일상생활과 정서 관리를 올바로 해야 한다"고 말했다.

백남선	백남선/NNP
원장은	원장/NNG+은/JX
"수술·항암	"/SS+수술/NNG+·/SP+항암/NNG
등	등/NNB
급성기	급성기/NNG
치료	치료/NNG
후	후/NNG
재발	재발/NNG
없이	없이/MAG
오래	오래/MAG
살려면	살/VV+려면/EC
암에	암/NNG+에/JKB
의해	의하/VV+아/EC
삶의	삶/NNG+의/JKG
질이	질/NNG+이/JKS
나빠지지	나빠지/VV+지/EC
않도록	않/VX+도록/EC
환자	환자/NNG
스스로	스스로/MAG
일상생활과	일상생활/NNG+과/JC
정서	정서/NNG
관리를	관리/NNG+를/JKO
올바로	올바로/MAG
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.5.2
이어 음식·운동·수면을 통한 암환자의 장기생존법을 구체적으로 제시했다.

이어	이어/MAG
음식·운동·수면을	음식/NNG+·/SP+운동/NNG+·/SP+수면/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
암환자의	암/NNG+환자/NNG+의/JKG
장기생존법을	장기/NNG+생존법/NNG+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.5.3
음식과 관련, 백 원장은 "음식이 전체 암 발병 원인의 35%를 차지한다"며 "고지방·고칼로리식 대신 제철 과일과 채소를 충분히 먹고 항산화비타민인 비타민A·C·E와 셀레늄, 폴리페놀 등을 충분히 섭취하면 암 전이와 재발 방지에 큰 도움이 된다"고 말했다.

음식과	음식/NNG+과/JKB
관련,	관련/NNG+,/SP
백	백/NNP
원장은	원장/NNG+은/JX
"음식이	"/SS+음식/NNG+이/JKS
전체	전체/NNG
암	암/NNG
발병	발병/NNG
원인의	원인/NNG+의/JKG
35%를	35/SN+%/SW+를/JKO
차지한다"며	차지/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"고지방·고칼로리식	"/SS+고/XPN+지방/NNG+·/SP+고/XPN+칼로리식/NNG
대신	대신/NNG
제철	제철/NNG
과일과	과일/NNG+과/JC
채소를	채소/NNG+를/JKO
충분히	충분히/MAG
먹고	먹/VV+고/EC
항산화비타민인	항산화/NNG+비타민/NNG+이/VCP+ㄴ/ETM
비타민A·C·E와	비타민/NNG+A/SL+·/SP+C/SL+·/SP+E/SL+와/JC
셀레늄,	셀레늄/NNG+,/SP
폴리페놀	폴리페놀/NNG
등을	등/NNB+을/JKO
섭취하면	섭취/NNG+하/XSV+면/EC
전이와	전이/NNG+와/JC
재발	재발/NNG
방지에	방지/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.6.1
백 원장은 이어 운동에 대해 "땀을 뻘뻘 흘리는 강도보다 살짝 맺힐 정도로 하라"며 "예를 들어, 높은 산을 등산하기보다 동네 야산을 땀이 조금 날 정도로 오르라"고 말했다.

백	백/NNP
원장은	원장/NNG+은/JX
이어	잇/VV+어/EC
운동에	운동/NNG+에/JKB
대해	대하/VV+아/EC
"땀을	"/SS+땀/NNG+을/JKO
뻘뻘	뻘뻘/MAG
흘리는	흘리/VV+는/ETM
강도보다	강도/NNG+보다/JKB
살짝	살짝/MAG
맺힐	맺히/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
하라"며	하/VV+라/EF+"/SS+며/EC
