# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.117
metadata : {}


# id : NWRW1800000033.117.1.1
生과 死 경계에 선 회색인들의 사투… ‘더 그레이’

生과	生/SH+과/JC
死	死/SH
경계에	경계/NNG+에/JKB
선	서/VV+ㄴ/ETM
회색인들의	회색인/NNG+들/XSN+의/JKG
사투…	사투/NNG+…/SE
‘더	‘/SS+더/NNP
그레이’	그레이/NNP+’/SS


# id : NWRW1800000033.117.2.1
■ 리엄 니슨 주연 ‘더 그레이’

■	■/SW
리엄	리엄/NNP
니슨	니슨/NNP
주연	주연/NNG
‘더	‘/SS+더/NNP
그레이’	그레이/NNP+’/SS


# id : NWRW1800000033.117.3.1
도통한 분들은 생(生)과 사(死)가 백지 한 장 차라고 하지만 범인들에게 그 경계를 넘는 일은 감당하기 힘들다.

도통한	도통/NNG+하/XSV+ㄴ/ETM
분들은	분/NNB+들/XSN+은/JX
생(生)과	생/NNG+(/SS+生/SH+)/SS+과/JC
사(死)가	사/NNG+(/SS+死/SH+)/SS+가/JKS
백지	백지/NNG
한	한/MMN
장	장/NNB
차라고	차/NNG+이/VCP+라고/EC
하지만	하/VV+지만/EC
범인들에게	범인/NNG+들/XSN+에게/JKB
그	그/MMD
경계를	경계/NNG+를/JKO
넘는	넘/VV+는/ETM
일은	일/NNG+은/JX
감당하기	감당/NNG+하/XSV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000033.117.3.2
그래서 사람들은 이 경계를 뛰어넘는 짜릿한 경험을 꿈꾼다.

그래서	그래서/MAJ
사람들은	사람/NNG+들/XSN+은/JX
이	이/MMD
경계를	경계/NNG+를/JKO
뛰어넘는	뛰어넘/VV+는/ETM
짜릿한	짜릿하/VA+ㄴ/ETM
경험을	경험/NNG+을/JKO
꿈꾼다.	꿈꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.3.3
단, 간접 경험으로 말이다.

단,	단/MAJ+,/SP
간접	간접/NNG
경험으로	경험/NNG+으로/JKB
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.3.4
이런 경험을 원하는 관객에게 16일 개봉하는 ‘더 그레이(The Grey)’를 권한다.

이런	이런/MMD
경험을	경험/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
관객에게	관객/NNG+에게/JKB
16일	16/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
‘더	‘/SS+더/NNP
그레이(The	그레이/NNP+(/SS+The/SL
Grey)’를	Grey/SL+)/SS+’/SS+를/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.3.5
영화는 제목처럼 생(흰색)과 사(검은색)의 경계에 선 회색인들의 분투를 담았다.

영화는	영화/NNG+는/JX
제목처럼	제목/NNG+처럼/JKB
생(흰색)과	생/NNG+(/SS+흰색/NNG+)/SS+과/JC
사(검은색)의	사/NNG+(/SS+검은색/NNG+)/SS+의/JKG
경계에	경계/NNG+에/JKB
선	서/VV+ㄴ/ETM
회색인들의	회색인/NNG+들/XSN+의/JKG
분투를	분투/NNG+를/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.117.4.1
알래스카의 한 유전 노동자들은 2주 동안의 휴가를 얻는다.

알래스카의	알래스카/NNP+의/JKG
한	한/MMN
유전	유전/NNG
노동자들은	노동자/NNG+들/XSN+은/JX
2주	2/SN+주/NNB
동안의	동안/NNG+의/JKG
휴가를	휴가/NNG+를/JKO
얻는다.	얻/VV+는다/EF+./SF


# id : NWRW1800000033.117.4.2
유전의 야생동물로부터 동료를 보호하는 임무를 맡은 사냥꾼 오트웨이(리엄 니슨)도 고향으로 향하지만 비행기가 알래스카 툰드라 지역 한복판에 추락한다.

유전의	유전/NNG+의/JKG
야생동물로부터	야생/NNG+동물/NNG+로부터/JKB
동료를	동료/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
임무를	임무/NNG+를/JKO
맡은	맡/VV+은/ETM
사냥꾼	사냥/NNG+꾼/XSN
오트웨이(리엄	오트웨이/NNP+(/SS+리엄/NNP
니슨)도	니슨/NNP+)/SS+도/JX
고향으로	고향/NNG+으로/JKB
향하지만	향하/VV+지만/EC
비행기가	비행기/NNG+가/JKS
알래스카	알래스카/NNP
툰드라	툰드라/NNP
지역	지역/NNG
한복판에	한/XPN+복판/NNG+에/JKB
추락한다.	추락/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.4.3
영하 30∼40도에 이르는 추위와 눈보라, 송아지만 한 늑대들이 이들의 생명을 위협한다.

영하	영하/NNG
30∼40도에	30/SN+∼/SO+40/SN+도/NNB+에/JKB
이르는	이르/VV+는/ETM
추위와	추위/NNG+와/JC
눈보라,	눈보라/NNG+,/SP
송아지만	송아지/NNG+만/JX
한	하/VA+ㄴ/ETM
늑대들이	늑대/NNG+들/XSN+이/JKS
이들의	이/NP+들/XSN+의/JKG
생명을	생명/NNG+을/JKO
위협한다.	위협/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.5.1
○ 초반부 비행기 추락 장면이 압권

○	○/SW
초반부	초반부/NNG
비행기	비행기/NNG
추락	추락/NNG
장면이	장면/NNG+이/JKS
압권	압권/NNG


# id : NWRW1800000033.117.6.1
영화는 지옥으로의 생생한 안내 지도다.

영화는	영화/NNG+는/JX
지옥으로의	지옥/NNG+으로/JKB+의/JKG
생생한	생생하/VA+ㄴ/ETM
안내	안내/NNG
지도다.	지도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.6.2
‘K2’ ‘얼라이브’ ‘127시간’ 등 조난 영화는 많았지만 이처럼 실제를 방불케 하는 장면들로 관객을 117분간 꼼짝 못하게 붙들어 두는 작품도 드물다.

‘K2’	‘/SS+K2/NNP+’/SS
‘얼라이브’	‘/SS+얼라이브/NNP+’/SS
‘127시간’	‘/SS+127시간/NNP+’/SS
등	등/NNB
조난	조난/NNG
영화는	영화/NNG+는/JX
많았지만	많/VA+았/EP+지만/EC
이처럼	이/NP+처럼/JKB
실제를	실제/NNG+를/JKO
방불케	방불하/VA+게/EC
하는	하/VX+는/ETM
장면들로	장면/NNG+들/XSN+로/JKB
관객을	관객/NNG+을/JKO
117분간	117/SN+분/NNB+간/XSN
꼼짝	꼼짝/MAG
못하게	못/MAG+하/VV+게/EC
붙들어	붙들/VV+어/EC
두는	두/VX+는/ETM
작품도	작품/NNG+도/JX
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000033.117.6.3
초반부 생생한 비행기 추락 장면은 영화의 백미.

초반부	초반부/NNG
생생한	생생하/VA+ㄴ/ETM
비행기	비행기/NNG
추락	추락/NNG
장면은	장면/NNG+은/JX
영화의	영화/NNG+의/JKG
백미.	백미/NNG+./SF


# id : NWRW1800000033.117.6.4
흔들리는 비행기 내부의 극사실적인 묘사에 긴장과 이완을 완벽하게 조절하는 음향효과가 더해져 관객은 마치 추락하는 비행기에 탑승한 것 같은 착각에 빠진다.

흔들리는	흔들리/VV+는/ETM
비행기	비행기/NNG
내부의	내부/NNG+의/JKG
극사실적인	극사실/NNG+적/XSN+이/VCP+ㄴ/ETM
묘사에	묘사/NNG+에/JKB
긴장과	긴장/NNG+과/JC
이완을	이완/NNG+을/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
조절하는	조절/NNG+하/XSV+는/ETM
음향효과가	음향/NNG+효과/NNG+가/JKS
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
관객은	관객/NNG+은/JX
마치	마치/MAG
추락하는	추락/NNG+하/XSV+는/ETM
비행기에	비행기/NNG+에/JKB
탑승한	탑승/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
착각에	착각/NNG+에/JKB
빠진다.	빠지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.6.5
영화를 연출한 조 카너핸 감독도 “(이 영화는) 하드코어 서바이벌 무비다.

영화를	영화/NNG+를/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
조	조/NNP
카너핸	카너핸/NNP
감독도	감독/NNG+도/JX
“(이	“/SS+(/SS+이/MMD
영화는)	영화/NNG+는/JX+)/SS
하드코어	하드코어/NNG
서바이벌	서바이벌/NNG
무비다.	무비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.6.6
비행기 여행과 야생동물을 두려워하는 관객이라면 이 영화를 본 후유증이 평생 갈지도 모른다”고 ‘경고’했을 정도다.

비행기	비행기/NNG
여행과	여행/NNG+과/JC
야생동물을	야생/NNG+동물/NNG+을/JKO
두려워하는	두려워하/VV+는/ETM
관객이라면	관객/NNG+이/VCP+라면/EC
이	이/MMD
영화를	영화/NNG+를/JKO
본	보/VV+ㄴ/ETM
후유증이	후유증/NNG+이/JKS
평생	평생/NNG
갈지도	가/VV+ㄹ지/EC+도/JX
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
‘경고’했을	‘/SS+경고/NNG+’/SS+하/XSV+았/EP+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.7.1
거친 유전 노동자들의 ‘에프(F)’로 시작하는 욕이 난무하는 비행기 안.

거친	거칠/VA+ㄴ/ETM
유전	유전/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
‘에프(F)’로	‘/SS+에프/NNG+(/SS+F/SL+)/SS+’/SS+로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
욕이	욕/NNG+이/JKS
난무하는	난무/NNG+하/XSV+는/ETM
비행기	비행기/NNG
안.	안/NNG+./SF


# id : NWRW1800000033.117.7.2
갑자기 폭풍우에 휘말린 비행기는 비명으로 가득 차고 선반 위 물건들이 나뒹굴더니 이내 눈앞이 암흑으로 변한다.

갑자기	갑자기/MAG
폭풍우에	폭풍우/NNG+에/JKB
휘말린	휘말리/VV+ㄴ/ETM
비행기는	비행기/NNG+는/JX
비명으로	비명/NNG+으로/JKB
가득	가득/MAG
차고	차/VV+고/EC
선반	선반/NNG
위	위/NNG
물건들이	물건/NNG+들/XSN+이/JKS
나뒹굴더니	나뒹굴/VV+더니/EC
이내	이내/MAG
눈앞이	눈앞/NNG+이/JKS
암흑으로	암흑/NNG+으로/JKB
변한다.	변하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.7.3
귀를 찢을 듯한 굉음이 들린 뒤 주위는 고요함만이 남는다.

귀를	귀/NNG+를/JKO
찢을	찢/VV+을/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
굉음이	굉음/NNG+이/JKS
들린	들리/VV+ㄴ/ETM
뒤	뒤/NNG
주위는	주위/NNG+는/JX
고요함만이	고요/NNG+하/XSA+ㅁ/ETN+만/JX+이/JKS
남는다.	남/VV+는다/EF+./SF


# id : NWRW1800000033.117.7.4
가까스로 눈밭에서 몸을 일으킨 오트웨이는 부서진 비행기 잔해와 시신들, 그리고 8명의 생존자와 마주한다.

가까스로	가까스로/MAG
눈밭에서	눈밭/NNG+에서/JKB
몸을	몸/NNG+을/JKO
