# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.11
metadata : {}


# id : NWRW1800000026.11.1.1
[新세종시 플랜] 鄭총리 "과거의 잘못, 국가의 미래 위해 바로잡는 것"

[新세종시	[/SS+新/SH+세종시/NNP
플랜]	플랜/NNG+]/SS
鄭총리	鄭/SH+총리/NNG
"과거의	"/SS+과거/NNG+의/JKG
잘못,	잘못/NNG+,/SP
국가의	국가/NNG+의/JKG
미래	미래/NNG
위해	위하/VV+아/EC
바로잡는	바로잡/VV+는/ETM
것"	것/NNB+"/SS


# id : NWRW1800000026.11.2.1
11일 오전 10시, 서울 세종로 정부중앙청사 3층 브리핑룸에 정운찬 총리가 입을 굳게 다문 채 국무위원들과 함께 나타났다.

11일	11/SN+일/NNB
오전	오전/NNG
10시,	10/SN+시/NNB+,/SP
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNP
3층	3/SN+층/NNG
브리핑룸에	브리핑룸/NNG+에/JKB
정운찬	정운찬/NNP
총리가	총리/NNG+가/JKS
입을	입/NNG+을/JKO
굳게	굳/VA+게/EC
다문	다물/VV+ㄴ/ETM
채	채/NNB
국무위원들과	국무/NNG+위원/NNG+들/XSN+과/JKB
함께	함께/MAG
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.2.2
평소 이마를 가린 머리를 단정히 빗어넘겨 스프레이로 고정한 정 총리는 1시간 전 세종시 수정안 발표를 위한 사전 리허설을 할 때 간간이 미소를 짓던 것과 달리 상기된 표정이었다.

평소	평소/NNG
이마를	이마/NNG+를/JKO
가린	가리/VV+ㄴ/ETM
머리를	머리/NNG+를/JKO
단정히	단정히/MAG
빗어넘겨	빗/VV+어/EC+넘기/VV+어/EC
스프레이로	스프레이/NNG+로/JKB
고정한	고정/NNG+하/XSV+ㄴ/ETM
정	정/NNP
총리는	총리/NNG+는/JX
1시간	1/SN+시간/NNB
전	전/NNG
세종시	세종시/NNP
수정안	수정안/NNG
발표를	발표/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사전	사전/NNG
