# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.187
metadata : {}


# id : NWRW1800000052.187.1.1
1946~82년 아동·청소년 인권유린 ‘선감학원’ 진상조사·위령사업 물꼬

1946~82년	1946/SN+~/SO+82/SN+년/NNB
아동·청소년	아동/NNG+·/SP+청소년/NNG
인권유린	인권/NNG+유린/NNG
‘선감학원’	‘/SS+선감학원/NNP+’/SS
진상조사·위령사업	진상/NNG+조사/NNG+·/SP+위령/NNG+사업/NNG
물꼬	물꼬/NNG


# id : NWRW1800000052.187.2.1
도의회, 행정·재정지원 조례안 입법예고

도의회,	도/NNG+의회/NNG+,/SP
행정·재정지원	행정/NNG+·/SP+재정/NNG+지원/NNG
조례안	조례안/NNG
입법예고	입법/NNG+예고/NNG


# id : NWRW1800000052.187.3.1
‘담장 없는 감옥’ 선감도의 비극(<한겨레> 2015년 10월5일치 19면)으로 알려진 경기도 선감학원 아이들의 인권 유린 실태 조사와 명예 회복을 위한 조례가 제정된다.

‘담장	‘/SS+담장/NNG
없는	없/VA+는/ETM
감옥’	감옥/NNG+’/SS
선감도의	선감도/NNP+의/JKG
비극(<한겨레>	비극/NNG+(/SS+</SS+한겨레/NNP+>/SS
2015년	2015/SN+년/NNB
10월5일치	10/SN+월/NNB+5/SN+일/NNB+치/NNB
19면)으로	19/SN+면/NNG+)/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
경기도	경기도/NNP
선감학원	선감학원/NNP
아이들의	아이/NNG+들/XSN+의/JKG
인권	인권/NNG
유린	유린/NNG
실태	실태/NNG
조사와	조사/NNG+와/JC
명예	명예/NNG
회복을	회복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조례가	조례/NNG+가/JKS
제정된다.	제정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.187.4.1
경기도의회는 18일 정대운 의원(더불어민주당·광명2)이 낸 ‘경기도 선감학원 아동·청소년 인권 유린 사건 피해조사 및 위령사업에 관한 조례안’을 입법 예고했다.

경기도의회는	경기도의회/NNP+는/JX
18일	18/SN+일/NNB
정대운	정대운/NNP
의원(더불어민주당·광명2)이	의원/NNG+(/SS+더불어민주당/NNP+·/SP+광명2/NNP+)/SS+이/JKS
낸	내/VV+ㄴ/ETM
‘경기도	‘/SS+경기도/NNP
선감학원	선감학원/NNP
아동·청소년	아동/NNG+·/SP+청소년/NNG
인권	인권/NNG
유린	유린/NNG
사건	사건/NNG
피해조사	피해/NNG+조사/NNG
및	및/MAG
위령사업에	위령/NNG+사업/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례안’을	조례안/NNG+’/SS+을/JKO
입법	입법/NNG
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.187.5.1
