# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.361
metadata : {}


# id : NWRW1800000036.361.1.1
중국어선 단속 해경 등 수당 인상

중국어선	중국/NNP+어선/NNG
단속	단속/NNG
해경	해경/NNG
등	등/NNB
수당	수당/NNG
인상	인상/NNG


# id : NWRW1800000036.361.2.1
[한겨레] 공무원 봉급 3.5% 인상

[한겨레]	[/SS+한겨레/NNP+]/SS
공무원	공무원/NNG
봉급	봉급/NNG
3.5%	3/SN+./SP+5/SN+%/SW
인상	인상/NNG


# id : NWRW1800000036.361.3.1
불법 조업 어선을 단속하는 해양경찰 해상특수기동대와 구제역 방역 등 위험한 업무를 하는 공무원들의 수당이 인상됐다.

불법	불법/NNG
조업	조업/NNG
어선을	어선/NNG+을/JKO
단속하는	단속/NNG+하/XSV+는/ETM
해양경찰	해양/NNG+경찰/NNG
해상특수기동대와	해상/NNG+특수/NNG+기동대/NNG+와/JC
구제역	구제역/NNG
방역	방역/NNG
등	등/NNB
위험한	위험/NNG+하/XSA+ㄴ/ETM
업무를	업무/NNG+를/JKO
하는	하/VV+는/ETM
공무원들의	공무원/NNG+들/XSN+의/JKG
수당이	수당/NNG+이/JKS
인상됐다.	인상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.3.2
지난해 불법 조업하던 중국 어선을 단속하다 이청호 경사가 순직하고 구제역 파동이 장기화해 공무원들이 격무에 시달리면서, 이들에 대한 처우 개선 목소리가 이어졌다.

지난해	지난해/NNG
불법	불법/NNG
조업하던	조업/NNG+하/XSV+던/ETM
중국	중국/NNP
어선을	어선/NNG+을/JKO
단속하다	단속/NNG+하/XSV+다/EC
이청호	이청호/NNP
경사가	경사/NNG+가/JKS
순직하고	순직/NNG+하/XSV+고/EC
구제역	구제역/NNG
파동이	파동/NNG+이/JKS
장기화해	장기/NNG+화/XSN+하/XSV+아/EC
공무원들이	공무원/NNG+들/XSN+이/JKS
격무에	격무/NNG+에/JKB
시달리면서,	시달리/VV+면서/EC+,/SP
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
처우	처우/NNG
개선	개선/NNG
목소리가	목소리/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.4.1
정부는 해상특수기동대의 함정근무수당을 월 9만2000~17만2000원에서 10만원 올린 19만2000~27만2000원으로, 구제역 등 가축질병 예방과 방역 업무를 하는 수의직 공무원의 의료업무수당을 8만원 올린 월 15만원으로 책정했다고 3일 밝혔다.

정부는	정부/NNG+는/JX
해상특수기동대의	해상/NNG+특수/NNG+기동대/NNG+의/JKG
함정근무수당을	함정/NNG+근무/NNG+수당/NNG+을/JKO
월	월/NNG
9만2000~17만2000원에서	9/SN+만/NR+2000/SN+~/SO+17/SN+만/NR+2000/SN+원/NNB+에서/JKB
10만원	10/SN+만/NR+원/NNB
올린	올리/VV+ㄴ/ETM
19만2000~27만2000원으로,	19/SN+만/NR+2000/SN+~/SO+27/SN+만/NR+2000/SN+원/NNB+으로/JKB+,/SP
구제역	구제역/NNG
등	등/NNB
가축질병	가축/NNG+질병/NNG
예방과	예방/NNG+과/JC
방역	방역/NNG
업무를	업무/NNG+를/JKO
하는	하/VV+는/ETM
수의직	수의직/NNG
공무원의	공무원/NNG+의/JKG
의료업무수당을	의료/NNG+업무/NNG+수당/NNG+을/JKO
8만원	8/SN+만/NR+원/NNB
15만원으로	15/SN+만/NR+원/NNB+으로/JKB
책정했다고	책정/NNG+하/XSV+았/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.5.1
이들을 비롯해 국가직 공무원 61만여명의 보수를 지난해에 견줘 3.5% 올렸다.

이들을	이/NP+들/XSN+을/JKO
비롯해	비롯하/VV+아/EC
국가직	국가직/NNG
