# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.398
metadata : {}


# id : NWRW1800000036.398.1.1
조기문, 학력도 직업도 오리무중…주변사람도 실체 잘 몰라

조기문,	조기문/NNP+,/SP
학력도	학력/NNG+도/JX
직업도	직업/NNG+도/JX
오리무중…주변사람도	오리무중/NNG+…/SE+주변/NNG+사람/NNG+도/JX
실체	실체/NNG
잘	잘/MAG
몰라	모르/VV+아/EF


# id : NWRW1800000036.398.2.1
[한겨레] 새누리당 현영희 의원 공천 금품수수 의혹 사건과 관련해 9일 사전구속영장이 청구된 조기문(48) 전 새누리당 부산시당 홍보위원장은 특이하게도 주변 사람들조차 실체를 잘 알지 못한다.

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리당	새누리당/NNP
현영희	현영희/NNP
의원	의원/NNG
공천	공천/NNG
금품수수	금품/NNG+수수/NNG
의혹	의혹/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
9일	9/SN+일/NNB
사전구속영장이	사전/NNG+구속/NNG+영장/NNG+이/JKS
청구된	청구/NNG+되/XSV+ㄴ/ETM
조기문(48)	조기문/NNP+(/SS+48/SN+)/SS
전	전/MMD
부산시당	부산시/NNP+당/NNG
홍보위원장은	홍보/NNG+위원장/NNG+은/JX
특이하게도	특이/NNG+하/XSA+게/EC+도/JX
주변	주변/NNG
사람들조차	사람/NNG+들/XSN+조차/JX
실체를	실체/NNG+를/JKO
잘	잘/MAG
알지	알/VV+ㄹ지/EF
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.398.3.1
그가 경남 하동 출신이라는 지적은 일치하지만, 학력도 직업도 정확하게 아는 이들이 드물다.

그가	그/NP+가/JKS
경남	경남/NNP
하동	하동/NNP
출신이라는	출신/NNG+이/VCP+라는/ETM
지적은	지적/NNG+은/JX
일치하지만,	일치/NNG+하/XSV+지만/EC+,/SP
학력도	학력/NNG+도/JX
직업도	직업/NNG+도/JX
정확하게	정확/NNG+하/XSA+게/EC
아는	알/VV+는/ETM
이들이	이/NP+들/XSN+이/JKS
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000036.398.3.2
하지만 대부분은 ‘정치 브로커’라고 단언했으며, 심하게는 ‘사기꾼’이라고 폄하하는 이들도 있다.

하지만	하지만/MAJ
대부분은	대/XPN+부분/NNG+은/JX
‘정치	‘/SS+정치/NNG
브로커’라고	브로커/NNG+’/SS+라고/JKQ
단언했으며,	단언/NNG+하/XSV+았/EP+으며/EC+,/SP
심하게는	심하/VA+게/EC+는/JX
