# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.257
metadata : {}


# id : NWRW1800000028.257.1.1
V리그 공인구 5년만에 교체

V리그	V/SL+리그/NNG
공인구	공인구/NNG
5년만에	5/SN+년/NNB+만/NNB+에/JKB
교체	교체/NNG


# id : NWRW1800000028.257.2.1
올 시즌 프로배구에 새로운 공식사용구인 스타스포츠의 ‘그랜드챔피온’이 등장한다.

올	올/NNG
시즌	시즌/NNG
프로배구에	프로/NNG+배구/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
공식사용구인	공식/NNG+사용/NNG+구/NNG+이/VCP+ㄴ/ETM
스타스포츠의	스타스포츠/NNP+의/JKG
‘그랜드챔피온’이	‘/SS+그랜드/NNG+챔피온/NNG+’/SS+이/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.257.2.2
한국배구연맹(KOVO)은 28일 프로배구가 출범한 2005년부터 지난 시즌(2009~2010)까지 사용한 뉴챔피온 대신 반발력과 비행 안정감을 갖춘 신형 공식사용구 그랜드챔피온을 도입한다고 발표했다.

한국배구연맹(KOVO)은	한국배구연맹/NNP+(/SS+KOVO/SL+)/SS+은/JX
28일	28/SN+일/NNB
프로배구가	프로/NNG+배구/NNG+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
2005년부터	2005/SN+년/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
시즌(2009~2010)까지	시즌/NNG+(/SS+2009/SN+~/SO+2010/SN+)/SS+까지/JX
사용한	사용/NNG+하/XSV+ㄴ/ETM
뉴챔피온	뉴/NNG+챔피온/NNG
대신	대신/NNG
반발력과	반발력/NNG+과/JC
비행	비행/NNG
안정감을	안정감/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
신형	신형/NNG
공식사용구	공식/NNG+사용/NNG+구/NNG
그랜드챔피온을	그랜드/NNG+챔피온/NNG+을/JKO
도입한다고	도입/NNG+하/XSV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.257.3.1
종전 공은 합성고무만 사용했지만 신형 공은 천연고무와 합성고무를 혼합해 탄성을 보강했다.

종전	종전/NNG
공은	공/NNG+은/JX
합성고무만	합성/NNG+고무/NNG+만/JX
