# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.45
metadata : {}


# id : NWRW1800000033.45.1.1
“구직 대신 편의점 창업”… 20,30대 가맹점주 급증

“구직	“/SS+구직/NNG
대신	대신/NNG
편의점	편의점/NNG
창업”…	창업/NNG+”/SS+…/SE
20,30대	20/SN+,/SP+30/SN+대/NNB
가맹점주	가맹점주/NNG
급증	급증/NNG


# id : NWRW1800000033.45.2.1
세븐일레븐, 35세 이하 21%… CU 20대, 작년보다 16% 늘어

세븐일레븐,	세븐일레븐/NNP+,/SP
35세	35/SN+세/NNB
이하	이하/NNG
21%…	21/SN+%/SW+…/SE
CU	CU/SL
20대,	20/SN+대/NNB+,/SP
작년보다	작년/NNG+보다/JKB
16%	16/SN+%/SW
늘어	늘/VV+어/EF


# id : NWRW1800000033.45.3.1
극심한 취업난으로 구직 대신 창업을 선택하는 젊은이들이 늘면서 편의점업계에서 20, 30대 가맹점주의 비중이 늘고 있는 것으로 나타났다.

극심한	극심하/VA+ㄴ/ETM
취업난으로	취업난/NNG+으로/JKB
구직	구직/NNG
대신	대신/NNG
창업을	창업/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
젊은이들이	젊은이/NNG+들/XSN+이/JKS
늘면서	늘/VV+면서/EC
편의점업계에서	편의점/NNG+업계/NNG+에서/JKB
20,	20/SN+,/SP
30대	30/SN+대/NNB
가맹점주의	가맹점주/NNG+의/JKG
비중이	비중/NNG+이/JKS
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.45.4.1
2일 유통업계에 따르면 세븐일레븐의 경우 가맹점주 중 35세 이하 젊은층의 비중이 2008년 14%에서 올해 상반기(1∼6월)에는 21%로 높아졌다.

2일	2/SN+일/NNB
유통업계에	유통업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
세븐일레븐의	세븐일레븐/NNP+의/JKG
경우	경우/NNG
가맹점주	가맹점주/NNG
중	중/NNB
35세	35/SN+세/NNB
이하	이하/NNG
젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
비중이	비중/NNG+이/JKS
2008년	2008/SN+년/NNB
14%에서	14/SN+%/SW+에서/JKB
올해	올해/NNG
상반기(1∼6월)에는	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB+는/JX
21%로	21/SN+%/SW+로/JKB
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.45.4.2
이 업체에서 35세 이하 가맹점주의 비중은 2009년 17.9%, 2010년 18%, 2011년 18.4%로 꾸준히 늘어나는 추세다.

이	이/MMD
업체에서	업체/NNG+에서/JKB
35세	35/SN+세/NNB
이하	이하/NNG
가맹점주의	가맹점주/NNG+의/JKG
비중은	비중/NNG+은/JX
2009년	2009/SN+년/NNB
17.9%,	17/SN+./SP+9/SN+%/SW+,/SP
2010년	2010/SN+년/NNB
18%,	18/SN+%/SW+,/SP
2011년	2011/SN+년/NNB
18.4%로	18/SN+./SP+4/SN+%/SW+로/JKB
꾸준히	꾸준히/MAG
늘어나는	늘어나/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.45.5.1
CU(옛 훼미리마트)도 올 들어 8월까지 새로 점포를 연 가맹점주 가운데 20대 점주는 전년 동기 대비 16%, 30대는 22% 증가했다.

CU(옛	CU/SL+(/SS+옛/MMA
훼미리마트)도	훼미리마트/NNP+)/SS+도/JX
올	올/NNG
들어	들/VV+어/EC
8월까지	8/SN+월/NNB+까지/JX
새로	새로/MAG
점포를	점포/NNG+를/JKO
연	열/VV+ㄴ/ETM
가맹점주	가맹점주/NNG
가운데	가운데/NNG
20대	20/SN+대/NNB
점주는	점주/NNG+는/JX
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
16%,	16/SN+%/SW+,/SP
30대는	30/SN+대/NNB+는/JX
22%	22/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.45.5.2
이 업체의 같은 기간 점포 개설 관련 상담건수도 20대는 전년 동기 대비 30%, 30대는 50% 늘었다.

이	이/MMD
업체의	업체/NNG+의/JKG
같은	같/VA+은/ETM
기간	기간/NNG
점포	점포/NNG
개설	개설/NNG
관련	관련/NNG
상담건수도	상담/NNG+건수/NNG+도/JX
20대는	20/SN+대/NNB+는/JX
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
30%,	30/SN+%/SW+,/SP
30대는	30/SN+대/NNB+는/JX
50%	50/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.45.5.3
CU의 전체 가맹점주 가운데 20대는 13%, 30대는 32%를 차지하고 있다.

CU의	CU/SL+의/JKG
전체	전체/NNG
가맹점주	가맹점주/NNG
가운데	가운데/NNG
20대는	20/SN+대/NNB+는/JX
13%,	13/SN+%/SW+,/SP
30대는	30/SN+대/NNB+는/JX
32%를	32/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.45.6.1
