# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.21
metadata : {}


# id : NWRW1800000028.21.1.1
광주·전남 단체장, 세종시 대응 ‘미지근’

광주·전남	광주/NNP+·/SP+전남/NNP
단체장,	단체장/NNG+,/SP
세종시	세종시/NNP
대응	대응/NNG
‘미지근’	‘/SS+미지근/XR+’/SS


# id : NWRW1800000028.21.2.1
정부의 세종시 수정안을 두고 광주시와 전남도가 지나치게 신중한 태도로 접근하며 미지근한 반응을 보여 입길에 올랐다.

정부의	정부/NNG+의/JKG
세종시	세종시/NNP
수정안을	수정안/NNG+을/JKO
두고	두/VV+고/EC
광주시와	광주시/NNP+와/JC
전남도가	전남도/NNP+가/JKS
지나치게	지나치/VA+게/EC
신중한	신중/NNG+하/XSA+ㄴ/ETM
태도로	태도/NNG+로/JKB
접근하며	접근/NNG+하/XSV+며/EC
미지근한	미지근하/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보여	보이/VV+어/EC
입길에	입길/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.3.1
박준영 전남지사는 지난 11일 정부의 세종시 수정안 발표가 나온 뒤 한차례도 공식적인 태도를 밝히지 않고 있다.

박준영	박준영/NNP
전남지사는	전남/NNP+지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
정부의	정부/NNG+의/JKG
세종시	세종시/NNP
수정안	수정안/NNG
발표가	발표/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
한차례도	한/MMN+차례/NNG+도/JX
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.21.3.2
박 지사는 11일 이상면 정무부지사를 통해 관련 자료를 내도록 하고, 전남 광양 미소금융 개점식에 참석하기 위해 ‘동부권’으로 향했다.

박	박/NNP
지사는	지사/NNG+는/JX
11일	11/SN+일/NNB
이상면	이상면/NNP
정무부지사를	정무/NNG+부지사/NNG+를/JKO
통해	통하/VV+아/EC
관련	관련/NNG
자료를	자료/NNG+를/JKO
내도록	내/VV+도록/EC
