# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.259
metadata : {}


# id : NWRW1800000054.259.1.1
맨유, 래시퍼드마저 없었다면…

맨유,	맨유/NNP+,/SP
래시퍼드마저	래시퍼드/NNP+마저/JX
없었다면…	없/VA+었/EP+다면/EC+…/SE


# id : NWRW1800000054.259.2.1
스무살 공격수 유로파리그 활약… 즐라탄 부상, 루니 부진 빈자리 원맨쇼 펼치며 팀 주전 발돋움

스무살	스무/MMN+살/NNB
공격수	공격수/NNG
유로파리그	유로파/NNP+리그/NNG
활약…	활약/NNG+…/SE
즐라탄	즐라탄/NNP
부상,	부상/NNG+,/SP
루니	루니/NNP
부진	부진/NNG
빈자리	빈자리/NNG
원맨쇼	원맨쇼/NNG
펼치며	펼치/VV+며/EC
팀	팀/NNG
주전	주전/NNG
발돋움	발돋움/NNG


# id : NWRW1800000054.259.3.1
즐라탄 이브라히모비치도, 웨인 루니도 아니었다.

즐라탄	즐라탄/NNP
이브라히모비치도,	이브라히모비치/NNP+도/JX+,/SP
웨인	웨인/NNP
루니도	루니/NNP+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000054.259.3.2
잉글랜드 명문 구단 맨유를 구한 건 '약관'의 공격수 마커스 래시퍼드(20·사진)였다.

잉글랜드	잉글랜드/NNP
명문	명문/NNG
구단	구단/NNG
맨유를	맨유/NNP+를/JKO
구한	구하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
'약관'의	'/SS+약관/NNG+'/SS+의/JKG
공격수	공격수/NNG
마커스	마커스/NNP
래시퍼드(20·사진)였다.	래시퍼드/NNP+(/SS+20/SN+·/SP+사진/NNG+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.259.4.1
래시퍼드는 5일 열린 2016~17 UEFA(유럽축구연맹) 유로파리그 4강 1차전 셀타 비고(스페인)와의 원정 경기에서 후반 22분 프리킥 골을 터뜨려 팀의 1대0 승리를 결정지었다.

래시퍼드는	래시퍼드/NNP+는/JX
5일	5/SN+일/NNB
열린	열리/VV+ㄴ/ETM
2016~17	2016/SN+~/SO+17/SN
UEFA(유럽축구연맹)	UEFA/SL+(/SS+유럽축구연맹/NNP+)/SS
유로파리그	유로파/NNP+리그/NNG
4강	4/SN+강/NNB
1차전	1/SN+차전/NNB
셀타	셀타/NNP
비고(스페인)와의	비고/NNP+(/SS+스페인/NNP+)/SS+와/JKB+의/JKG
원정	원정/NNG
경기에서	경기/NNG+에서/JKB
후반	후반/NNG
22분	22/SN+분/NNB
프리킥	프리킥/NNG
골을	골/NNG+을/JKO
터뜨려	터뜨리/VV+어/EC
팀의	팀/NNG+의/JKG
1대0	1/SN+대/NNB+0/SN
승리를	승리/NNG+를/JKO
결정지었다.	결정짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.259.4.2
원정에서 실점하지 않고 이긴 맨유는 결승 진출에 유리한 고지를 점령했다.

원정에서	원정/NNG+에서/JKB
실점하지	실점/NNG+하/XSV+지/EC
않고	않/VX+고/EC
이긴	이기/VV+ㄴ/ETM
맨유는	맨유/NNP+는/JX
결승	결승/NNG
진출에	진출/NNG+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
고지를	고지/NNG+를/JKO
점령했다.	점령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.5.1
맨유는 2015~16 시즌 자국 리그에서 5위에 그쳐 올 시즌 챔피언스리그에 나서지 못하고 위상이 한 단계 낮은 유로파리그를 치르고 있다.

맨유는	맨유/NNP+는/JX
2015~16	2015/SN+~/SO+16/SN
시즌	시즌/NNG
자국	자국/NNG
리그에서	리그/NNG+에서/JKB
5위에	5/SN+위/NNB+에/JKB
그쳐	그치/VV+어/EC
올	올/NNG
챔피언스리그에	챔피언스리그/NNG+에/JKB
나서지	나서/VV+지/EC
못하고	못하/VX+고/EC
위상이	위상/NNG+이/JKS
한	한/MMN
단계	단계/NNG
낮은	낮/VA+은/ETM
유로파리그를	유로파/NNP+리그/NNG+를/JKO
치르고	치르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.259.5.2
유로파리그에서 우승하거나 잉글랜드 프리미어리그에서 최종 4위 안에 들면 다음 시즌 챔스리그에 재입성할 수 있다.

유로파리그에서	유로파/NNP+리그/NNG+에서/JKB
우승하거나	우승/NNG+하/XSV+거나/EC
잉글랜드	잉글랜드/NNP
프리미어리그에서	프리미어리그/NNG+에서/JKB
최종	최종/NNG
4위	4/SN+위/NNB
안에	안/NNG+에/JKB
들면	들/VV+면/EC
다음	다음/NNG
시즌	시즌/NNG
챔스리그에	챔스리그/NNG+에/JKB
재입성할	재/XPN+입성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.259.5.3
하지만 상황은 녹록지 않다.

하지만	하지만/MAJ
상황은	상황/NNG+은/JX
녹록지	녹록하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.259.5.4
공수에서 부상자가 속출했다.

공수에서	공수/NNG+에서/JKB
부상자가	부상자/NNG+가/JKS
속출했다.	속출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.5.5
특히 팀을 대표하는 공격수 이브라히모비치가 무릎 인대파열로 빠졌고, 루니는 경기력이 좀처럼 나아지지 않는다.

특히	특히/MAG
팀을	팀/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
공격수	공격수/NNG
이브라히모비치가	이브라히모비치/NNP+가/JKS
무릎	무릎/NNG
인대파열로	인대/NNG+파열/NNG+로/JKB
빠졌고,	빠지/VV+었/EP+고/EC+,/SP
루니는	루니/NNP+는/JX
경기력이	경기력/NNG+이/JKS
좀처럼	좀처럼/MAG
나아지지	나아지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000054.259.5.6
이런 상황에서 20세 유망주 래시퍼드가 팀의 중심 역할을 해내고 있다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
20세	20/SN+세/NNB
유망주	유망주/NNG
래시퍼드가	래시퍼드/NNP+가/JKS
팀의	팀/NNG+의/JKG
중심	중심/NNG
역할을	역할/NNG+을/JKO
해내고	해내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.259.6.1
래시퍼드는 지난 시즌 깜짝 등장했다.

래시퍼드는	래시퍼드/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
깜짝	깜짝/MAG
