# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.129
metadata : {}


# id : NWRW1800000045.129.1.1
직접 참여하고 체험하는 문화 예술의 즐거움

직접	직접/MAG
참여하고	참여/NNG+하/XSV+고/EC
체험하는	체험/NNG+하/XSV+는/ETM
문화	문화/NNG
예술의	예술/NNG+의/JKG
즐거움	즐거움/NNG


# id : NWRW1800000045.129.2.1
‘세계문화예술교육 주간’ 행사, 26∼30일 부산-경상권서 열려 생활속에 스며든 문화예술 가치… 일상서 되새기는 유네스코 이벤트 공연-전시-낭독회 등 다채로운 행사… 일반인 참여 프로그램 많아

‘세계문화예술교육	‘/SS+세계/NNG+문화/NNG+예술/NNG+교육/NNG
주간’	주간/NNG+’/SS
행사,	행사/NNG+,/SP
26∼30일	26/SN+∼/SO+30/SN+일/NNB
부산-경상권서	부산/NNP+-/SO+경상/NNP+권/XSN+서/JKB
열려	열리/VV+어/EC
생활속에	생활/NNG+속/NNG+에/JKB
스며든	스며들/VV+ㄴ/ETM
문화예술	문화/NNG+예술/NNG
가치…	가치/NNG+…/SE
일상서	일상/NNG+서/JKB
되새기는	되새기/VV+는/ETM
유네스코	유네스코/NNP
이벤트	이벤트/NNG
공연-전시-낭독회	공연/NNG+-/SO+전시/NNG+-/SO+낭독회/NNG
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
행사…	행사/NNG+…/SE
일반인	일반인/NNG
참여	참여/NNG
프로그램	프로그램/NNG
많아	많/VA+아/EF


# id : NWRW1800000045.129.3.1
《 경기 고양시에 사는 김삼순 할머니(72)는 50대 이후 시력이 점점 나빠지다가 이젠 명암만 구별할 수 있는 시각장애인이 됐다.

《	《/SS
경기	경기/NNP
고양시에	고양시/NNP+에/JKB
사는	살/VV+는/ETM
김삼순	김삼순/NNP
할머니(72)는	할머니/NNG+(/SS+72/SN+)/SS+는/JX
50대	50/SN+대/NNB
이후	이후/NNG
시력이	시력/NNG+이/JKS
점점	점점/MAG
나빠지다가	나빠지/VV+다가/EC
이젠	이제/NNG+ㄴ/JX
명암만	명암/NNG+만/JX
구별할	구별/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시각장애인이	시각/NNG+장애인/NNG+이/JKC
