# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.85
metadata : {}


# id : NWRW1800000033.85.1.1
미군 해외첩보망 CIA 수준으로

미군	미군/NNG
해외첩보망	해외/NNG+첩보망/NNG
CIA	CIA/SL
수준으로	수준/NNG+으로/JKB


# id : NWRW1800000033.85.2.1
이라크-아프간 중심 지양… 北-中-아프리카로 확대 스파이 수백명 늘리기로

이라크-아프간	이라크/NNP+-/SO+아프간/NNP
중심	중심/NNG
지양…	지양/NNG+…/SE
北-中-아프리카로	北/SH+-/SO+中/SH+-/SO+아프리카/NNP+로/JKB
확대	확대/NNG
스파이	스파이/NNG
수백명	수백/NR+명/NNB
늘리기로	늘리/VV+기/ETN+로/JKB


# id : NWRW1800000033.85.3.1
미국 국방부가 이라크전쟁과 아프가니스탄전쟁 대응에 주력하던 첩보활동을 지양하고 이란과 북한 중국 아프리카 지역에서의 정보 수집활동을 강화하기로 했다.

미국	미국/NNP
국방부가	국방부/NNG+가/JKS
이라크전쟁과	이라크/NNP+전쟁/NNG+과/JC
아프가니스탄전쟁	아프가니스탄/NNP+전쟁/NNG
대응에	대응/NNG+에/JKB
주력하던	주력/NNG+하/XSV+던/ETM
첩보활동을	첩보/NNG+활동/NNG+을/JKO
지양하고	지양/NNG+하/XSV+고/EC
이란과	이란/NNP+과/JC
북한	북한/NNP
중국	중국/NNP
아프리카	아프리카/NNP
지역에서의	지역/NNG+에서/JKB+의/JKG
정보	정보/NNG
수집활동을	수집/NNG+활동/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.85.3.2
이를 위해 펜타곤은 산하 정보기관인 국방정보국(DIA) 해외정보망을 중앙정보국(CIA) 수준으로 크게 확대하고 정보원 수백 명을 해외로 보내 정보 수집 활동에 주력하기로 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
펜타곤은	펜타곤/NNP+은/JX
산하	산하/NNG
정보기관인	정보기관/NNG+이/VCP+ㄴ/ETM
국방정보국(DIA)	국방/NNG+정보국/NNG+(/SS+DIA/SL+)/SS
