# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.166
metadata : {}


# id : NWRW1800000030.166.1.1
[사랑만이 희망입니다] "와!" 태권도복 입은 아이들 오랜만에 환한 웃음

[사랑만이	[/SS+사랑/NNG+만/JX+이/JKS
희망입니다]	희망/NNG+이/VCP+ㅂ니다/EF+]/SS
"와!"	"/SS+와/IC+!/SF+"/SS
태권도복	태권도복/NNG
입은	입/VV+은/ETM
아이들	아이/NNG+들/XSN
오랜만에	오랜만/NNG+에/JKB
환한	환하/VA+ㄴ/ETM
웃음	웃음/NNG


# id : NWRW1800000030.166.2.1
체육관 관중석은 쥐죽은 듯 조용했다.

체육관	체육관/NNG
관중석은	관중석/NNG+은/JX
쥐죽은	쥐/NNG+죽/VV+은/ETM
듯	듯/NNB
조용했다.	조용하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.166.2.2
짧은 기합과 함께 국가대표 시범단인 태권도 5단 반은아(여·29)씨의 몸이 공중을 날았다.

짧은	짧/VA+은/ETM
기합과	기합/NNG+과/JKB
함께	함께/MAG
국가대표	국가/NNG+대표/NNG
시범단인	시범단/NNG+이/VCP+ㄴ/ETM
태권도	태권도/NNG
5단	5/SN+단/NNG
반은아(여·29)씨의	반은아/NNP+(/SS+여/NNG+·/SP+29/SN+)/SS+씨/NNB+의/JKG
몸이	몸/NNG+이/JKS
공중을	공중/NNG+을/JKO
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.2.3
360도 회전 돌려차기가 칼끝에 꽂혀 있던 사과를 산산조각냈다.

360도	360/SN+도/NNB
회전	회전/NNG
돌려차기가	돌리/VV+어/EC+차/VV+기/ETN+가/JKS
칼끝에	칼끝/NNG+에/JKB
꽂혀	꽂히/VV+어/EC
있던	있/VX+던/ETM
사과를	사과/NNG+를/JKO
산산조각냈다.	산산조각/NNG+내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.166.2.4
"와~"하는 탄성이 터져 나왔다.

"와~"하는	"/SS+와/IC+~/SO+"/SS+하/VV+는/ETM
탄성이	탄성/NNG+이/JKS
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.3.1
지난달 26일 엘살바도르 콘셉시온 바트레스시의 한 초등학교에서 열린 태권도 시범.

지난달	지난달/NNG
26일	26/SN+일/NNB
엘살바도르	엘살바도르/NNP
콘셉시온	콘셉시온/NNP
바트레스시의	바트레스시/NNP+의/JKG
한	한/MMN
초등학교에서	초등학교/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
태권도	태권도/NNG
시범.	시범/NNG+./SF


# id : NWRW1800000030.166.3.2
60여명의 학생과 학부모 20여명은 현란한 발차기와 격파 시범에 감탄사를 뱉었다.

60여명의	60/SN+여/XSN+명/NNB+의/JKG
학생과	학생/NNG+과/JC
학부모	학부모/NNG
20여명은	20/SN+여/XSN+명/NNB+은/JX
현란한	현란/NNG+하/XSA+ㄴ/ETM
발차기와	발차기/NNG+와/JC
격파	격파/NNG
시범에	시범/NNG+에/JKB
감탄사를	감탄사/NNG+를/JKO
뱉었다.	뱉/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.166.3.3
"한국에서 태권도 고수들이 온다"는 소식에 학교는 1주일 전부터 떠들썩했다.

"한국에서	"/SS+한국/NNP+에서/JKB
태권도	태권도/NNG
고수들이	고수/NNG+들/XSN+이/JKS
온다"는	오/VV+ㄴ다/EF+"/SS+는/ETM
소식에	소식/NNG+에/JKB
학교는	학교/NNG+는/JX
1주일	1/SN+주일/NNB
전부터	전/NNG+부터/JX
떠들썩했다.	떠들썩하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.166.3.4
이날 행사에는 월드비전 구호팀과 함께 대한태권도협회 이종천(46·7단) 책임연구원, 서울 상도체육관 최중구(40·7단) 관장과 반씨가 참석했다.

이날	이날/NNG
행사에는	행사/NNG+에/JKB+는/JX
월드비전	월드비전/NNP
구호팀과	구호/NNG+팀/NNG+과/JKB
함께	함께/MAG
대한태권도협회	대한태권도협회/NNP
이종천(46·7단)	이종천/NNP+(/SS+46/SN+·/SP+7/SN+단/NNG+)/SS
책임연구원,	책임/NNG+연구원/NNG+,/SP
서울	서울/NNP
