# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.307
metadata : {}


# id : NWRW1800000040.307.1.1
[싱크탱크 시각] 남과 북 ‘20년 뒤의 만남’ / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
시각]	시각/NNG+]/SS
남과	남/NNP+과/JC
북	북/NNP
‘20년	‘/SS+20/SN+년/NNB
뒤의	뒤/NNG+의/JKG
만남’	만남/NNG+’/SS
/	//SP
김보근	김보근/NNP


# id : NWRW1800000040.307.2.1
‘20년 뒤 남과 북은 어떤 모습으로 만날까.’

‘20년	‘/SS+20/SN+년/NNB
뒤	뒤/NNG
남과	남/NNP+과/JC
북은	북/NNP+은/JX
어떤	어떤/MMD
모습으로	모습/NNG+으로/JKB
만날까.’	만나/VV+ㄹ까/EF+./SF+’/SS


# id : NWRW1800000040.307.3.1
올해 김정은 노동당 제1비서의 육성으로 북한 신년사를 접하면서 든 생각이다.

올해	올해/NNG
김정은	김정은/NNP
노동당	노동당/NNP
제1비서의	제/XPN+1/SN+비서/NNG+의/JKG
육성으로	육성/NNG+으로/JKB
북한	북한/NNP
신년사를	신년사/NNG+를/JKO
접하면서	접하/VV+면서/EC
든	들/VV+ㄴ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.3.2
북한 지도자의 육성 신년사는 1994년 김일성 주석의 신년사 이후 19년 만에 나온 것이다.

북한	북한/NNP
지도자의	지도자/NNG+의/JKG
육성	육성/NNG
신년사는	신년사/NNG+는/JX
1994년	1994/SN+년/NNB
김일성	김일성/NNP
주석의	주석/NNG+의/JKG
신년사	신년사/NNG
이후	이후/NNG
19년	19/SN+년/NNB
만에	만/NNB+에/JKB
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.3.3
약 20년에 걸친 그 기간 동안 북한은 ‘기아’와 ‘탈북’ 등 온갖 부정적 이미지로 우리에게 다가왔다.

약	약/MMA
20년에	20/SN+년/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
그	그/MMD
기간	기간/NNG
동안	동안/NNG
북한은	북한/NNP+은/JX
‘기아’와	‘/SS+기아/NNG+’/SS+와/JC
‘탈북’	‘/SS+탈북/NNG+’/SS
등	등/NNB
온갖	온갖/MMN
부정적	부정/NNG+적/XSN
이미지로	이미지/NNG+로/JKB
우리에게	우리/NP+에게/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.3.4
북한은 그동안 한 해 계획을 담은 신년사마저 <로동신문> 등의 공동사설로 대체해왔다.

북한은	북한/NNP+은/JX
그동안	그동안/NNG
한	한/MMN
해	해/NNG
계획을	계획/NNG+을/JKO
담은	담/VV+은/ETM
신년사마저	신년사/NNG+마저/JX
<로동신문>	</SS+로동신문/NNP+>/SS
등의	등/NNB+의/JKG
공동사설로	공동/NNG+사설/NNG+로/JKB
대체해왔다.	대체/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.307.3.5
따라서 ‘육성 신년사’는 북한이 자신감을 다소 회복했음을 보여주는 상징으로 읽힌다.

따라서	따라서/MAJ
‘육성	‘/SS+육성/NNG
신년사’는	신년사/NNG+’/SS+는/JX
북한이	북한/NNP+이/JKS
자신감을	자신감/NNG+을/JKO
다소	다소/MAG
회복했음을	회복/NNG+하/XSV+았/EP+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
상징으로	상징/NNG+으로/JKB
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.307.4.1
분단 상황에서 남북은 치열한 체제대결을 벌여왔다.

분단	분단/NNG
상황에서	상황/NNG+에서/JKB
남북은	남북/NNP+은/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
체제대결을	체제/NNG+대결/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.307.4.2
크게 봐서 한국전쟁 이후 20년마다 그 양상이 바뀌었다.

크게	크/VA+게/EC
봐서	보/VV+아서/EC
한국전쟁	한국/NNP+전쟁/NNG
이후	이후/NNG
20년마다	20/SN+년/NNB+마다/JX
그	그/MMD
양상이	양상/NNG+이/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.307.4.3
북한의 ‘기아’와 ‘탈북’ 이미지도 최근 20년 동안에 강화돼온 것들이다.

북한의	북한/NNP+의/JKG
‘기아’와	‘/SS+기아/NNG+’/SS+와/JC
‘탈북’	‘/SS+탈북/NNG+’/SS
이미지도	이미지/NNG+도/JX
최근	최근/NNG
20년	20/SN+년/NNB
동안에	동안/NNG+에/JKB
강화돼온	강화/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.4.4
1997년 초 <한겨레21> 표지이야기로 북한의 기아현상을 다뤘을 때, 많은 사람들이 “정말 사실이냐”는 반응을 보였다.

1997년	1997/SN+년/NNB
초	초/NNB
<한겨레21>	</SS+한겨레/NNP+21/SN+>/SS
표지이야기로	표지/NNG+이야기/NNG+로/JKB
북한의	북한/NNP+의/JKG
기아현상을	기아/NNG+현상/NNG+을/JKO
다뤘을	다루/VV+었/EP+을/ETM
때,	때/NNG+,/SP
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
“정말	“/SS+정말/MAG
사실이냐”는	사실/NNG+이/VCP+냐/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.307.4.5
아직 남한 언론이 본격적으로 북한 식량난을 취재하지 않던 시기였다.

아직	아직/MAG
남한	남한/NNP
언론이	언론/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
북한	북한/NNP
식량난을	식량난/NNG+을/JKO
취재하지	취재/NNG+하/XSV+지/EC
않던	않/VX+던/ETM
시기였다.	시기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.307.4.6
지금은 너무나 익숙한 ‘사실’이 불과 20년도 안 된 과거에는 ‘믿기 어려운 현상’이었던 셈이다.

지금은	지금/NNG+은/JX
너무나	너무나/MAG
익숙한	익숙하/VA+ㄴ/ETM
‘사실’이	‘/SS+사실/NNG+’/SS+이/JKS
불과	불과/MAG
20년도	20/SN+년/NNB+도/JX
안	안/MAG
된	되/VV+ㄴ/ETM
과거에는	과거/NNG+에/JKB+는/JX
‘믿기	‘/SS+믿/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
현상’이었던	현상/NNG+’/SS+이/VCP+었/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.5.1
사실 한국전쟁 이후 처음 20년인 1970년대 초반까지는 북의 경제력이 남을 앞섰다.

사실	사실/MAG
한국전쟁	한국/NNP+전쟁/NNG
