# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.464
metadata : {}


# id : NWRW1800000028.464.1.1
시민단체 ‘용산참사방지법’ 윤곽 나왔다

시민단체	시민/NNG+단체/NNG
‘용산참사방지법’	‘/SS+용산/NNP+참사/NNG+방지법/NNG+’/SS
윤곽	윤곽/NNG
나왔다	나오/VV+았/EP+다/EF


# id : NWRW1800000028.464.2.1
용산참사 이후 이 사건의 근본 원인인 재개발·재건축 제도 개선에 머리를 맞대온 시민·인권단체들이 최근 ‘강제퇴거금지법’(이른바 용산참사방지법) 제정안을 마련했다.

용산참사	용산/NNP+참사/NNG
이후	이후/NNG
이	이/MMD
사건의	사건/NNG+의/JKG
근본	근본/NNG
원인인	원인/NNG+이/VCP+ㄴ/ETM
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
제도	제도/NNG
개선에	개선/NNG+에/JKB
머리를	머리/NNG+를/JKO
맞대온	맞대/VV+어/EC+오/VX+ㄴ/ETM
시민·인권단체들이	시민/NNG+·/SP+인권/NNG+단체/NNG+들/XSN+이/JKS
최근	최근/MAG
‘강제퇴거금지법’(이른바	‘/SS+강제/NNG+퇴거/NNG+금지법/NNG+’/SS+(/SS+이른바/MAG
용산참사방지법)	용산/NNP+참사/NNG+방지법/NNG+)/SS
제정안을	제정안/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.464.2.2
‘반드시 점유자가 퇴거한 뒤에 철거를 시작해야 한다’는 내용 등을 뼈대로 한 이 법안은 주거권의 개념과 개발사업 시행 원칙, 원주민의 재정착 권리 등 원칙법적 내용을 담고 있다.

‘반드시	‘/SS+반드시/MAG
점유자가	점유자/NNG+가/JKS
퇴거한	퇴거/NNG+하/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
철거를	철거/NNG+를/JKO
시작해야	시작/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
내용	내용/NNG
등을	등/NNB+을/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
이	이/MMD
법안은	법안/NNG+은/JX
주거권의	주거/NNG+권/XSN+의/JKG
개념과	개념/NNG+과/JC
개발사업	개발/NNG+사업/NNG
시행	시행/NNG
원칙,	원칙/NNG+,/SP
원주민의	원주민/NNG+의/JKG
재정착	재/XPN+정착/NNG
권리	권리/NNG
등	등/NNB
원칙법적	원칙법/NNG+적/XSN
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.464.3.1
시민사회단체들이 참여하고 있는 ‘용산참사 2주기 범국민 추모위원회’는 다음달 참사 2주기에 앞서 이 법안에 대한 공청회와 대대적인 제정운동 등 입법 촉구를 위한 다양한 활동에 나설 계획이다.

시민사회단체들이	시민/NNG+사회단체/NNG+들/XSN+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘용산참사	‘/SS+용산/NNP+참사/NNG
2주기	2/SN+주기/NNB
범국민	범/XPN+국민/NNG
추모위원회’는	추모/NNG+위원회/NNG+’/SS+는/JX
다음달	다음/NNG+달/NNG
참사	참사/NNG
2주기에	2/SN+주기/NNB+에/JKB
앞서	앞서/VV+어/EC
이	이/MMD
법안에	법안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공청회와	공청회/NNG+와/JC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
제정운동	제정/NNG+운동/NNG
등	등/NNB
입법	입법/NNG
촉구를	촉구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동에	활동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.464.4.1
이들이 만든 법안은 먼저 △강제퇴거를 막기 위해 ‘모든 사람은 주거권을 가진다’는 점을 처음으로 명시하고 △거주민들에게 재정착 대책을 보장하는 한편 국가·지방자치단체의 상담을 의무화하는 내용을 담았다.

이들이	이/NP+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
법안은	법안/NNG+은/JX
먼저	먼저/MAG
△강제퇴거를	△/SW+강제/NNG+퇴거/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
‘모든	‘/SS+모든/MMN
사람은	사람/NNG+은/JX
주거권을	주거/NNG+권/XSN+을/JKO
가진다’는	가지/VV+ㄴ다/EF+’/SS+는/ETM
점을	점/NNG+을/JKO
처음으로	처음/NNG+으로/JKB
명시하고	명시/NNG+하/XSV+고/EC
△거주민들에게	△/SW+거주민/NNG+들/XSN+에게/JKB
재정착	재/XPN+정착/NNG
대책을	대책/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
한편	한편/NNG
국가·지방자치단체의	국가/NNG+·/SP+지방/NNG+자치/NNG+단체/NNG+의/JKG
상담을	상담/NNG+을/JKO
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.464.4.2
또 △건물 철거는 점유자의 퇴거 이후에만 가능하도록 하고 △퇴거가 불가피할 때라도 행정·사법적 검토를 거쳐 퇴거를 고지하며 △최소한의 이주 기간 보장 △관계 공무원의 폭력방지 책임 명시 △강제퇴거를 당할 경우 국가·지방자치단체에 권리회복을 요구할 수 있는 규정 등을 담았다.

또	또/MAG
△건물	△/SW+건물/NNG
철거는	철거/NNG+는/JX
점유자의	점유자/NNG+의/JKG
퇴거	퇴거/NNG
이후에만	이후/NNG+에/JKB+만/JX
가능하도록	가능/NNG+하/XSA+도록/EC
하고	하/VV+고/EC
△퇴거가	△/SW+퇴거/NNG+가/JKS
불가피할	불가피하/VA+ㄹ/ETM
때라도	때/NNG+이/VCP+라도/EC
행정·사법적	행정/NNG+·/SP+사법/NNG+적/XSN
검토를	검토/NNG+를/JKO
거쳐	거치/VV+어/EC
퇴거를	퇴거/NNG+를/JKO
고지하며	고지/NNG+하/XSV+며/EC
△최소한의	△/SW+최소한/NNG+의/JKG
이주	이주/NNG
기간	기간/NNG
보장	보장/NNG
△관계	△/SW+관계/NNG
공무원의	공무원/NNG+의/JKG
폭력방지	폭력/NNG+방지/NNG
책임	책임/NNG
명시	명시/NNG
△강제퇴거를	△/SW+강제/NNG+퇴거/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
경우	경우/NNG
국가·지방자치단체에	국가/NNG+·/SP+지방/NNG+자치/NNG+단체/NNG+에/JKB
권리회복을	권리/NNG+회복/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규정	규정/NNG
등을	등/NNB+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.464.5.1
법안 마련에 참여했던 인권운동사랑방 미류 활동가는 “참사 이후에도 용역 동원과 겨울철 강제철거 등이 반복되고 있는데, 지금껏 한번도 강제퇴거 문제가 법적 관점에서 공론화된 적이 없다”며 “강제퇴거를 개인 간의 이해관계로 보는 게 아니라 개발 과정에서 발생하는 인권침해라는 점을 명시한 데 큰 의미가 있다”고 말했다.

법안	법안/NNG
마련에	마련/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
인권운동사랑방	인권/NNG+운동/NNG+사랑방/NNG
미류	미류/NNP
활동가는	활동가/NNG+는/JX
“참사	“/SS+참사/NNG
이후에도	이후/NNG+에/JKB+도/JX
용역	용역/NNG
동원과	동원/NNG+과/JC
겨울철	겨울철/NNG
강제철거	강제/NNG+철거/NNG
등이	등/NNB+이/JKS
반복되고	반복/NNG+되/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
지금껏	지금껏/MAG
한번도	한/MMN+번/NNB+도/JX
강제퇴거	강제/NNG+퇴거/NNG
문제가	문제/NNG+가/JKS
법적	법/NNG+적/XSN
관점에서	관점/NNG+에서/JKB
공론화된	공론/NNG+화/XSN+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“강제퇴거를	“/SS+강제/NNG+퇴거/NNG+를/JKO
개인	개인/NNG
간의	간/NNB+의/JKG
이해관계로	이해관계/NNG+로/JKB
보는	보/VV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
개발	개발/NNG
과정에서	과정/NNG+에서/JKB
