# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.276
metadata : {}


# id : NWRW1800000054.276.1.1
우승?

우승?	우승/NNG+?/SF


# id : NWRW1800000054.276.1.2
제주도 바람한테 물어보세요

제주도	제주도/NNP
바람한테	바람/NNG+한테/JKB
물어보세요	물어보/VV+시/EP+어요/EF


# id : NWRW1800000054.276.2.1
PGA CJ컵 내일 개막… 토머스 등 '빅3' 연습 라운드

PGA	PGA/SL
CJ컵	CJ/SL+컵/NNG
내일	내일/NNG
개막…	개막/NNG+…/SE
토머스	토머스/NNP
등	등/NNB
'빅3'	'/SS+빅3/NNG+'/SS
연습	연습/NNG
라운드	라운드/NNG


# id : NWRW1800000054.276.3.1
두 발로 땅을 박차는 듯 '까치발 샷'을 날리는 저스틴 토머스(미국), 큰 힘 안 들이고 엄청난 장타를 날리는 제이슨 데이(호주), 피니시까지 깔끔한 스윙을 하는 애덤 스콧(호주).

두	두/MMN
발로	발/NNG+로/JKB
땅을	땅/NNG+을/JKO
박차는	박차/VV+는/ETM
듯	듯/NNB
'까치발	'/SS+까치발/NNG
샷'을	샷/NNG+'/SS+을/JKO
날리는	날리/VV+는/ETM
저스틴	저스틴/NNP
토머스(미국),	토머스/NNP+(/SS+미국/NNP+)/SS+,/SP
큰	크/VA+ㄴ/ETM
힘	힘/NNG
안	안/MAG
들이고	들이/VV+고/EC
엄청난	엄청나/VA+ㄴ/ETM
장타를	장타/NNG+를/JKO
제이슨	제이슨/NNP
데이(호주),	데이/NNP+(/SS+호주/NNP+)/SS+,/SP
피니시까지	피니시/NNG+까지/JX
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
스윙을	스윙/NNG+을/JKO
하는	하/VV+는/ETM
애덤	애덤/NNP
스콧(호주).	스콧/NNP+(/SS+호주/NNP+)/SS+./SF


# id : NWRW1800000054.276.3.2
메이저 대회 우승 경험이 있는 이들 정상급 스타들은 다양한 클럽을 점검하며 코스 구석구석을 살폈다.

메이저	메이저/NNG
대회	대회/NNG
우승	우승/NNG
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
이들	이/NP+들/XSN
정상급	정상급/NNG
스타들은	스타/NNG+들/XSN+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
클럽을	클럽/NNG+을/JKO
점검하며	점검/NNG+하/XSV+며/EC
코스	코스/NNG
구석구석을	구석구석/NNG+을/JKO
살폈다.	살피/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.276.3.3
이들은 약속이라도 한듯 "한국에서 처음 열리는 PGA 투어에서 우승하고 싶다"고 했다.

이들은	이/NP+들/XSN+은/JX
약속이라도	약속/NNG+이/VCP+라도/EC
한듯	하/VV+ㄴ/ETM+듯/NNB
"한국에서	"/SS+한국/NNP+에서/JKB
처음	처음/NNG
열리는	열리/VV+는/ETM
PGA	PGA/SL
투어에서	투어/NNG+에서/JKB
우승하고	우승/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.3.4
