# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.240
metadata : {}


# id : NWRW1800000028.240.1.1
60년전 오늘 ‘용산폭격’ 잊혀진 비극 /미군 오폭 민간희생 영영 묻히나

60년전	60/SN+년/NNB+전/NNG
오늘	오늘/NNG
‘용산폭격’	‘/SS+용산/NNP+폭격/NNG+’/SS
잊혀진	잊혀지/VV+ㄴ/ETM
비극	비극/NNG
/미군	//SP+미군/NNG
오폭	오폭/NNG
민간희생	민간/NNG+희생/NNG
영영	영영/MAG
묻히나	묻히/VV+나/EF


# id : NWRW1800000028.240.2.1
“그때 내가 학생이었어요.

“그때	“/SS+그때/NNG
내가	내/NP+가/JKS
학생이었어요.	학생/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000028.240.2.2
벌써 60년이 흘렀지만 그 일은 지금도 잘 잊혀지질 않네요.”

벌써	벌써/MAG
60년이	60/SN+년/NNB+이/JKS
흘렀지만	흐르/VV+었/EP+지만/EC
그	그/MMD
일은	일/NNG+은/JX
지금도	지금/NNG+도/JX
잘	잘/MAG
잊혀지질	잊혀지/VV+지/EC+ㄹ/JX
않네요.”	않/VX+네/EF+요/JX+./SF+”/SS


# id : NWRW1800000028.240.3.1
지난 12일 오후 서울시립대 도서관에서 만난 손정목(82) 서울시립대 명예교수는 머릿속 깊은 곳에서 기억을 끌어내 이야기를 풀어나가기 시작했다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
오후	오후/NNG
서울시립대	서울시립대/NNP
도서관에서	도서관/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
손정목(82)	손정목/NNP+(/SS+82/SN+)/SS
명예교수는	명예/NNG+교수/NNG+는/JX
머릿속	머릿속/NNG
깊은	깊/VA+은/ETM
곳에서	곳/NNG+에서/JKB
기억을	기억/NNG+을/JKO
끌어내	끌어내/VV+어/EC
이야기를	이야기/NNG+를/JKO
풀어나가기	풀/VV+어/EC+나가/VX+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.240.3.2
60년 전인 1950년 6월25일.

60년	60/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1950년	1950/SN+년/NNB
6월25일.	6/SN+월/NNB+25/SN+일/NNB+./SF


# id : NWRW1800000028.240.3.3
갑작스럽게 터진 전쟁으로 서울은 대혼란에 빠져들었다.

갑작스럽게	갑작스럽/VA+게/EC
터진	터지/VV+ㄴ/ETM
전쟁으로	전쟁/NNG+으로/JKB
서울은	서울/NNP+은/JX
대혼란에	대/XPN+혼란/NNG+에/JKB
빠져들었다.	빠져들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.240.3.4
서울은 전쟁 3일 만에 함락됐고, 당시 140만명에 이르던 서울시민 대부분은 한강 다리가 파괴되는 바람에 강 건너 피난은 엄두도 내지 못한 채 발이 묶이고 말았다.

서울은	서울/NNP+은/JX
전쟁	전쟁/NNG
3일	3/SN+일/NNB
만에	만/NNB+에/JKB
함락됐고,	함락/NNG+되/XSV+었/EP+고/EC+,/SP
당시	당시/NNG
140만명에	140/SN+만/NR+명/NNB+에/JKB
이르던	이르/VV+던/ETM
서울시민	서울/NNP+시민/NNG
대부분은	대/XPN+부분/NNG+은/JX
한강	한강/NNP
다리가	다리/NNG+가/JKS
파괴되는	파괴/NNG+되/XSV+는/ETM
바람에	바람/NNB+에/JKB
강	강/NNG
건너	건너/NNG
피난은	피난/NNG+은/JX
엄두도	엄두/NNG+도/JX
내지	내/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
발이	발/NNG+이/JKS
묶이고	묶이/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.240.4.1
그때 고려대학교 법학과에 갓 편입한 22살의 손 교수가 있었다.

그때	그때/NNG
