# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.30
metadata : {}


# id : NWRW1800000038.30.1.1
오바마도 報恩인사… 캠프 '큰손'들 大使로 낙점

오바마도	오바마/NNP+도/JX
報恩인사…	報恩/SH+인사/NNG+…/SE
캠프	캠프/NNG
'큰손'들	'/SS+큰손/NNG+'/SS+들/XSN
大使로	大使/SH+로/JKB
낙점	낙점/NNG


# id : NWRW1800000038.30.2.1
보그 편집장은 佛 대사, 선거 모금책은 英 대사 유력… 조지 클루니도 리스트에

보그	보그/NNP
편집장은	편집장/NNG+은/JX
佛	佛/SH
대사,	대사/NNG+,/SP
선거	선거/NNG
모금책은	모금책/NNG+은/JX
英	英/SH
대사	대사/NNG
유력…	유력/NNG+…/SE
조지	조지/NNP
클루니도	클루니/NNP+도/JX
리스트에	리스트/NNG+에/JKB


# id : NWRW1800000038.30.3.1
버락 오바마 미국 대통령이 곧 '대선 공신'들에게 주요 국가의 대사(大使) 자리를 나눠주는 보은(報恩) 인사를 단행할 것이라고 시사주간지 타임이 7일(현지 시각) 보도했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
곧	곧/MAG
'대선	'/SS+대선/NNG
공신'들에게	공신/NNG+'/SS+들/XSN+에게/JKB
주요	주요/NNG
국가의	국가/NNG+의/JKG
대사(大使)	대사/NNG+(/SS+大使/SH+)/SS
자리를	자리/NNG+를/JKO
나눠주는	나누/VV+어/EC+주/VX+는/ETM
보은(報恩)	보은/NNG+(/SS+報恩/SH+)/SS
인사를	인사/NNG+를/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
시사주간지	시사/NNG+주간지/NNG
타임이	타임/NNP+이/JKS
7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.30.3.2
선거 때 금전적으로 도움을 준 후원자들을 대사에 기용하는 것은 워싱턴 정가의 오랜 관행이다.

선거	선거/NNG
때	때/NNG
금전적으로	금전/NNG+적/XSN+으로/JKB
도움을	도움/NNG+을/JKO
준	주/VV+ㄴ/ETM
후원자들을	후원자/NNG+들/XSN+을/JKO
대사에	대사/NNG+에/JKB
기용하는	기용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
워싱턴	워싱턴/NNP
정가의	정가/NNG+의/JKG
오랜	오랜/MMA
관행이다.	관행/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.3.3
우리나라의 낙하산 인사와 비슷한 셈이다.

우리나라의	우리나라/NNG+의/JKG
낙하산	낙하산/NNG
인사와	인사/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.3.4
최근에는 '보은 대사들이 외교를 망친다'는 비판도 나오고 있지만, 오바마 역시 대사직을 '전리품'으로 여기는 것은 이전 대통령들과 다를 바 없다고 현지 언론들은 보도했다.

최근에는	최근/NNG+에/JKB+는/JX
'보은	'/SS+보은/NNG
대사들이	대사/NNG+들/XSN+이/JKS
외교를	외교/NNG+를/JKO
망친다'는	망치/VV+ㄴ다/EF+'/SS+는/ETM
비판도	비판/NNG+도/JX
나오고	나오/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
오바마	오바마/NNP
역시	역시/MAG
대사직을	대사직/NNG+을/JKO
