# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.189
metadata : {}


# id : NWRW1800000029.189.1.1
“귀성길 설설, 귀경길 술술”

“귀성길	“/SS+귀성길/NNG
설설,	설설/MAG+,/SP
귀경길	귀경길/NNG
술술”	술술/MAG+”/SS


# id : NWRW1800000029.189.2.1
3173만명 대이동 예상… “2일 오전-3일 오후 피하세요

3173만명	3173/SN+만/NR+명/NNB
대이동	대/XPN+이동/NNP
예상…	예상/NNG+…/SE
“2일	“/SS+2/SN+일/NNB
오전-3일	오전/NNG+-/SO+3/SN+일/NNB
오후	오후/NNG
피하세요	피하/VV+세요/EF


# id : NWRW1800000029.189.3.1
올해 설 연휴에 귀성(歸省)은 고생스럽지만 귀경(歸京)은 상대적으로 수월할 것으로 보인다.

올해	올해/NNG
설	설/NNG
연휴에	연휴/NNG+에/JKB
귀성(歸省)은	귀성/NNG+(/SS+歸省/SH+)/SS+은/JX
고생스럽지만	고생/NNG+스럽/XSA+지만/EC
귀경(歸京)은	귀경/NNG+(/SS+歸京/SH+)/SS+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
수월할	수월하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.3.2
국토해양부는 23일 한국교통연구원에 의뢰해 전국 8000가구를 설문조사한 결과 이같이 추정됐다고 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
23일	23/SN+일/NNB
한국교통연구원에	한국교통연구원/NNP+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
전국	전국/NNG
8000가구를	8000/SN+가구/NNG+를/JKO
설문조사한	설문/NNG+조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이같이	이/NP+같이/JKB
추정됐다고	추정/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.189.3.3
조사 결과에 따르면 설 연휴 전날인 다음 달 1일부터 연휴가 끝나는 6일까지 예상이동인원은 3173만 명(1일 평균 529만 명)으로 추산됐다.

조사	조사/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
설	설/NNG
연휴	연휴/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
다음	다음/NNG
달	달/NNG
1일부터	1/SN+일/NNB+부터/JX
연휴가	연휴/NNG+가/JKS
끝나는	끝나/VV+는/ETM
6일까지	6/SN+일/NNB+까지/JX
예상이동인원은	예상/NNG+이동/NNG+인원/NNG+은/JX
3173만	3173/SN+만/NR
명(1일	명/NNB+(/SS+1/SN+일/NNB
평균	평균/NNG
529만	529/SN+만/NR
명)으로	명/NNB+)/SS+으로/JKB
추산됐다.	추산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.189.3.4
이는 지난해 설 연휴보다 3.2% 증가한 수치다.

이는	이/NP+는/JX
지난해	지난해/NNG
설	설/NNG
연휴보다	연휴/NNG+보다/JKB
3.2%	3/SN+./SP+2/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.189.3.5
이용할 교통수단으로는 승용차(82.3%)가 가장 많았다.

이용할	이용/NNG+하/XSV+ㄹ/ETM
교통수단으로는	교통수단/NNG+으로/JKB+는/JX
승용차(82.3%)가	승용차/NNG+(/SS+82/SN+./SP+3/SN+%/SW+)/SS+가/JKS
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.189.3.6
이동 예상 고속도로는 경부고속도로(33.1%), 서해안고속도로(15.0%), 중부고속도로(12.3%) 등의 순이었다.

이동	이동/NNG
예상	예상/NNG
고속도로는	고속/NNG+도로/NNG+는/JX
경부고속도로(33.1%),	경부고속도로/NNP+(/SS+33/SN+./SP+1/SN+%/SW+)/SS+,/SP
서해안고속도로(15.0%),	서해안고속도로/NNP+(/SS+15/SN+./SP+0/SN+%/SW+)/SS+,/SP
중부고속도로(12.3%)	중부고속도로/NNP+(/SS+12/SN+./SP+3/SN+%/SW+)/SS
등의	등/NNB+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.189.4.1
○ “귀경길 교통 분산될 듯”

○	○/SW
“귀경길	“/SS+귀경길/NNG
교통	교통/NNG
분산될	분산/NNG+되/XSV+ㄹ/ETM
듯”	듯/NNB+”/SS


# id : NWRW1800000029.189.5.1
설문조사 결과를 토대로 설 연휴 고속도로 이동시간(승용차 기준)을 추산해보면 귀성의 경우 서울∼대전 5시간 10분, 서울∼부산 8시간 20분, 서울∼광주 7시간 30분, 서울∼강릉 4시간 15분이 걸릴 것으로 예측했다.

설문조사	설문/NNG+조사/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
설	설/NNG
연휴	연휴/NNG
고속도로	고속/NNG+도로/NNG
이동시간(승용차	이동/NNG+시간/NNG+(/SS+승용차/NNG
