# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.46
metadata : {}


# id : NWRW1800000046.46.1.1
극장 갔을 뿐인데… 런던이 펼쳐지네

극장	극장/NNG
갔을	가/VV+았/EP+을/ETM
뿐인데…	뿐/NNB+이/VCP+ㄴ데/EC+…/SE
런던이	런던/NNP+이/JKS
펼쳐지네	펼쳐지/VV+네/EF


# id : NWRW1800000046.46.2.1
아이와 영화로 런던 여행 '패딩턴' '박물관이 살아있다:비밀의 무덤'

아이와	아이/NNG+와/JKB
영화로	영화/NNG+로/JKB
런던	런던/NNP
여행	여행/NNG
'패딩턴'	'/SS+패딩턴/NNP+'/SS
'박물관이	'/SS+박물관/NNG+이/JKS
살아있다:비밀의	살/VV+아/EC+있/VX+다/EF+:/SP+비밀/NNG+의/JKG
무덤'	무덤/NNG+'/SS


# id : NWRW1800000046.46.3.1
"런던, 비교할 수 없이 멋진 곳! 미국 프랑스 인도 일본 호주 다 가봐도 내가 있을 곳, 나를 위한 도시는 런던뿐!"

"런던,	"/SS+런던/NNP+,/SP
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
멋진	멋지/VA+ㄴ/ETM
곳!	곳/NNG+!/SF
미국	미국/NNP
프랑스	프랑스/NNP
인도	인도/NNP
일본	일본/NNP
호주	호주/NNP
다	다/MAG
가봐도	가/VV+아/EC+보/VX+아도/EC
내가	내/NP+가/JKS
있을	있/VA+을/ETM
곳,	곳/NNG+,/SP
나를	나/NP+를/JKO
위한	위하/VV+ㄴ/ETM
도시는	도시/NNG+는/JX
런던뿐!"	런던/NNP+뿐/JX+!/SF+"/SS


# id : NWRW1800000046.46.4.1
길거리 밴드는 이런 노래를 불렀다.

길거리	길거리/NNG
밴드는	밴드/NNG+는/JX
이런	이런/MMD
노래를	노래/NNG+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.46.4.2
아름다운 런던의 밤 풍경이 차창 밖으로 스쳐간다.

아름다운	아름답/VA+ㄴ/ETM
런던의	런던/NNP+의/JKG
밤	밤/NNG
풍경이	풍경/NNG+이/JKS
차창	차창/NNG
밖으로	밖/NNG+으로/JKB
스쳐간다.	스치/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.46.4.3
택시 안에 탄 것은 페루 정글을 떠나 이제 막 영국에 온 아기 곰 패딩턴〈사진〉과 친절한 브라운씨 가족.

택시	택시/NNG
안에	안/NNG+에/JKB
탄	타/VV+ㄴ/ETM
것은	것/NNB+은/JX
페루	페루/NNP
정글을	정글/NNG+을/JKO
떠나	떠나/VV+아/EC
이제	이제/MAG
막	막/MAG
영국에	영국/NNP+에/JKB
온	오/VV+ㄴ/ETM
아기	아기/NNG
곰	곰/NNG
패딩턴〈사진〉과	패딩턴/NNP+〈/SS+사진/NNG+〉/SS+과/JC
친절한	친절/NNG+하/XSA+ㄴ/ETM
브라운씨	브라운/NNP+씨/NNB
가족.	가족/NNG+./SF


# id : NWRW1800000046.46.4.4
브라운 부인은 이 깜찍한 말썽꾼 아기 곰에게 처음 만난 런던의 기차역 이름을 새 이름으로 붙여줬다.

브라운	브라운/NNP
부인은	부인/NNG+은/JX
이	이/MMD
깜찍한	깜찍하/VA+ㄴ/ETM
말썽꾼	말썽/NNG+꾼/XSN
아기	아기/NNG
곰에게	곰/NNG+에게/JKB
처음	처음/NNG
만난	만나/VV+ㄴ/ETM
런던의	런던/NNP+의/JKG
기차역	기차역/NNG
이름을	이름/NNG+을/JKO
새	새/MMA
이름으로	이름/NNG+으로/JKB
붙여줬다.	붙이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.46.4.5
8일 개봉한 영화 '패딩턴'의 도입부다.

8일	8/SN+일/NNB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
'패딩턴'의	'/SS+패딩턴/NNP+'/SS+의/JKG
도입부다.	도입부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.46.5.1
겨울방학용 가족영화 '패딩턴'(8일 개봉)과 '박물관이 살아있다: 비밀의 무덤'(15일 개봉)이 영국 런던을 고스란히 스크린 속으로 옮겨왔다.

겨울방학용	겨울/NNG+방학/NNG+용/XSN
가족영화	가족/NNG+영화/NNG
'패딩턴'(8일	'/SS+패딩턴/NNP+'/SS+(/SS+8/SN+일/NNB
개봉)과	개봉/NNG+)/SS+과/JC
'박물관이	'/SS+박물관/NNG+이/JKS
살아있다:	살/VV+아/EC+있/VX+다/EF+:/SP
비밀의	비밀/NNG+의/JKG
무덤'(15일	무덤/NNG+'/SS+(/SS+15/SN+일/NNB
개봉)이	개봉/NNG+)/SS+이/JKS
영국	영국/NNP
런던을	런던/NNP+을/JKO
고스란히	고스란히/MAG
스크린	스크린/NNG
속으로	속/NNG+으로/JKB
옮겨왔다.	옮기/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.46.5.2
따뜻한 극장에서 아이들과 함께 떠나는 런던 여행으로 추천할 만하다.

따뜻한	따뜻하/VA+ㄴ/ETM
극장에서	극장/NNG+에서/JKB
아이들과	아이/NNG+들/XSN+과/JKB
함께	함께/MAG
떠나는	떠나/VV+는/ETM
런던	런던/NNP
여행으로	여행/NNG+으로/JKB
추천할	추천/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000046.46.5.3
'패딩턴'은 1958년 출간된 어린이 책이 원작.

'패딩턴'은	'/SS+패딩턴/NNP+'/SS+은/JX
1958년	1958/SN+년/NNB
출간된	출간/NNG+되/XSV+ㄴ/ETM
어린이	어린이/NNG
책이	책/NNG+이/JKS
원작.	원작/NNG+./SF


# id : NWRW1800000046.46.5.4
40개 국어로 번역돼 3500만부가 팔린 영국인들의 국민 캐릭터다.

40개	40/SN+개/NNB
국어로	국어/NNG+로/JKB
번역돼	번역/NNG+되/XSV+어/EC
3500만부가	3500/SN+만/NR+부/NNB+가/JKS
팔린	팔리/VV+ㄴ/ETM
영국인들의	영국인/NNG+들/XSN+의/JKG
국민	국민/NNG
캐릭터다.	캐릭터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.46.5.5
특수효과팀 500명이 힘을 합쳐 만들어낸 아기 곰은 컴퓨터그래픽이라는 게 믿기지 않을 만큼 털 한 올 한 올까지 사랑스럽다.

특수효과팀	특수/NNG+효과/NNG+팀/NNG
500명이	500/SN+명/NNB+이/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
아기	아기/NNG
곰은	곰/NNG+은/JX
컴퓨터그래픽이라는	컴퓨터/NNG+그래픽/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
믿기지	믿기/VV+지/EC
않을	않/VX+을/ETM
만큼	만큼/NNB
털	털/NNG
한	한/MMN
올	올/NNG
