# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.221
metadata : {}


# id : NWRW1800000021.221.1.1
[친절한 팬텀 씨]Q:라이선스 뮤지컬이 오리지널 공연과 다른 점은?

[친절한	[/SS+친절/NNG+하/XSA+ㄴ/ETM
팬텀	팬텀/NNP
씨]Q:라이선스	씨/NNB+]/SS+Q/SL+:/SP+라이선스/NNG
뮤지컬이	뮤지컬/NNG+이/JKS
오리지널	오리지널/NNG
공연과	공연/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
점은?	점/NNG+은/JX+?/SF


# id : NWRW1800000021.221.2.1
―한국에서 공연하는 라이선스 뮤지컬이 오리지널 공연과 어떻게 다른지 궁금합니다.

―한국에서	―/SS+한국/NNP+에서/JKB
공연하는	공연/NNG+하/XSV+는/ETM
라이선스	라이선스/NNG
뮤지컬이	뮤지컬/NNG+이/JKS
오리지널	오리지널/NNG
공연과	공연/NNG+과/JKB
어떻게	어떻/VA+게/EC
다른지	다르/VA+ㄴ지/EF
궁금합니다.	궁금하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.2.2
(김승경·26·서울 종로구 명륜동)

(김승경·26·서울	(/SS+김승경/NNP+·/SP+26/SN+·/SP+서울/NNP
종로구	종로구/NNP
명륜동)	명륜동/NNP+)/SS


# id : NWRW1800000021.221.3.1
‘로미오와 줄리엣, 맘마미아, 노트르담드파리, 돈 주앙, 브로드웨이 42번가….’

‘로미오와	‘/SS+로미오/NNP+와/JC
줄리엣,	줄리엣/NNP+,/SP
맘마미아,	맘마미아/NNP+,/SP
노트르담드파리,	노트르담드파리/NNP+,/SP
돈	돈/NNP
주앙,	주앙/NNP+,/SP
브로드웨이	브로드웨이/NNP
42번가….’	42/SN+번가/NNB+…./SE+’/SS


# id : NWRW1800000021.221.3.2
올여름은 대형 라이선스 뮤지컬들의 ‘빅뱅’입니다.

올여름은	올여름/NNG+은/JX
대형	대형/NNG
라이선스	라이선스/NNG
뮤지컬들의	뮤지컬/NNG+들/XSN+의/JKG
‘빅뱅’입니다.	‘/SS+빅뱅/NNG+’/SS+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.3.3
라이선스 뮤지컬은 의상이나 대본, 음악, 무대 등 세세한 부분까지 오리지널 제작사가 정한 대로 따라야 합니다.

라이선스	라이선스/NNG
뮤지컬은	뮤지컬/NNG+은/JX
의상이나	의상/NNG+이나/JC
대본,	대본/NNG+,/SP
음악,	음악/NNG+,/SP
무대	무대/NNG
등	등/NNB
세세한	세세하/VA+ㄴ/ETM
부분까지	부분/NNG+까지/JX
오리지널	오리지널/NNG
제작사가	제작사/NNG+가/JKS
정한	정하/VV+ㄴ/ETM
대로	대로/NNB
따라야	따르/VV+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.3.4
배우만 국내 배우로 달라질 뿐 다른 조건들은 오리지널 공연과 비슷해야 한다는 게 계약 조건이기 때문이죠.

배우만	배우/NNG+만/JX
국내	국내/NNG
배우로	배우/NNG+로/JKB
달라질	달라지/VV+ㄹ/ETM
뿐	뿐/NNB
다른	다른/MMD
조건들은	조건/NNG+들/XSN+은/JX
오리지널	오리지널/NNG
공연과	공연/NNG+과/JKB
비슷해야	비슷하/VA+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
계약	계약/NNG
조건이기	조건/NNG+이/VCP+기/ETN
때문이죠.	때문/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000021.221.4.1
하지만 한국적 상황에 맞게 미세하게 수정을 하기도 합니다.

하지만	하지만/MAJ
한국적	한국/NNP+적/XSN
상황에	상황/NNG+에/JKB
맞게	맞/VV+게/EC
미세하게	미세/NNG+하/XSA+게/EC
수정을	수정/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.4.2
일단 공연장의 크기가 달라지면 무대 세트와 조명이 국내 공연장에 맞게 바뀝니다.

일단	일단/MAG
공연장의	공연장/NNG+의/JKG
크기가	크기/NNG+가/JKS
달라지면	달라지/VV+면/EC
무대	무대/NNG
세트와	세트/NNG+와/JC
조명이	조명/NNG+이/JKS
국내	국내/NNG
공연장에	공연장/NNG+에/JKB
맞게	맞/VV+게/EC
바뀝니다.	바뀌/VV+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.4.3
라이선스로는 올해 초연된 뒤 다시 공연되고 있는 프랑스 뮤지컬 ‘돈 주앙’은 성남아트센터에서 충무아트홀로 공연장을 옮기며 무대와 객석 사이가 좁아졌습니다.

라이선스로는	라이선스/NNG+로/JKB+는/JX
올해	올해/NNG
초연된	초연/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
공연되고	공연/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
프랑스	프랑스/NNP
뮤지컬	뮤지컬/NNG
‘돈	‘/SS+돈/NNP
주앙’은	주앙/NNP+’/SS+은/JX
성남아트센터에서	성남아트센터/NNP+에서/JKB
충무아트홀로	충무아트홀/NNP+로/JKB
공연장을	공연장/NNG+을/JKO
옮기며	옮기/VV+며/EC
무대와	무대/NNG+와/JC
객석	객석/NNG
사이가	사이/NNG+가/JKS
좁아졌습니다.	좁아지/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.221.4.4
그러자 제작진은 배우들의 화장을 옅게 해 변화를 줬습니다.

그러자	그러/VV+자/EC
제작진은	제작진/NNG+은/JX
배우들의	배우/NNG+들/XSN+의/JKG
화장을	화장/NNG+을/JKO
옅게	옅/VA+게/EC
해	하/VX+아/EC
변화를	변화/NNG+를/JKO
줬습니다.	주/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.221.4.5
이전의 진한 화장이 관객들에게 부담이 될 수 있다는 판단에서죠.

이전의	이전/NNG+의/JKG
진한	진하/VA+ㄴ/ETM
화장이	화장/NNG+이/JKS
관객들에게	관객/NNG+들/XSN+에게/JKB
부담이	부담/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단에서죠.	판단/NNG+에서/JKB+이/VCP+죠/EF+./SF


# id : NWRW1800000021.221.5.1
라이선스 뮤지컬이 초연에 비해 크게 달라지는 경우도 있습니다.

라이선스	라이선스/NNG
뮤지컬이	뮤지컬/NNG+이/JKS
초연에	초연/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
달라지는	달라지/VV+는/ETM
경우도	경우/NNG+도/JX
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000021.221.5.2
21일 LG아트센터에 오르는 뮤지컬 ‘브로드웨이 42번가’는 1996년 한국 초연 때와 비교해 비주얼 면에서 바뀌었습니다.

21일	21/SN+일/NNB
LG아트센터에	LG아트센터/NNP+에/JKB
오르는	오르/VV+는/ETM
뮤지컬	뮤지컬/NNG
‘브로드웨이	‘/SS+브로드웨이/NNP
42번가’는	42/SN+번가/NNB+’/SS+는/JX
1996년	1996/SN+년/NNB
한국	한국/NNP
초연	초연/NNG
때와	때/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
비주얼	비주얼/NNG
면에서	면/NNG+에서/JKB
바뀌었습니다.	바뀌/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.221.5.3
바로 앙상블(뮤지컬에서 합창이나 군무를 맡은 배우들)의 다리 길이죠.

바로	바로/MAG
앙상블(뮤지컬에서	앙상블/NNG+(/SS+뮤지컬/NNG+에서/JKB
합창이나	합창/NNG+이나/JC
군무를	군무/NNG+를/JKO
맡은	맡/VV+은/ETM
배우들)의	배우/NNG+들/XSN+)/SS+의/JKG
다리	다리/NNG
길이죠.	길이/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000021.221.5.4
제작진은 이번 앙상블 선발 오디션에서 키 170cm 이상의 조건을 내걸었고 이 덕분에 앙상블의 평균 신장이 초연 때보다 10cm 넘게 커졌습니다.

제작진은	제작진/NNG+은/JX
이번	이번/NNG
앙상블	앙상블/NNG
선발	선발/NNG
오디션에서	오디션/NNG+에서/JKB
키	키/NNG
170cm	170/SN+cm/SW
이상의	이상/NNG+의/JKG
조건을	조건/NNG+을/JKO
내걸었고	내걸/VV+었/EP+고/EC
이	이/MMD
덕분에	덕분/NNG+에/JKB
앙상블의	앙상블/NNG+의/JKG
평균	평균/NNG
신장이	신장/NNG+이/JKS
초연	초연/NNG
때보다	때/NNG+보다/JKB
10cm	10/SN+cm/SW
넘게	넘/VV+게/EC
커졌습니다.	커지/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.221.5.5
미니스커트도 5cm가량 짧아졌다고 하네요.

미니스커트도	미니스커트/NNG+도/JX
5cm가량	5/SN+cm/SW+가량/XSN
짧아졌다고	짧아지/VV+었/EP+다고/EC
하네요.	하/VV+네/EF+요/JX+./SF


# id : NWRW1800000021.221.5.6
막이 오르면 탭댄스를 추는 코러스걸의 다리가 맨 먼저 보이기 때문에 관객들의 눈길을 잡기 위한 방법이지요.

막이	막/NNG+이/JKS
오르면	오르/VV+면/EC
탭댄스를	탭댄스/NNG+를/JKO
추는	추/VV+는/ETM
코러스걸의	코러스걸/NNG+의/JKG
다리가	다리/NNG+가/JKS
맨	맨/MMA
먼저	먼저/MAG
보이기	보이/VV+기/ETN
때문에	때문/NNB+에/JKB
관객들의	관객/NNG+들/XSN+의/JKG
눈길을	눈길/NNG+을/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방법이지요.	방법/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000021.221.6.1
9월 23일부터 2010년 8월 8일까지 공연하는 뮤지컬 ‘오페라의 유령’은 한국 뮤지컬 시장의 역량을 잘 보여주는 사례입니다.

9월	9/SN+월/NNB
23일부터	23/SN+일/NNB+부터/JX
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
8일까지	8/SN+일/NNB+까지/JX
공연하는	공연/NNG+하/XSV+는/ETM
뮤지컬	뮤지컬/NNG
‘오페라의	‘/SS+오페라/NNG+의/JKG
유령’은	유령/NNG+’/SS+은/JX
한국	한국/NNP
시장의	시장/NNG+의/JKG
역량을	역량/NNG+을/JKO
잘	잘/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례입니다.	사례/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000021.221.6.2
2001년 초연 때 공연에 사용한 모든 재료는 해외에서 제작돼 들여왔습니다.

2001년	2001/SN+년/NNB
초연	초연/NNG
때	때/NNG
공연에	공연/NNG+에/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
재료는	재료/NNG+는/JX
해외에서	해외/NNG+에서/JKB
제작돼	제작/NNG+되/XSV+어/EC
들여왔습니다.	들여오/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000021.221.6.3
팬텀이 쓰는 흰색 가면도 배우의 얼굴 모양을 뜬 뒤 해외에서 제작했습니다.

팬텀이	팬텀/NNP+이/JKS
쓰는	쓰/VV+는/ETM
흰색	흰색/NNG
가면도	가면/NNG+도/JX
배우의	배우/NNG+의/JKG
얼굴	얼굴/NNG
모양을	모양/NNG+을/JKO
뜬	뜨/VV+ㄴ/ETM
뒤	뒤/NNG
해외에서	해외/NNG+에서/JKB
제작했습니다.	제작/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000021.221.6.4
오리지널 제작사 RUG가 작은 소품까지 오리지널과 똑같아야 한다고 요구했기 때문이었죠.

오리지널	오리지널/NNG
제작사	제작사/NNG
RUG가	RUG/SL+가/JKS
작은	작/VA+은/ETM
소품까지	소품/NNG+까지/JX
오리지널과	오리지널/NNG+과/JKB
똑같아야	똑같/VA+아야/EC
한다고	하/VX+ㄴ다고/EC
요구했기	요구/NNG+하/XSV+았/EP+기/ETN
때문이었죠.	때문/NNB+이/VCP+었/EP+죠/EF+./SF


# id : NWRW1800000021.221.6.5
하지만 국내 제작 역량에 대한 신뢰가 생기면서 올해에는 의상 가발 신발 모자 등을 국내에서 제작할 수 있게 됐습니다.

하지만	하지만/MAJ
국내	국내/NNG
제작	제작/NNG
역량에	역량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰가	신뢰/NNG+가/JKS
생기면서	생기/VV+면서/EC
올해에는	올해/NNG+에/JKB+는/JX
의상	의상/NNG
가발	가발/NNG
신발	신발/NNG
모자	모자/NNG
등을	등/NNB+을/JKO
국내에서	국내/NNG+에서/JKB
제작할	제작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.221.6.6
이제야 비로소 한국의 팬텀은 ‘메이드 인 코리아’의 가면을 쓰게 된 셈이죠.

이제야	이제야/MAG
비로소	비로소/MAG
