# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.162
metadata : {}


# id : NWRW1800000041.162.1.1
사실주의적 이미지로 구성한 초현실주의적 캔버스

사실주의적	사실주의/NNG+적/XSN
이미지로	이미지/NNG+로/JKB
구성한	구성/NNG+하/XSV+ㄴ/ETM
초현실주의적	초/XPN+현실주의/NNG+적/XSN
캔버스	캔버스/NNG


# id : NWRW1800000041.162.2.1
첫 국내 개인전 여는 러 출신 화가 블라디미르 쿠시

첫	첫/MMN
국내	국내/NNG
개인전	개인전/NNG
여는	열/VV+는/ETM
러	러/NNP
출신	출신/NNG
화가	화가/NNG
블라디미르	블라디미르/NNP
쿠시	쿠시/NNP


# id : NWRW1800000041.162.3.1
《 먼 길을 달려 바닷가에 가까워질 때면 몸 어딘가에서 바다가 남긴 기억이 와락 되살아나곤 한다.

《	《/SS
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
달려	달리/VV+어/EC
바닷가에	바닷가/NNG+에/JKB
가까워질	가깝/VA+어/EC+지/VX+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
몸	몸/NNG
어딘가에서	어디/NP+이/VCP+ㄴ가/EF+에서/JKB
바다가	바다/NNG+가/JKS
남긴	남기/VV+ㄴ/ETM
기억이	기억/NNG+이/JKS
와락	와락/MAG
되살아나곤	되살아나/VV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.162.3.2
내년 4월 5일까지 서울 서초구 예술의 전당 한가람미술관에서 첫 국내 개인전을 여는 러시아 출신 화가 블라디미르 쿠시(49)의 회화 ‘지중해로의 하강’은 그 뭉클한 희열을 이미지로 구현한 듯한 작품이다.

내년	내년/NNG
4월	4/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
서울	서울/NNP
서초구	서초구/NNP
예술의	예술/NNG+의/JKG
전당	전당/NNG
한가람미술관에서	한가람미술관/NNP+에서/JKB
첫	첫/MMN
국내	국내/NNG
개인전을	개인전/NNG+을/JKO
여는	열/VV+는/ETM
러시아	러시아/NNP
출신	출신/NNG
화가	화가/NNG
블라디미르	블라디미르/NNP
쿠시(49)의	쿠시/NNP+(/SS+49/SN+)/SS+의/JKG
회화	회화/NNG
‘지중해로의	‘/SS+지중해/NNP+로/JKB+의/JKG
하강’은	하강/NNG+’/SS+은/JX
그	그/MMD
뭉클한	뭉클/MAG+하/XSA+ㄴ/ETM
희열을	희열/NNG+을/JKO
이미지로	이미지/NNG+로/JKB
구현한	구현/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.3.3
쾌청한 바다를 향해 곧게 벋은 길을 내딛는 남자의 몸은 이미 저 멀리 바다로 가득 차 있다.》

쾌청한	쾌청하/VA+ㄴ/ETM
바다를	바다/NNG+를/JKO
향해	향하/VV+아/EC
곧게	곧/VA+게/EC
벋은	벋/VV+은/ETM
길을	길/NNG+을/JKO
내딛는	내딛/VV+는/ETM
남자의	남자/NNG+의/JKG
몸은	몸/NNG+은/JX
이미	이미/MAG
저	저/MMD
멀리	멀리/MAG
바다로	바다/NNG+로/JKB
가득	가득/MAG
차	차/VV+아/EC
있다.》	있/VX+다/EF+./SF+》/SS


# id : NWRW1800000041.162.4.1
그림 속에 알아볼 수 없는 형상은 없다.

그림	그림/NNG
속에	속/NNG+에/JKB
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
형상은	형상/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.162.4.2
길의 계단과 난간, 양쪽에 갈라 도열한 나무, 해변의 새하얀 주택 군락이 한결같이 또렷하다.

길의	길/NNG+의/JKG
계단과	계단/NNG+과/JC
난간,	난간/NNG+,/SP
양쪽에	양쪽/NNG+에/JKB
갈라	가르/VV+아/EC
도열한	도열/NNG+하/XSV+ㄴ/ETM
나무,	나무/NNG+,/SP
해변의	해변/NNG+의/JKG
새하얀	새하얗/VA+ㄴ/ETM
주택	주택/NNG
군락이	군락/NNG+이/JKS
한결같이	한결같이/MAG
또렷하다.	또렷하/VA+다/EF+./SF


# id : NWRW1800000041.162.4.3
캔버스에 삽입한 소재의 정체는 또렷하지만 ‘그래서 무엇을 그린 것인가’를 자문하면 모호해진다.

캔버스에	캔버스/NNG+에/JKB
삽입한	삽입/NNG+하/XSV+ㄴ/ETM
소재의	소재/NNG+의/JKG
정체는	정체/NNG+는/JX
또렷하지만	또렷하/VA+지만/EC
‘그래서	‘/SS+그래서/MAJ
무엇을	무엇/NP+을/JKO
그린	그리/VV+ㄴ/ETM
것인가’를	것/NNB+이/VCP+ㄴ가/EF+’/SS+를/JKO
자문하면	자문/NNG+하/XSV+면/EC
모호해진다.	모호하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.162.4.4
22일 미술관에서 만난 쿠시는 “나를 초현실주의 작가라고 부르는 사람들이 있지만 실상 내 작업은 최대한 사실적으로 표현한 이미지로 은유적 의미를 전하려 하는 것”이라고 말했다.

22일	22/SN+일/NNB
미술관에서	미술관/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
쿠시는	쿠시/NNP+는/JX
“나를	“/SS+나/NP+를/JKO
초현실주의	초/XPN+현실주의/NNG
작가라고	작가/NNG+이/VCP+라고/EC
부르는	부르/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있지만	있/VA+지만/EC
실상	실상/MAG
내	나/NP+의/JKG
작업은	작업/NNG+은/JX
최대한	최대한/MAG
사실적으로	사실/NNG+적/XSN+으로/JKB
표현한	표현/NNG+하/XSV+ㄴ/ETM
이미지로	이미지/NNG+로/JKB
은유적	은유/NNG+적/XSN
