# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.42
metadata : {}


# id : NWRW1800000022.42.1.1
청계천 잇는 중학천 2㎞ 전 구간 복원키로

청계천	청계천/NNP
잇는	잇/VV+는/ETM
중학천	중학천/NNP
2㎞	2/SN+㎞/SW
전	전/MMN
구간	구간/NNG
복원키로	복원/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000022.42.2.1
서울 도심을 흐르는 청계천의 최대 지천이지만, 현재 복개돼 아스팔트 도로 밑에 숨어있는 중학천(中學川) 전 구간이 2011년까지 자연하천으로 복원된다.

서울	서울/NNP
도심을	도심/NNG+을/JKO
흐르는	흐르/VV+는/ETM
청계천의	청계천/NNP+의/JKG
최대	최대/NNG
지천이지만,	지천/NNG+이/VCP+지만/EC+,/SP
현재	현재/MAG
복개돼	복개/NNG+되/XSV+어/EC
아스팔트	아스팔트/NNG
도로	도로/NNG
밑에	밑/NNG+에/JKB
숨어있는	숨/VV+어/EC+있/VX+는/ETM
중학천(中學川)	중학천/NNP+(/SS+中學川/SH+)/SS
전	전/MMN
구간이	구간/NNG+이/JKS
2011년까지	2011/SN+년/NNB+까지/JX
자연하천으로	자연/NNG+하천/NNG+으로/JKB
복원된다.	복원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.42.3.1
서울시는 6일 종로구 삼청동 북악산 자락에서 발원해 청계광장 근처 청계천으로 연결되는 중학천 2㎞ 구간 전체를 단계적으로 복원하겠다고 밝혔다.

서울시는	서울시/NNP+는/JX
6일	6/SN+일/NNB
종로구	종로구/NNP
삼청동	삼청동/NNP
북악산	북악산/NNP
자락에서	자락/NNG+에서/JKB
발원해	발원/NNG+하/XSV+아/EC
청계광장	청계광장/NNP
근처	근처/NNG
청계천으로	청계천/NNP+으로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
중학천	중학천/NNP
2㎞	2/SN+㎞/SW
구간	구간/NNG
전체를	전체/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
복원하겠다고	복원/NNG+하/XSV+겠/EP+다고/EC
