# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.232
metadata : {}


# id : NWRW1800000033.232.1.1
[런던 올림픽 D-2]“들뜨지 말고 자신있게… 할리우드 액션 경계1호” 하석주 감독의 값진 조언

[런던	[/SS+런던/NNP
올림픽	올림픽/NNG
D-2]“들뜨지	D/SL+-/SO+2/SN+]/SS+“/SS+들뜨/VV+지/EC
말고	말/VX+고/EC
자신있게…	자신/NNG+있/VA+게/EC+…/SE
할리우드	할리우드/NNP
액션	액션/NNG
경계1호”	경계/NNG+1/SN+호/NNB+”/SS
하석주	하석주/NNP
감독의	감독/NNG+의/JKG
값진	값지/VA+ㄴ/ETM
조언	조언/NNG


# id : NWRW1800000033.232.2.1
1998년 월드컵 멕시코전 첫골 하석주 아주대 감독

1998년	1998/SN+년/NNB
월드컵	월드컵/NNG
멕시코전	멕시코전/NNG
첫골	첫/MMN+골/NNG
하석주	하석주/NNP
아주대	아주대/NNP
감독	감독/NNG


# id : NWRW1800000033.232.3.1
“한국 축구가 국제무대에서 움츠러들던 시기는 끝났다.

“한국	“/SS+한국/NNP
축구가	축구/NNG+가/JKS
국제무대에서	국제/NNG+무대/NNG+에서/JKB
움츠러들던	움츠러들/VV+던/ETM
시기는	시기/NNG+는/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.3.2
두려움을 떨치고 자신 있게 상대와 맞서면 꿈은 이루어진다.”

두려움을	두려움/NNG+을/JKO
떨치고	떨치/VV+고/EC
자신	자신/NNG
있게	있/VA+게/EC
상대와	상대/NNG+와/JKB
맞서면	맞서/VV+면/EC
꿈은	꿈/NNG+은/JX
이루어진다.”	이루어지/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000033.232.4.1
하석주 아주대 감독(44·사진)은 멕시코에 대한 ‘아픈 기억’이 있다.

하석주	하석주/NNP
아주대	아주대/NNP
감독(44·사진)은	감독/NNG+(/SS+44/SN+·/SP+사진/NNG+)/SS+은/JX
멕시코에	멕시코/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
‘아픈	‘/SS+아프/VA+ㄴ/ETM
기억’이	기억/NNG+’/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.232.4.2
1998년 프랑스 월드컵 당시 태극마크를 달았던 하 감독은 멕시코와의 조별 예선 첫 경기에서 전반 28분 환상적인 프리킥으로 한국의 월드컵 사상 첫 선제골을 기록했다.

1998년	1998/SN+년/NNB
프랑스	프랑스/NNP
월드컵	월드컵/NNG
당시	당시/NNG
태극마크를	태극/NNG+마크/NNG+를/JKO
달았던	달/VV+았/EP+던/ETM
하	하/NNP
감독은	감독/NNG+은/JX
멕시코와의	멕시코/NNP+와/JKB+의/JKG
조별	조별/NNG
예선	예선/NNG
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
전반	전반/NNG
28분	28/SN+분/NNB
환상적인	환상/NNG+적/XSN+이/VCP+ㄴ/ETM
프리킥으로	프리킥/NNG+으로/JKB
한국의	한국/NNP+의/JKG
사상	사상/NNG
선제골을	선제골/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.4.3
그러나 불과 2분 뒤 그는 상대 선수에게 백태클을 해 퇴장 당했고 한국이 1-3으로 무릎을 꿇자 패배의 원흉으로 지목됐다.

그러나	그러나/MAJ
불과	불과/MAG
2분	2/SN+분/NNB
뒤	뒤/NNG
그는	그/NP+는/JX
상대	상대/NNG
선수에게	선수/NNG+에게/JKB
백태클을	백/NNG+태클/NNG+을/JKO
해	하/VV+아/EC
퇴장	퇴장/NNG
당했고	당하/VV+았/EP+고/EC
한국이	한국/NNP+이/JKS
1-3으로	1/SN+-/SO+3/SN+으로/JKB
무릎을	무릎/NNG+을/JKO
꿇자	꿇/VV+자/EC
패배의	패배/NNG+의/JKG
원흉으로	원흉/NNG+으로/JKB
지목됐다.	지목/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.232.5.1
멕시코 경기에서 ‘천당과 지옥’을 오갔던 하 감독.

멕시코	멕시코/NNP
경기에서	경기/NNG+에서/JKB
‘천당과	‘/SS+천당/NNG+과/JC
지옥’을	지옥/NNG+’/SS+을/JKO
오갔던	오가/VV+았/EP+던/ETM
하	하/NNP
감독.	감독/NNG+./SF


# id : NWRW1800000033.232.5.2
그는 14년 전 자신의 ‘백태클 악몽’을 교훈 삼아 한국 축구 사상 올림픽 첫 메달에 도전하는 후배들에게 값진 조언을 남겼다.

그는	그/NP+는/JX
14년	14/SN+년/NNB
전	전/NNG
자신의	자신/NNG+의/JKG
‘백태클	‘/SS+백/NNG+태클/NNG
악몽’을	악몽/NNG+’/SS+을/JKO
교훈	교훈/NNG
삼아	삼/VV+아/EC
한국	한국/NNP
축구	축구/NNG
사상	사상/NNG
올림픽	올림픽/NNG
첫	첫/MMN
메달에	메달/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
후배들에게	후배/NNG+들/XSN+에게/JKB
값진	값지/VA+ㄴ/ETM
조언을	조언/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.232.6.1
하 감독은 선제골로 경기 분위기를 우리 쪽으로 끌어오는 동시에 ‘들뜨지 말 것’을 강조했다.

하	하/NNP
감독은	감독/NNG+은/JX
선제골로	선제골/NNG+로/JKB
경기	경기/NNG
분위기를	분위기/NNG+를/JKO
우리	우리/NP
쪽으로	쪽/NNB+으로/JKB
끌어오는	끌어오/VV+는/ETM
동시에	동시/NNG+에/JKB
‘들뜨지	‘/SS+들뜨/VV+지/EC
말	말/VX+ㄹ/ETM
것’을	것/NNB+’/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.6.2
그는 “1998년 당시 우리는 국제 경기 경험이 많지 않다보니 선제골에 쉽게 흥분해 경기 감각이 흐트러졌다.

그는	그/NP+는/JX
“1998년	“/SS+1998/SN+년/NNB
당시	당시/NNG
우리는	우리/NP+는/JX
국제	국제/NNG
경기	경기/NNG
경험이	경험/NNG+이/JKS
많지	많/VA+지/EC
않다보니	않/VX+다/EC+보/VX+니/EC
선제골에	선제골/NNG+에/JKB
쉽게	쉽/VA+게/EC
흥분해	흥분/NNG+하/XSV+아/EC
감각이	감각/NNG+이/JKS
흐트러졌다.	흐트러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.232.6.3
지금 올림픽대표팀 선수들은 유럽에서 뛰며 해외 경험을 쌓은 선수가 많은 만큼 흥분하지 말고 안정적으로 경기를 운영해야 한다”고 말했다.

지금	지금/MAG
올림픽대표팀	올림픽/NNG+대표/NNG+팀/NNG
선수들은	선수/NNG+들/XSN+은/JX
유럽에서	유럽/NNP+에서/JKB
뛰며	뛰/VV+며/EC
해외	해외/NNG
경험을	경험/NNG+을/JKO
쌓은	쌓/VV+은/ETM
선수가	선수/NNG+가/JKS
많은	많/VA+은/ETM
만큼	만큼/NNB
흥분하지	흥분/NNG+하/XSV+지/EC
말고	말/VX+고/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
경기를	경기/NNG+를/JKO
운영해야	운영/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.7.1
또한 멕시코의 ‘할리우드 액션’(심판의 눈을 속이는 동작으로 반칙을 이끌어내는 것)을 조심해야 한다고 강조했다.

또한	또한/MAG
멕시코의	멕시코/NNP+의/JKG
‘할리우드	‘/SS+할리우드/NNP
액션’(심판의	액션/NNG+’/SS+(/SS+심판/NNG+의/JKG
눈을	눈/NNG+을/JKO
속이는	속이/VV+는/ETM
동작으로	동작/NNG+으로/JKB
반칙을	반칙/NNG+을/JKO
이끌어내는	이끌/VV+어/EC+내/VX+는/ETM
것)을	것/NNB+)/SS+을/JKO
조심해야	조심/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.7.2
“멕시코 선수들은 살짝 건드려도 심하게 넘어진다.

“멕시코	“/SS+멕시코/NNP
선수들은	선수/NNG+들/XSN+은/JX
살짝	살짝/MAG
건드려도	건드리/VV+어도/EC
심하게	심하/VA+게/EC
넘어진다.	넘어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.232.7.3
우리 선수들이 조심해야 할 부분이다.

우리	우리/NP
선수들이	선수/NNG+들/XSN+이/JKS
조심해야	조심/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.232.7.4
