# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.224
metadata : {}


# id : NWRW1800000054.224.1.1
'철원 병사' 아버지 "누가 쐈는지 밝히지 말라… 그 병사가 자책감 갖는 걸 원치 않아"

'철원	'/SS+철원/NNP
병사'	병사/NNG+'/SS
아버지	아버지/NNG
"누가	"/SS+누구/NP+가/JKS
쐈는지	쏘/VV+았/EP+는지/EC
밝히지	밝히/VV+지/EC
말라…	말/VX+라/EF+…/SE
그	그/MMD
병사가	병사/NNG+가/JKS
자책감	자책감/NNG
갖는	갖/VV+는/ETM
걸	거/NNB+ㄹ/JKO
원치	원/NNG+하/XSV+지/EC
않아"	않/VX+아/EF+"/SS


# id : NWRW1800000054.224.2.1
•"사람 다니는데 사격하다니… 연휴前 '휴가 온다' 마지막 전화"

•"사람	•/SW+"/SS+사람/NNG
다니는데	다니/VV+는데/EC
사격하다니…	사격/NNG+하/XSV+다니/EF+…/SE
연휴前	연휴/NNG+前/SH
'휴가	'/SS+휴가/NNG
온다'	오/VV+ㄴ다/EF+'/SS
마지막	마지막/NNG
전화"	전화/NNG+"/SS


# id : NWRW1800000054.224.3.1
"빗나간 탄환을 어느 병사가 쐈는지 알고 싶지 않다.

"빗나간	"/SS+빗나가/VV+ㄴ/ETM
탄환을	탄환/NNG+을/JKO
어느	어느/MMD
병사가	병사/NNG+가/JKS
쐈는지	쏘/VV+았/EP+는지/EC
알고	알/VV+고/EC
싶지	싶/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.224.3.2
그 병사가 밝혀지더라도 나에게 알려주지 말라고 했다"

그	그/MMD
병사가	병사/NNG+가/JKS
밝혀지더라도	밝혀지/VV+더라도/EC
나에게	나/NP+에게/JKB
알려주지	알리/VV+어/EC+주/VX+지/EC
말라고	말/VX+라고/EC
했다"	하/VV+았/EP+다/EF+"/SS


# id : NWRW1800000054.224.4.1
인근 사격장에서 날아든 유탄에 허무하게 아들을 잃은 이모(50)씨는 9일 연합뉴스와 통화에서 "누가 탄환을 쐈는지 알면 원망할 것 같고, 그 병사가 큰 자책감과 부담감을 안고 살아가는 걸 원하지 않는다"고 했다.

인근	인근/NNG
사격장에서	사격장/NNG+에서/JKB
날아든	날아들/VV+ㄴ/ETM
유탄에	유탄/NNG+에/JKB
허무하게	허무/NNG+하/XSA+게/EC
아들을	아들/NNG+을/JKO
잃은	잃/VV+은/ETM
이모(50)씨는	이/NNP+모/NP+(/SS+50/SN+)/SS+씨/NNB+는/JX
9일	9/SN+일/NNB
연합뉴스와	연합뉴스/NNP+와/JKB
통화에서	통화/NNG+에서/JKB
"누가	"/SS+누구/NP+가/JKS
탄환을	탄환/NNG+을/JKO
쐈는지	쏘/VV+았/EP+는지/EC
알면	알/VV+면/EC
원망할	원망/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같고,	같/VA+고/EC+,/SP
그	그/MMD
병사가	병사/NNG+가/JKS
큰	크/VA+ㄴ/ETM
자책감과	자책감/NNG+과/JC
부담감을	부담감/NNG+을/JKO
안고	안/VV+고/EC
살아가는	살아가/VV+는/ETM
걸	거/NNB+ㄹ/JKO
원하지	원/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
