# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.101
metadata : {}


# id : NWRW1800000046.101.1.1
"나라를 알려면 문학과 신문이 최고"

"나라를	"/SS+나라/NNG+를/JKO
알려면	알/VV+려면/EC
문학과	문학/NNG+과/JC
신문이	신문/NNG+이/JKS
최고"	최고/NNG+"/SS


# id : NWRW1800000046.101.2.1
박완서·김원일 등 작품 불어 번역 '명예 서울시민증' 받은 르브랭

박완서·김원일	박완서/NNP+·/SP+김원일/NNP
등	등/NNB
작품	작품/NNG
불어	불어/NNP
번역	번역/NNG
'명예	'/SS+명예/NNG
서울시민증'	서울/NNP+시민증/NNG+'/SS
받은	받/VV+은/ETM
르브랭	르브랭/NNP


# id : NWRW1800000046.101.3.1
프랑스 출신의 할머니 선생님이 최근 '명예 서울 시민'이 됐다.

프랑스	프랑스/NNP
출신의	출신/NNG+의/JKG
할머니	할머니/NNG
선생님이	선생/NNG+님/XSN+이/JKS
최근	최근/NNG
'명예	'/SS+명예/NNG
서울	서울/NNP
시민'이	시민/NNG+'/SS+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.101.3.2
엘렌 르브랭(Lebrun·80) 하비에르 국제학교 이사장 겸 명예교장이다.

엘렌	엘렌/NNP
르브랭(Lebrun·80)	르브랭/NNP+(/SS+Lebrun/SL+·/SP+80/SN+)/SS
하비에르	하비에르/NNP
국제학교	국제/NNG+학교/NNG
이사장	이사장/NNG
겸	겸/NNB
명예교장이다.	명예/NNG+교장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.3.3
서울시는 지난달 말 그에게 '명예 시민증'을 주었다.

서울시는	서울시/NNP+는/JX
지난달	지난달/NNG
말	말/NNB
그에게	그/NP+에게/JKB
'명예	'/SS+명예/NNG
시민증'을	시민증/NNG+'/SS+을/JKO
주었다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.101.3.4
고려대·서강대 등에서 라틴어·희랍어 등 고어(古語)나 프랑스 고전문학을 가르치고, 박완서·김원일 등의 소설을 프랑스어로 번역하는 등 한국 문화를 알린 데 대한 감사의 뜻이다.

고려대·서강대	고려대/NNP+·/SP+서강대/NNP
등에서	등/NNB+에서/JKB
라틴어·희랍어	라틴어/NNP+·/SP+희랍어/NNP
등	등/NNB
고어(古語)나	고어/NNG+(/SS+古語/SH+)/SS+나/JC
프랑스	프랑스/NNP
고전문학을	고전/NNG+문학/NNG+을/JKO
가르치고,	가르치/VV+고/EC+,/SP
박완서·김원일	박완서/NNP+·/SP+김원일/NNP
등의	등/NNB+의/JKG
소설을	소설/NNG+을/JKO
프랑스어로	프랑스어/NNP+로/JKB
번역하는	번역/NNG+하/XSV+는/ETM
한국	한국/NNP
문화를	문화/NNG+를/JKO
알린	알리/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
감사의	감사/NNG+의/JKG
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.3.5
그는 재작년 프랑스 정부로부터 최고 훈장인 레지옹 도뇌르도 받았다.

그는	그/NP+는/JX
재작년	재/XPN+작년/NNG
프랑스	프랑스/NNP
정부로부터	정부/NNG+로부터/JKB
최고	최고/NNG
훈장인	훈장/NNG+이/VCP+ㄴ/ETM
레지옹	레지옹/NNG
도뇌르도	도뇌르/NNG+도/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.4.1
서울 구기동 하비에르 국제학교에서 그를 만났다.

서울	서울/NNP
구기동	구기동/NNP
하비에르	하비에르/NNP
국제학교에서	국제/NNG+학교/NNG+에서/JKB
그를	그/NP+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.4.2
주름 가득한 피부에 하얗게 센 머리, 그리고 마른 체구다.

주름	주름/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
피부에	피부/NNG+에/JKB
하얗게	하얗/VA+게/EC
센	세/VV+ㄴ/ETM
머리,	머리/NNG+,/SP
그리고	그리고/MAJ
마른	마르/VV+ㄴ/ETM
체구다.	체구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.4.3
하지만 자세는 꼿꼿하고 목소리는 카랑카랑해 여든 나이를 믿기 힘들다.

하지만	하지만/MAJ
자세는	자세/NNG+는/JX
꼿꼿하고	꼿꼿하/VA+고/EC
목소리는	목소리/NNG+는/JX
카랑카랑해	카랑카랑/MAG+하/XSA+아/EC
여든	여든/NR
나이를	나이/NNG+를/JKO
믿기	믿/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000046.101.4.4
책장과 테이블에는 박완서·김애란·김승희 등 여러 문인의 작품집이 놓였다.

책장과	책장/NNG+과/JC
테이블에는	테이블/NNG+에/JKB+는/JX
박완서·김애란·김승희	박완서/NNP+·/SP+김애란/NNP+·/SP+김승희/NNP
등	등/NNB
여러	여러/MMN
문인의	문인/NNG+의/JKG
작품집이	작품집/NNG+이/JKS
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.101.5.1
그는 가톨릭 수녀이다.

그는	그/NP+는/JX
가톨릭	가톨릭/NNG
수녀이다.	수녀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.5.2
파리 근교에서 고등학교를 운영하는 성프란치스코 하비에르 사도회 소속이다.

파리	파리/NNP
근교에서	근교/NNG+에서/JKB
고등학교를	고등학교/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
성프란치스코	성/MMA+프란치스코/NNP
하비에르	하비에르/NNP
사도회	사도회/NNG
소속이다.	소속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.5.3
한국에는 1980년 효성여대(현 대구가톨릭대) 요청으로 왔다.

한국에는	한국/NNP+에/JKB+는/JX
1980년	1980/SN+년/NNB
효성여대(현	효성여대/NNP+(/SS+현/MMD
대구가톨릭대)	대구가톨릭대/NNP+)/SS
요청으로	요청/NNG+으로/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.5.4
그리고 35년 지난 지금까지 한국서 산다.

그리고	그리고/MAJ
35년	35/SN+년/NNB
지난	지나/VV+ㄴ/ETM
지금까지	지금/NNG+까지/JX
한국서	한국/NNP+서/JKB
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.101.5.5
한국 문학을 접한 특별한 계기는 없다.

한국	한국/NNP
문학을	문학/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
계기는	계기/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.101.5.6
"한국말이 좀 익숙해지면서 단편소설과 시를 많이 읽었어요.

"한국말이	"/SS+한국말/NNG+이/JKS
좀	좀/MAG
익숙해지면서	익숙하/VA+아/EC+지/VX+면서/EC
단편소설과	단편/NNG+소설/NNG+과/JC
시를	시/NNG+를/JKO
많이	많이/MAG
읽었어요.	읽/VV+었/EP+어요/EF+./SF


# id : NWRW1800000046.101.5.7
그 사회를 알려면 문학이나 신문을 읽어야 하잖아요."

그	그/MMD
사회를	사회/NNG+를/JKO
알려면	알/VV+려면/EC
문학이나	문학/NNG+이나/JC
신문을	신문/NNG+을/JKO
읽어야	읽/VV+어야/EC
하잖아요."	하/VX+잖아/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.101.6.1
처음 번역한 책은 박완서의 '엄마의 말뚝'(번역명 'La Piquet de ma mere')이다.

처음	처음/NNG
번역한	번역/NNG+하/XSV+ㄴ/ETM
책은	책/NNG+은/JX
박완서의	박완서/NNP+의/JKG
'엄마의	'/SS+엄마/NNG+의/JKG
말뚝'(번역명	말뚝/NNG+'/SS+(/SS+번역/NNG+명/NNG
'La	'/SS+La/SL
Piquet	Piquet/SL
de	de/SL
ma	ma/SL
mere')이다.	mere/SL+'/SS+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.6.2
출판사 부탁으로 고(故) 강거배 서강대 교수와 번역해 1988년에 책을 냈다.

출판사	출판사/NNG
부탁으로	부탁/NNG+으로/JKB
고(故)	고/MMA+(/SS+故/SH+)/SS
강거배	강거배/NNP
서강대	서강대/NNP
교수와	교수/NNG+와/JKB
번역해	번역/NNG+하/XSV+아/EC
1988년에	1988/SN+년/NNB+에/JKB
책을	책/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.101.6.3
두 번째로 번역한 박완서 작품은 '그 많던 싱아는 누가 다 먹었을까'(번역명 'Hors les Murs')이다.

두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
번역한	번역/NNG+하/XSV+ㄴ/ETM
박완서	박완서/NNP
작품은	작품/NNG+은/JX
'그	'/SS+그/MMD
많던	많/VA+던/ETM
싱아는	싱아/NNG+는/JX
누가	누구/NP+가/JKS
다	다/MAG
먹었을까'(번역명	먹/VV+었/EP+을까/EC+'/SS+(/SS+번역/NNG+명/NNG
'Hors	'/SS+Hors/SL
les	les/SL
Murs')이다.	Murs/SL+'/SS+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.6.4
이 번역으로 지난해 대산문학상을 받았다.

이	이/MMD
번역으로	번역/NNG+으로/JKB
지난해	지난해/NNG
대산문학상을	대산/NNP+문학상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.6.5
그는 "박완서씨가 돌아가시기 전에 한 모임에서 만난 적 있다"며 "나이는 물론 전쟁의 고통을 경험한 점까지 여러모로 비슷해 공감되는 부분이 많았다"고 했다.

그는	그/NP+는/JX
"박완서씨가	"/SS+박완서/NNP+씨/NNB+가/JKS
돌아가시기	돌아가/VV+시/EP+기/ETN
전에	전/NNG+에/JKB
한	한/MMN
모임에서	모임/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
적	적/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"나이는	"/SS+나이/NNG+는/JX
물론	물론/MAG
전쟁의	전쟁/NNG+의/JKG
고통을	고통/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
점까지	점/NNG+까지/JX
여러모로	여러모로/MAG
비슷해	비슷하/VA+아/EC
공감되는	공감/NNG+되/XSV+는/ETM
부분이	부분/NNG+이/JKS
많았다"고	많/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.7.1
