# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.329
metadata : {}


# id : NWRW1800000026.329.1.1
[이번주 공모주 청약] 아이씨코리아

[이번주	[/SS+이번/NNG+주/NNG
공모주	공모주/NNG
청약]	청약/NNG+]/SS
아이씨코리아	아이씨코리아/NNP


# id : NWRW1800000026.329.2.1
이번 주에 전자카드 제조업체인 아이씨코리아가 공모주 청약에 나선다.

이번	이번/NNG
주에	주/NNG+에/JKB
전자카드	전자/NNG+카드/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
아이씨코리아가	아이씨코리아/NNP+가/JKS
공모주	공모주/NNG
청약에	청약/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.329.3.1
아이씨코리아는 오는 7일부터 8일까지 코스닥 시장 상장을 위한 공모주 청약을 실시한다.

아이씨코리아는	아이씨코리아/NNP+는/JX
오는	오/VV+는/ETM
7일부터	7/SN+일/NNB+부터/JX
8일까지	8/SN+일/NNB+까지/JX
코스닥	코스닥/NNP
시장	시장/NNG
상장을	상장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공모주	공모주/NNG
청약을	청약/NNG+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.329.3.2
지난 1998년 설립됐으며 금융·통신·교통 등의 분야에 사용되는 스마트카드를 제조해 금융기관에 납품하는 회사다.

지난	지나/VV+ㄴ/ETM
1998년	1998/SN+년/NNB
설립됐으며	설립/NNG+되/XSV+었/EP+으며/EC
금융·통신·교통	금융/NNG+·/SP+통신/NNG+·/SP+교통/NNG
등의	등/NNB+의/JKG
분야에	분야/NNG+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
스마트카드를	스마트카드/NNG+를/JKO
제조해	제조/NNG+하/XSV+아/EC
금융기관에	금융/NNG+기관/NNG+에/JKB
납품하는	납품/NNG+하/XSV+는/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.329.3.3
지난해 315억원의 매출과 28억원의 영업이익, 24억원의 당기순이익을 기록했다.

지난해	지난해/NNG
315억원의	315/SN+억/NR+원/NNB+의/JKG
매출과	매출/NNG+과/JC
28억원의	28/SN+억/NR+원/NNB+의/JKG
영업이익,	영업/NNG+이익/NNG+,/SP
24억원의	24/SN+억/NR+원/NNB+의/JKG
당기순이익을	당기/NNG+순이익/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.329.3.4
공모를 통해 확보하는 자금은 시설자금과 연구개발비, 차입금 상환 등에 쓸 예정이다.

공모를	공모/NNG+를/JKO
통해	통하/VV+아/EC
확보하는	확보/NNG+하/XSV+는/ETM
자금은	자금/NNG+은/JX
시설자금과	시설/NNG+자금/NNG+과/JC
연구개발비,	연구/NNG+개발비/NNG+,/SP
차입금	차입금/NNG
상환	상환/NNG
등에	등/NNB+에/JKB
쓸	쓰/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


