# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.93
metadata : {}


# id : NWRW1800000029.93.1.1
‘동반성장 1등상’ 탈 만하네… 삼성전기 은탑산업훈장 받아

‘동반성장	‘/SS+동반/NNG+성장/NNG
1등상’	1/SN+등/NNB+상/NNG+’/SS
탈	타/VV+ㄹ/ETM
만하네…	만/NNB+하/XSA+네/EF+…/SE
삼성전기	삼성전기/NNP
은탑산업훈장	은탑/NNG+산업/NNG+훈장/NNG
받아	받/VV+아/EF


# id : NWRW1800000029.93.2.1
“함께 돈버는 구조 만들어야”… 설비투자에 경영컨설팅 주력

“함께	“/SS+함께/MAG
돈버는	돈/NNG+벌/VV+는/ETM
구조	구조/NNG
만들어야”…	만들/VV+어야/EC+”/SS+…/SE
설비투자에	설비/NNG+투자/NNG+에/JKB
경영컨설팅	경영/NNG+컨설팅/NNG
주력	주력/NNG


# id : NWRW1800000029.93.3.1
23일 서울 강남구 삼성동 한국전력공사 한빛홀에서 열린 2011년 대-중소기업 동반성장 대상 시상식.

23일	23/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
한국전력공사	한국전력공사/NNP
한빛홀에서	한빛/NNP+홀/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
대-중소기업	대/XPN+-/SO+중소기업/NNG
동반성장	동반/NNG+성장/NNG
대상	대상/NNG
시상식.	시상식/NNG+./SF


# id : NWRW1800000029.93.3.2
박종우 삼성전기 사장(사진)이 대기업과 중소기업 모두의 기업경쟁력을 올렸다는 공로를 인정받아 1등상인 은탑산업훈장을 받았다.

박종우	박종우/NNP
삼성전기	삼성전기/NNP
사장(사진)이	사장/NNG+(/SS+사진/NNG+)/SS+이/JKS
대기업과	대/XPN+기업/NNG+과/JC
중소기업	중소기업/NNG
모두의	모두/NNG+의/JKG
기업경쟁력을	기업/NNG+경쟁력/NNG+을/JKO
올렸다는	올리/VV+었/EP+다는/ETM
공로를	공로/NNG+를/JKO
인정받아	인정/NNG+받/XSV+아/EC
1등상인	1/SN+등/NNB+상/NNG+이/VCP+ㄴ/ETM
은탑산업훈장을	은탑/NNG+산업/NNG+훈장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.93.4.1
삼성전기 관계자는 “협력회사도 돈을 벌고, 대기업도 돈을 버는 구조를 만드는 게 가장 큰 동반성장이라고 생각해 경영컨설팅 활동 등에 주력했다”며 “협력회사와의 평균 거래액도 2008년 38억 원에서 2010년에는 63억 원으로 65% 이상 커졌다”고 말했다.

삼성전기	삼성전기/NNP
관계자는	관계자/NNG+는/JX
“협력회사도	“/SS+협력/NNG+회사/NNG+도/JX
돈을	돈/NNG+을/JKO
벌고,	벌/VV+고/EC+,/SP
대기업도	대/XPN+기업/NNG+도/JX
버는	벌/VV+는/ETM
구조를	구조/NNG+를/JKO
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
동반성장이라고	동반/NNG+성장/NNG+이/VCP+라고/EC
생각해	생각/NNG+하/XSV+아/EC
경영컨설팅	경영/NNG+컨설팅/NNG
활동	활동/NNG
등에	등/NNB+에/JKB
주력했다”며	주력/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“협력회사와의	“/SS+협력/NNG+회사/NNG+와/JKB+의/JKG
평균	평균/NNG
거래액도	거래액/NNG+도/JX
2008년	2008/SN+년/NNB
38억	38/SN+억/NR
원에서	원/NNB+에서/JKB
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
63억	63/SN+억/NR
원으로	원/NNB+으로/JKB
65%	65/SN+%/SW
이상	이상/NNG
커졌다”고	커지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.93.4.2
수입하던 부품을 한국 회사가 만들도록 해야 한다는 박 사장의 신념도 이 같은 거래액 증가에 한몫한 것으로 알려졌다.

수입하던	수입/NNG+하/XSV+던/ETM
부품을	부품/NNG+을/JKO
한국	한국/NNP
회사가	회사/NNG+가/JKS
만들도록	만들/VV+도록/EC
해야	하/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
박	박/NNP
사장의	사장/NNG+의/JKG
신념도	신념/NNG+도/JX
이	이/NP
같은	같/VA+은/ETM
거래액	거래액/NNG
증가에	증가/NNG+에/JKB
한몫한	한몫/NNG+하/XSV+ㄴ/ETM
