# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.302
metadata : {}


# id : NWRW1800000026.302.1.1
[수도권Ⅱ] 파주영어마을서 창조의 꿈 피운다;멘토와 멘티의 쌍방향 만남 '경기창조학교' 오프라인교실·공개홀 마련

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
파주영어마을서	파주/NNP+영어/NNP+마을/NNG+서/JKB
창조의	창조/NNG+의/JKG
꿈	꿈/NNG
피운다;멘토와	피우/VV+ㄴ다/EF+;/SP+멘토/NNG+와/JC
멘티의	멘티/NNG+의/JKG
쌍방향	쌍방향/NNG
만남	만남/NNG
'경기창조학교'	'/SS+경기/NNP+창조/NNG+학교/NNG+'/SS
오프라인교실·공개홀	오프라인/NNG+교실/NNG+·/SP+공개/NNG+홀/NNG
마련	마련/NNG


# id : NWRW1800000026.302.2.1
지난달 28일 오후 서울 동숭동 대학로예술극장.

지난달	지난달/NNG
28일	28/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
동숭동	동숭동/NNP
대학로예술극장.	대학로예술극장/NNP+./SF


# id : NWRW1800000026.302.2.2
면암 최익현 선생의 일생을 다룬 '너희가 나라를 아느냐'는 연극이 끝나자 대극장 무대 앞으로 15명의 관객들이 옹기종기 모여 앉았다.

면암	면암/NNP
최익현	최익현/NNP
선생의	선생/NNG+의/JKG
일생을	일생/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
'너희가	'/SS+너희/NP+가/JKS
나라를	나라/NNG+를/JKO
아느냐'는	알/VV+느냐/EF+'/SS+는/ETM
연극이	연극/NNG+이/JKS
끝나자	끝나/VV+자/EC
대극장	대/XPN+극장/NNG
무대	무대/NNG
앞으로	앞/NNG+으로/JKB
15명의	15/SN+명/NNB+의/JKG
관객들이	관객/NNG+들/XSN+이/JKS
옹기종기	옹기종기/MAG
모여	모이/VV+어/EC
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.2.3
11세 초등학생부터 56세 늦깎이 대학원생까지 다양한 이들이 모였다.

11세	11/SN+세/NNB
초등학생부터	초등학생/NNG+부터/JX
56세	56/SN+세/NNB
늦깎이	늦깎이/NNG
대학원생까지	대학원/NNG+생/XSN+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.302.2.4
이때 무대 뒤편에서 대원군 역으로 출연했던 음향 전문가 김벌래(69) 홍익대 교수가 둥근 모자를 눌러쓰고 나타났다.

이때	이때/NNG
무대	무대/NNG
뒤편에서	뒤편/NNG+에서/JKB
대원군	대원군/NNG
역으로	역/NNG+으로/JKB
출연했던	출연/NNG+하/XSV+았/EP+던/ETM
음향	음향/NNG
전문가	전문가/NNG
김벌래(69)	김벌래/NNP+(/SS+69/SN+)/SS
홍익대	홍익대/NNP
교수가	교수/NNG+가/JKS
둥근	둥글/VA+ㄴ/ETM
모자를	모자/NNG+를/JKO
눌러쓰고	눌러쓰/VV+고/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.2.5
"음향효과도 내고 성질 고약한 대원군 역도 하려니 아주 힘들어."

"음향효과도	"/SS+음향/NNG+효과/NNG+도/JX
내고	내/VV+고/EC
성질	성질/NNG
고약한	고약하/VA+ㄴ/ETM
대원군	대원군/NNG
역도	역/NNG+도/JX
하려니	하/VV+려니/EC
아주	아주/MAG
힘들어."	힘들/VA+어/EF+./SF+"/SS


# id : NWRW1800000026.302.3.1
그러자 곳곳에서 웃음 소리와 함께 질문이 터지기 시작했다.

그러자	그러/VV+자/EC
곳곳에서	곳곳/NNG+에서/JKB
웃음	웃음/NNG
소리와	소리/NNG+와/JKB
함께	함께/MAG
질문이	질문/NNG+이/JKS
터지기	터지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.3.2
디자이너인 박은애(26)씨가 "멘토님, 어떻게 연극에 출연하게 됐어요?"라고 묻자 김 교수가 특유의 카랑카랑한 목소리를 높였다.

디자이너인	디자이너/NNG+이/VCP+ㄴ/ETM
박은애(26)씨가	박은애/NNP+(/SS+26/SN+)/SS+씨/NNB+가/JKS
"멘토님,	"/SS+멘토/NNG+님/XSN+,/SP
어떻게	어떻/VA+게/EC
연극에	연극/NNG+에/JKB
출연하게	출연/NNG+하/XSV+게/EC
됐어요?"라고	되/VV+었/EP+어요/EF+?/SF+"/SS+라고/JKQ
묻자	묻/VV+자/EC
김	김/NNP
교수가	교수/NNG+가/JKS
특유의	특유/NNG+의/JKG
카랑카랑한	카랑카랑/MAG+하/XSA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.302.3.3
"우리 역사도 모르고 어떻게 독도를 우리 땅이라고 하겠어?

"우리	"/SS+우리/NP
역사도	역사/NNG+도/JX
모르고	모르/VV+고/EC
어떻게	어떻/VA+게/EC
독도를	독도/NNP+를/JKO
우리	우리/NP
땅이라고	땅/NNG+이/VCP+라고/EC
하겠어?	하/VV+겠/EP+어/EF+?/SF


# id : NWRW1800000026.302.3.4
멘티 여러분 말고 여의도에 계신 분들도 와서 봐야 하는디!"

멘티	멘티/NNG
여러분	여러분/NP
말고	말/VV+고/EC
여의도에	여의도/NNP+에/JKB
계신	계시/VV+ㄴ/ETM
분들도	분/NNB+들/XSN+도/JX
와서	오/VV+아서/EC
봐야	보/VV+아야/EC
하는디!"	하/VX+는디/EF+!/SF+"/SS


# id : NWRW1800000026.302.4.1
이날 텅빈 무대 앞에서 20분 동안 '수다'를 떤 이들은 경기도와 이어령 전 문화부장관이 세운 '경기창조학교' 멘토와 멘티들이다.

이날	이날/NNG
텅빈	텅/MAG+비/VV+ㄴ/ETM
무대	무대/NNG
앞에서	앞/NNG+에서/JKB
20분	20/SN+분/NNB
동안	동안/NNG
'수다'를	'/SS+수다/NNG+'/SS+를/JKO
떤	떨/VV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
경기도와	경기도/NNP+와/JC
이어령	이어령/NNP
전	전/MMD
문화부장관이	문화부/NNG+장관/NNG+이/JKS
세운	세우/VV+ㄴ/ETM
'경기창조학교'	'/SS+경기/NNP+창조/NNG+학교/NNG+'/SS
멘토와	멘토/NNG+와/JC
멘티들이다.	멘티/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.302.4.2
