# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.317
metadata : {}


# id : NWRW1800000024.317.1.1
한국 아시아청소년야구 우승

한국	한국/NNP
아시아청소년야구	아시아/NNP+청소년/NNG+야구/NNG
우승	우승/NNG


# id : NWRW1800000024.317.2.1
한국이 제8회 아시아청소년야구선수권 결승에서 대만을 9-2로 대파하고 4전 전승으로 우승을 차지했다.

한국이	한국/NNP+이/JKS
제8회	제/XPN+8/SN+회/NNB
아시아청소년야구선수권	아시아/NNP+청소년/NNG+야구/NNG+선수/NNG+권/XSN
결승에서	결승/NNG+에서/JKB
대만을	대만/NNP+을/JKO
9-2로	9/SN+-/SO+2/SN+로/JKB
대파하고	대파/NNG+하/XSV+고/EC
4전	4/SN+전/NNB
전승으로	전승/NNG+으로/JKB
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.317.3.1
박태호(대구고) 감독이 이끄는 한국은 29일 서울 목동에서 열린 결승에서 5회까지 1-1로 팽팽한 균형을 이루다 6회말 1사 1·2루에서 대타 조윤성의 좌전 적시타로 2-1 역전에 성공한 뒤 계속된 2사 2·3루에서 강민국의 우중간 2타점 3루타로 4-1로 달아나 승부를 갈랐다.

박태호(대구고)	박태호/NNP+(/SS+대구고/NNP+)/SS
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
한국은	한국/NNP+은/JX
29일	29/SN+일/NNB
서울	서울/NNP
목동에서	목동/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
결승에서	결승/NNG+에서/JKB
5회까지	5/SN+회/NNB+까지/JX
1-1로	1/SN+-/SO+1/SN+로/JKB
팽팽한	팽팽하/VA+ㄴ/ETM
균형을	균형/NNG+을/JKO
이루다	이루/VV+다/EC
6회말	6/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
1·2루에서	1/SN+·/SP+2루/NNG+에서/JKB
대타	대타/NNG
조윤성의	조윤성/NNP+의/JKG
좌전	좌전/NNG
적시타로	적시타/NNG+로/JKB
2-1	2/SN+-/SO+1/SN
역전에	역전/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
계속된	계속/NNG+되/XSV+ㄴ/ETM
2사	2/SN+사/NNG
2·3루에서	2·3루/NNG+에서/JKB
강민국의	강민국/NNP+의/JKG
우중간	우중간/NNG
2타점	2/SN+타점/NNG
3루타로	3루타/NNG+로/JKB
4-1로	4/SN+-/SO+1/SN+로/JKB
달아나	달아나/VV+아/EC
승부를	승부/NNG+를/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.317.4.1
8회초 1점을 내준 한국은 8회말 번트작전을 앞세워 대만 수비진을 흔들며 대거 5점을 보태 승리를 자축했다.

8회초	8/SN+회/NNB+초/NNB
1점을	1/SN+점/NNB+을/JKO
내준	내주/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
8회말	8/SN+회/NNB+말/NNB
번트작전을	번트/NNG+작전/NNG+을/JKO
앞세워	앞세우/VV+어/EC
대만	대만/NNP
수비진을	수비진/NNG+을/JKO
흔들며	흔들/VV+며/EC
대거	대거/MAG
5점을	5/SN+점/NNB+을/JKO
보태	보태/VV+어/EC
승리를	승리/NNG+를/JKO
자축했다.	자축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.317.4.2
1996년과 2003년 우승한 한국은 6년 만에 정상에 올랐다.

1996년과	1996/SN+년/NNB+과/JC
2003년	2003/SN+년/NNB
우승한	우승/NNG+하/XSV+ㄴ/ETM
한국은	한국/NNP+은/JX
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.317.4.3
2005년과 2007년엔 모두 준우승에 머물렀다.

2005년과	2005/SN+년/NNB+과/JC
2007년엔	2007/SN+년/NNB+에/JKB+ㄴ/JX
모두	모두/MAG
준우승에	준/XPN+우승/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.317.5.1
선발 김용주에 이어 5회 두 번째 투수로 올라와 2⅓회 동안 1피안타 3삼진 무실점으로 던진 박화랑이 승리투수가 됐고, 7회 1사 1루에서 세 번째 투수로 등판한 에이스 문성현은 이번 대회 11⅔회 1실점, 평균자책점 0.77을 기록해 최우수선수로 뽑혔다.

선발	선발/NNG
김용주에	김용주/NNP+에/JKB
이어	잇/VV+어/EC
5회	5/SN+회/NNB
두	두/MMN
번째	번/NNB+째/XSN
투수로	투수/NNG+로/JKB
올라와	올라오/VV+아/EC
2⅓회	2/SN+⅓/SW+회/NNB
동안	동안/NNG
1피안타	1/SN+피/XPN+안타/NNG
3삼진	3/SN+삼진/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
던진	던지/VV+ㄴ/ETM
박화랑이	박화랑/NNP+이/JKS
승리투수가	승리/NNG+투수/NNG+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
7회	7/SN+회/NNB
1사	1/SN+사/NNG
1루에서	1루/NNG+에서/JKB
세	세/MMN
등판한	등판/NNG+하/XSV+ㄴ/ETM
에이스	에이스/NNG
문성현은	문성현/NNP+은/JX
이번	이번/NNG
대회	대회/NNG
11⅔회	11/SN+⅔/SW+회/NNB
1실점,	1/SN+실점/NNG+,/SP
평균자책점	평균/NNG+자책점/NNG
0.77을	0/SN+./SP+77/SN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
최우수선수로	최/XPN+우수/NNG+선수/NNG+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.317.5.2
일본전 끝내기 안타로 결승행에 앞장섰던 4번 타자 김경도는 12타수 5안타(타율 0.417)로 타격상을 받았다.

일본전	일본전/NNG
끝내기	끝내기/NNG
안타로	안타/NNG+로/JKB
결승행에	결승행/NNG+에/JKB
앞장섰던	앞장서/VV+었/EP+던/ETM
4번	4/SN+번/NNB
타자	타자/NNG
김경도는	김경도/NNP+는/JX
12타수	12/SN+타수/NNG
5안타(타율	5/SN+안타/NNG+(/SS+타율/NNG
0.417)로	0/SN+./SP+417/SN+)/SS+로/JKB
타격상을	타격/NNG+상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


