# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.213
metadata : {}


# id : NWRW1800000028.213.1.1
수제축구화 외길 35년…월드컵도 발만 보여요

수제축구화	수제/NNG+축구화/NNG
외길	외길/NNG
35년…월드컵도	35/SN+년/NNB+…/SE+월드컵/NNG+도/JX
발만	발/NNG+만/JX
보여요	보이/VV+어요/EF


# id : NWRW1800000028.213.2.1
지난 21일 서울 중구 동대문역사문화공원역 근처 신창스포츠 매장에서 만난 김봉학(49) 사장은 손님의 발을 노트에 올려놓고는 본을 뜨고 있었다.

지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
동대문역사문화공원역	동대문역사문화공원역/NNP
근처	근처/NNG
신창스포츠	신창스포츠/NNP
매장에서	매장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
김봉학(49)	김봉학/NNP+(/SS+49/SN+)/SS
사장은	사장/NNG+은/JX
손님의	손/NNG+님/XSN+의/JKG
발을	발/NNG+을/JKO
노트에	노트/NNG+에/JKB
올려놓고는	올려놓/VV+고/EC+는/JX
본을	본/NNG+을/JKO
뜨고	뜨/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.213.2.2
“손님이 원하는 대로 만들어드립니다.

“손님이	“/SS+손/NNG+님/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
대로	대로/NNB
만들어드립니다.	만들/VV+어/EC+드리/VX+ㅂ니다/EF+./SF


# id : NWRW1800000028.213.2.3
하지만 축구화 앞부분은 발에 딱 맞아야 해요.”

하지만	하지만/MAJ
축구화	축구화/NNG
앞부분은	앞부분/NNG+은/JX
발에	발/NNG+에/JKB
딱	딱/MAG
맞아야	맞/VV+아야/EC
해요.”	하/VX+아요/EF+./SF+”/SS


# id : NWRW1800000028.213.2.4
손님 박아무개씨는 “아는 형님이 이곳 축구화를 고집하는데, 편하고 좋아 보여서 왔다”며 웃었다.

손님	손/NNG+님/XSN
박아무개씨는	박/NNP+아무개/NP+씨/NNB+는/JX
“아는	“/SS+알/VV+는/ETM
형님이	형/NNG+님/XSN+이/JKS
이곳	이곳/NP
축구화를	축구화/NNG+를/JKO
고집하는데,	고집/NNG+하/XSV+는데/EC+,/SP
편하고	편하/VA+고/EC
좋아	좋/VA+아/EC
보여서	보이/VV+어서/EC
왔다”며	오/VV+았/EP+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.2.5
