# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.353
metadata : {}


# id : NWRW1800000029.353.1.1
[단독]金국방, 예비역 장성 600명 설득 나선다

[단독]金국방,	[/SS+단독/NNG+]/SS+金/SH+국방/NNG+,/SP
예비역	예비역/NNG
장성	장성/NNG
600명	600/SN+명/NNB
설득	설득/NNG
나선다	나서/VV+ㄴ다/EF


# id : NWRW1800000029.353.2.1
17~19일 국방개혁 설명회

17~19일	17/SN+~/SO+19/SN+일/NNB
국방개혁	국방/NNG+개혁/NNG
설명회	설명회/NNG


# id : NWRW1800000029.353.3.1
일각서 취소-연기 주장했지만… 법제화 무산 우려 “예정대로”

일각서	일각/NNG+서/JKB
취소-연기	취소/NNG+-/SO+연기/NNG
주장했지만…	주장/NNG+하/XSV+았/EP+지만/EC+…/SE
법제화	법제/NNG+화/XSN
무산	무산/NNG
우려	우려/NNG
“예정대로”	“/SS+예정/NNG+대로/JX+”/SS


# id : NWRW1800000029.353.4.1
국방부가 17∼19일 사흘간 예비역 장성 600명가량을 서울 용산구 국방부 청사로 초청해 상부지휘구조 개편을 골자로 한 ‘국방개혁 307계획’에 대한 설명회를 열기로 했다.

국방부가	국방부/NNG+가/JKS
17∼19일	17/SN+∼/SO+19/SN+일/NNB
사흘간	사흘/NNG+간/XSN
예비역	예비역/NNG
장성	장성/NNG
600명가량을	600/SN+명/NNB+가량/XSN+을/JKO
서울	서울/NNP
용산구	용산구/NNP
국방부	국방부/NNG
청사로	청사/NNG+로/JKB
초청해	초청/NNG+하/XSV+아/EC
상부지휘구조	상부/NNG+지휘/NNG+구조/NNG
개편을	개편/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
‘국방개혁	‘/SS+국방/NNG+개혁/NNG
307계획’에	307/SN+계획/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
설명회를	설명회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.353.4.2
국방부는 3월 말부터 역대 국방부 장관과 합참의장, 각 군 참모총장 등 일부 예비역 장성을 상대로 국방개혁 설명회와 간담회를 열었지만 이처럼 대규모로 예비역들을 초청하는 것은 처음이다.

국방부는	국방부/NNG+는/JX
3월	3/SN+월/NNB
말부터	말/NNB+부터/JX
역대	역대/NNG
국방부	국방부/NNG
장관과	장관/NNG+과/JC
합참의장,	합참/NNG+의장/NNG+,/SP
