# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.191
metadata : {}


# id : NWRW1800000048.191.1.1
재즈로 달궈지는 겨울

재즈로	재즈/NNG+로/JKB
달궈지는	달구/VV+어/EC+지/VX+는/ETM
겨울	겨울/NNG


# id : NWRW1800000048.191.2.1
국내 연주자 총출동 ‘재즈페스티벌’

국내	국내/NNG
연주자	연주자/NNG
총출동	총출동/NNG
‘재즈페스티벌’	‘/SS+재즈/NNG+페스티벌/NNG+’/SS


# id : NWRW1800000048.191.3.1
라틴재즈 들을 수 있는 ‘재즈 인서울’

라틴재즈	라틴/NNP+재즈/NNG
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
‘재즈	‘/SS+재즈/NNG
인서울’	인/NNG+서울/NNP+’/SS


# id : NWRW1800000048.191.4.1
재즈 팬들을 위한 합동 공연이 잇달아 열린다.

재즈	재즈/NNG
팬들을	팬/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
합동	합동/NNG
공연이	공연/NNG+이/JKS
잇달아	잇달/VV+아/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.4.2
‘대한민국 재즈페스티벌’은 국내 재즈 연주자들의 진면목을 보여주는 자리를 마련했다.

‘대한민국	‘/SS+대한민국/NNP
재즈페스티벌’은	재즈/NNG+페스티벌/NNG+’/SS+은/JX
국내	국내/NNG
재즈	재즈/NNG
연주자들의	연주자/NNG+들/XSN+의/JKG
진면목을	진면목/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
자리를	자리/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.191.4.3
모토는 ‘재즈의 본질로 돌아가자’로, 성황을 이루고 있는 재즈페스티벌이 외국 뮤지션, 재즈가 아닌 뮤지션을 내세우는 데 대한 비판을 겸한다.

모토는	모토/NNG+는/JX
‘재즈의	‘/SS+재즈/NNG+의/JKG
본질로	본질/NNG+로/JKB
돌아가자’로,	돌아가/VV+자/EF+’/SS+로/JKB+,/SP
성황을	성황/NNG+을/JKO
이루고	이루/VV+고/EC
있는	있/VX+는/ETM
재즈페스티벌이	재즈/NNG+페스티벌/NNG+이/JKS
외국	외국/NNG
뮤지션,	뮤지션/NNG+,/SP
재즈가	재즈/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
뮤지션을	뮤지션/NNG+을/JKO
내세우는	내세우/VV+는/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
비판을	비판/NNG+을/JKO
겸한다.	겸/NNB+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.4.4
1992년에 같은 이름의 공연을 벌였던 봉고·퍼커션 거장 류복성이 주최자로 나섰다.

1992년에	1992/SN+년/NNB+에/JKB
같은	같/VA+은/ETM
이름의	이름/NNG+의/JKG
공연을	공연/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
봉고·퍼커션	봉고/NNG+·/SP+퍼커션/NNG
거장	거장/NNG
류복성이	류복성/NNP+이/JKS
주최자로	주최자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.191.4.5
자연히 재즈 1세대부터 젊은 뮤지션까지 어우러지는 자리가 되었다.

자연히	자연히/MAG
재즈	재즈/NNG
1세대부터	1/SN+세대/NNG+부터/JX
젊은	젊/VA+은/ETM
뮤지션까지	뮤지션/NNG+까지/JX
어우러지는	어우러지/VV+는/ETM
자리가	자리/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.191.5.1
‘한국 재즈의 신사’로 불리는 김준, 클라리넷으로 즉흥연주를 펼치는 이동기 등 1세대 뮤지션들이 특별 무대를 갖는다.

‘한국	‘/SS+한국/NNP
재즈의	재즈/NNG+의/JKG
신사’로	신사/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
김준,	김준/NNP+,/SP
클라리넷으로	클라리넷/NNG+으로/JKB
즉흥연주를	즉흥/NNG+연주/NNG+를/JKO
펼치는	펼치/VV+는/ETM
이동기	이동기/NNP
등	등/NNB
1세대	1/SN+세대/NNG
뮤지션들이	뮤지션/NNG+들/XSN+이/JKS
특별	특별/NNG
무대를	무대/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000048.191.5.2
