# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.156
metadata : {}


# id : NWRW1800000038.156.1.1
11일간 일한 前 장관 914만원… 21일 근무 새 장관은 619만원

11일간	11/SN+일/NNB+간/XSN
일한	일/NNG+하/XSV+ㄴ/ETM
前	前/SH
장관	장관/NNG
914만원…	914/SN+만/NR+원/NNB+…/SE
21일	21/SN+일/NNB
근무	근무/NNG
새	새/MMA
장관은	장관/NNG+은/JX
619만원	619/SN+만/NR+원/NNB


# id : NWRW1800000038.156.2.1
정부조직법 통과 늦어져 MB정부 장관들 3월 월급 횡재

정부조직법	정부/NNG+조직법/NNG
통과	통과/NNG
늦어져	늦어지/VV+어/EC
MB정부	MB/SL+정부/NNG
장관들	장관/NNG+들/XSN
3월	3/SN+월/NNB
월급	월급/NNG
횡재	횡재/NNG


# id : NWRW1800000038.156.3.1
정부조직법 개정안 처리와 이에 따른 장관 임명 지연으로 이명박 정부에서 임명된 장관 4명이 3월에 11일 일하고 한 달 월급을 타가는 일이 벌어졌다.

정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
처리와	처리/NNG+와/JC
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
장관	장관/NNG
임명	임명/NNG
지연으로	지연/NNG+으로/JKB
이명박	이명박/NNP
정부에서	정부/NNG+에서/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
4명이	4/SN+명/NNB+이/JKS
3월에	3/SN+월/NNB+에/JKB
11일	11/SN+일/NNB
일하고	일/NNG+하/XSV+고/EC
한	한/MMN
달	달/NNB
월급을	월급/NNG+을/JKO
타가는	타/VV+아/EC+가/VX+는/ETM
일이	일/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.156.4.1
10일 행안부에 따르면, 11일 퇴임하는 맹형규 장관은 1억977만원을 12개월로 쪼갠 914만원을 이달 월급으로 받는다.

10일	10/SN+일/NNB
행안부에	행안부/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
11일	11/SN+일/NNB
퇴임하는	퇴임/NNG+하/XSV+는/ETM
맹형규	맹형규/NNP
장관은	장관/NNG+은/JX
1억977만원을	1/SN+억/NR+977/SN+만/NR+원/NNB+을/JKO
12개월로	12/SN+개월/NNB+로/JKB
쪼갠	쪼개/VV+ㄴ/ETM
914만원을	914/SN+만/NR+원/NNB+을/JKO
이달	이달/NNG
월급으로	월급/NNG+으로/JKB
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.156.4.2
신임 장관 임명에 따라 맹형규 행안부 장관은 이번 달 11일 일했지만 월급 전액을 다 받는다.

신임	신임/NNG
장관	장관/NNG
임명에	임명/NNG+에/JKB
따라	따르/VV+아/EC
맹형규	맹형규/NNP
행안부	행안부/NNG
장관은	장관/NNG+은/JX
이번	이번/NNG
달	달/NNG
11일	11/SN+일/NNB
일했지만	일/NNG+하/XSV+았/EP+지만/EC
월급	월급/NNG
전액을	전액/NNG+을/JKO
다	다/MAG
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.156.4.3
반면 같은 날 새로 취임하는 유정복 장관은 31일 중 21일치만 계산된 월급 619만원을 받게 된다.

반면	반면/NNG
같은	같/VA+은/ETM
날	날/NNG
새로	새로/MAG
취임하는	취임/NNG+하/XSV+는/ETM
유정복	유정복/NNP
장관은	장관/NNG+은/JX
31일	31/SN+일/NNB
중	중/NNB
21일치만	21/SN+일/NNB+치/NNB+만/JX
계산된	계산/NNG+되/XSV+ㄴ/ETM
월급	월급/NNG
619만원을	619/SN+만/NR+원/NNB+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.156.4.4
하루 일당으로 치면 이번 달 맹 장관은 90만원, 유 장관은 30만원 정도를 받아 세 배 차이가 난다.

하루	하루/NNG
일당으로	일당/NNG+으로/JKB
치면	치/VV+면/EC
이번	이번/NNG
달	달/NNG
맹	맹/NNP
장관은	장관/NNG+은/JX
90만원,	90/SN+만/NR+원/NNB+,/SP
유	유/NNP
30만원	30/SN+만/NR+원/NNB
정도를	정도/NNG+를/JKO
받아	받/VV+아/EC
세	세/MMN
배	배/NNG
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.156.5.1
이는 공무원 보수 규정 때문이다.

이는	이/NP+는/JX
공무원	공무원/NNG
보수	보수/NNG
규정	규정/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.156.5.2
모든 공무원은 발령일을 기준으로 일한 날짜만큼 월급을 받지만 2년 이상 근속한 공무원의 경우 그만두는 달의 월급을 모두 받게 돼 있다.

모든	모든/MMN
공무원은	공무원/NNG+은/JX
발령일을	발령일/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
날짜만큼	날짜/NNG+만큼/JKB
월급을	월급/NNG+을/JKO
받지만	받/VV+지만/EC
2년	2/SN+년/NNB
이상	이상/NNG
근속한	근속/NNG+하/XSV+ㄴ/ETM
공무원의	공무원/NNG+의/JKG
경우	경우/NNG
그만두는	그만두/VV+는/ETM
달의	달/NNG+의/JKG
모두	모두/MAG
받게	받/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.156.5.3
행안부 관계자는 "장기 근속자 우대 차원에서 오래전에 이런 규정이 마련된 것으로 알고 있다"고 말했다.

행안부	행안부/NNG
관계자는	관계자/NNG+는/JX
