# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.443
metadata : {}


# id : NWRW1800000022.443.1.1
MB, 다시 '親서민';세종시·4대강·파업대처…'보수노선'서 중심 이동 서민 관련 정책 쏟아내 내년 국정 최우선 둘 듯

MB,	MB/SL+,/SP
다시	다시/MAG
'親서민';세종시·4대강·파업대처…'보수노선'서	'/SS+親/SH+서민/NNG+'/SS+;/SP+세종시/NNP+·/SP+4/SN+대/NNG+강/NNG+·/SP+파업/NNG+대처/NNG+…/SE+'/SS+보수/NNG+노선/NNG+'/SS+서/JKB
중심	중심/NNG
이동	이동/NNG
서민	서민/NNG
관련	관련/NNG
정책	정책/NNG
쏟아내	쏟/VV+아/EC+내/VX+어/EC
내년	내년/NNG
국정	국정/NNG
최우선	최/XPN+우선/NNG
둘	두/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000022.443.2.1
이명박 대통령이 다시 '친(親)서민'을 강조하고 나섰다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
다시	다시/MAG
'친(親)서민'을	'/SS+친/XPN+(/SS+親/SH+)/SS+서민/NNG+'/SS+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.2.2
최근 세종시 문제와 4대강 사업, 철도노조 파업 등을 정면 돌파하면서 기존 보수 지지층 쪽에 무게를 둔 강경 노선으로 선회했다는 지적이 나온 데 따른 것으로 보인다.

최근	최근/NNG
세종시	세종시/NNP
문제와	문제/NNG+와/JC
4대강	4/SN+대/NNG+강/NNG
사업,	사업/NNG+,/SP
철도노조	철도노조/NNP
파업	파업/NNG
등을	등/NNB+을/JKO
정면	정면/NNG
돌파하면서	돌파/NNG+하/XSV+면서/EC
기존	기존/NNG
보수	보수/NNG
지지층	지지/NNG+층/XSN
쪽에	쪽/NNB+에/JKB
무게를	무게/NNG+를/JKO
둔	두/VV+ㄴ/ETM
강경	강경/NNG
노선으로	노선/NNG+으로/JKB
선회했다는	선회/NNG+하/XSV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.443.3.1
청와대에서는 친서민 기조의 재등장을 놓고 내부적으로 '노선 투쟁' 비슷한 것도 있었던 것으로 알려졌다.

청와대에서는	청와대/NNP+에서/JKB+는/JX
친서민	친/XPN+서민/NNG
기조의	기조/NNG+의/JKG
재등장을	재/XPN+등장/NNG+을/JKO
놓고	놓/VV+고/EC
내부적으로	내부/NNG+적/XSN+으로/JKB
'노선	'/SS+노선/NNG
투쟁'	투쟁/NNG+'/SS
비슷한	비슷하/VA+ㄴ/ETM
것도	것/NNB+도/JX
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.4.1
이 대통령은 14일 서민·고용분야(보건복지·노동·여성부, 국가보훈처)의 내년도 정부 업무보고를 받았다.

이	이/NNP
대통령은	대통령/NNG+은/JX
14일	14/SN+일/NNB
서민·고용분야(보건복지·노동·여성부,	서민/NNG+·/SP+고용/NNG+분야/NNG+(/SS+보건/NNG+복지/NNG+·/SP+노동/NNG+·/SP+여성부/NNG+,/SP
국가보훈처)의	국가/NNG+보훈처/NNG+)/SS+의/JKG
내년도	내년도/NNG
정부	정부/NNG
업무보고를	업무/NNG+보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.4.2
연말까지의 7개 분야 보고 중 첫 순서로 서민정책 관련 부처를 택한 것이다.

연말까지의	연말/NNG+까지/JX+의/JKG
7개	7/SN+개/NNB
분야	분야/NNG
보고	보고/NNG
중	중/NNB
첫	첫/MMN
순서로	순서/NNG+로/JKB
서민정책	서민/NNG+정책/NNG
관련	관련/NNG
부처를	부처/NNG+를/JKO
택한	택하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.443.4.3
김은혜 청와대 대변인은 "이명박 정부가 서민 대책을 국정의 최우선으로 두고자 하는 의지를 보여준 것"이라고 했다.

김은혜	김은혜/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
"이명박	"/SS+이명박/NNP
정부가	정부/NNG+가/JKS
서민	서민/NNG
대책을	대책/NNG+을/JKO
국정의	국정/NNG+의/JKG
최우선으로	최/XPN+우선/NNG+으로/JKB
두고자	두/VV+고자/EC
하는	하/VX+는/ETM
의지를	의지/NNG+를/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.5.1
이 대통령은 이 자리에서 "외국에 대한 선진 원조국이 되면서도 우리 내부에 대한 배려가 없다면 균형이 맞다고 볼 수 없다"며 "자칫 경제가 좋아졌다고 서민을 소홀히 하게 되지 않을까 걱정하고 있다"고 했다.

이	이/MMD
대통령은	대통령/NNG+은/JX
자리에서	자리/NNG+에서/JKB
"외국에	"/SS+외국/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선진	선진/NNG
원조국이	원조국/NNG+이/JKC
되면서도	되/VV+면서/EC+도/JX
우리	우리/NP
내부에	내부/NNG+에/JKB
배려가	배려/NNG+가/JKS
없다면	없/VA+다면/EC
균형이	균형/NNG+이/JKS
맞다고	맞/VV+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"자칫	"/SS+자칫/MAG
경제가	경제/NNG+가/JKS
좋아졌다고	좋/VA+아/EC+지/VX+었/EP+다고/EC
서민을	서민/NNG+을/JKO
소홀히	소홀히/MAG
하게	하/VV+게/EC
되지	되/VV+지/EC
않을까	않/VX+을까/EF
걱정하고	걱정/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.5.2
그는 이날 아침 라디오·인터넷 연설에서도 "정부는 서민들이 스스로 일어설 수 있도록 하는 데 정책의 중심을 두고 있다"고 했다.

그는	그/NP+는/JX
이날	이날/NNG
아침	아침/NNG
라디오·인터넷	라디오/NNG+·/SP+인터넷/NNG
연설에서도	연설/NNG+에서/JKB+도/JX
"정부는	"/SS+정부/NNG+는/JX
서민들이	서민/NNG+들/XSN+이/JKS
스스로	스스로/MAG
일어설	일어서/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
데	데/NNB
정책의	정책/NNG+의/JKG
중심을	중심/NNG+을/JKO
두고	두/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.5.3
청와대는 매주 목요일 열리는 비상경제대책회의를 월 1회 '국가고용전략회의' 형태로 전환, 서민 일자리 대책을 집중 논의키로 했다.

청와대는	청와대/NNP+는/JX
매주	매주/MAG
목요일	목요일/NNG
열리는	열리/VV+는/ETM
비상경제대책회의를	비상/NNG+경제/NNG+대책/NNG+회의/NNG+를/JKO
월	월/NNG
1회	1/SN+회/NNB
'국가고용전략회의'	'/SS+국가/NNG+고용/NNG+전략/NNG+회의/NNG+'/SS
형태로	형태/NNG+로/JKB
전환,	전환/NNG+,/SP
서민	서민/NNG
일자리	일자리/NNG
대책을	대책/NNG+을/JKO
집중	집중/NNG
논의키로	논의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.6.1
이 대통령의 '친서민' 기조는 노무현 전 대통령 서거 직후인 지난 6월 말 시작됐다.

이	이/NNP
대통령의	대통령/NNG+의/JKG
'친서민'	'/SS+친/XPN+서민/NNG+'/SS
기조는	기조/NNG+는/JX
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
말	말/NNB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.6.2
이 대통령은 지난 여름 연일 재래시장과 장애인 시설 등을 누비며 친서민 정책을 쏟아냈다.

이	이/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
여름	여름/NNG
연일	연일/MAG
재래시장과	재래시장/NNG+과/JC
장애인	장애인/NNG
시설	시설/NNG
등을	등/NNB+을/JKO
누비며	누비/VV+며/EC
친서민	친/XPN+서민/NNG
정책을	정책/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.443.6.3
그가 14일 라디오·인터넷 연설에서 "정부의 철학이 담겨있다"고 말한 3대 친서민 정책(미소금융, 취업후 상환 학자금 대출, 보금자리 주택)이 대부분 이때 구체화했다.

그가	그/NP+가/JKS
14일	14/SN+일/NNB
라디오·인터넷	라디오/NNG+·/SP+인터넷/NNG
연설에서	연설/NNG+에서/JKB
"정부의	"/SS+정부/NNG+의/JKG
철학이	철학/NNG+이/JKS
담겨있다"고	담기/VV+어/EC+있/VX+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
3대	3/SN+대/NNG
친서민	친/XPN+서민/NNG
정책(미소금융,	정책/NNG+(/SS+미소/NNG+금융/NNG+,/SP
취업후	취업/NNG+후/NNG
상환	상환/NNG
학자금	학자금/NNG
대출,	대출/NNG+,/SP
보금자리	보금자리/NNG
주택)이	주택/NNG+)/SS+이/JKS
대부분	대/XPN+부분/NNG
이때	이때/NNG
구체화했다.	구체/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.7.1
그러나 10월 이후 세종시 문제가 공론화하면서 서민을 향한 그의 발걸음은 잠시 소강상태에 들어갔다.

그러나	그러나/MAJ
10월	10/SN+월/NNB
이후	이후/NNG
세종시	세종시/NNP
문제가	문제/NNG+가/JKS
공론화하면서	공론/NNG+화/XSN+하/XSV+면서/EC
서민을	서민/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
그의	그/NP+의/JKG
발걸음은	발걸음/NNG+은/JX
잠시	잠시/MAG
소강상태에	소강상태/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.7.2
세종시 수정의 당위성을 설득하기 위해 각계 각층의 인사를 만나야 했고, 특별생방송 '대통령과의 대화'에도 출연했다.

세종시	세종시/NNP
수정의	수정/NNG+의/JKG
당위성을	당위/NNG+성/XSN+을/JKO
설득하기	설득/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
각계	각계/NNG
각층의	각층/NNG+의/JKG
인사를	인사/NNG+를/JKO
만나야	만나/VV+아야/EC
했고,	하/VX+았/EP+고/EC+,/SP
특별생방송	특별/NNG+생/XPN+방송/NNG
'대통령과의	'/SS+대통령/NNG+과/JKB+의/JKG
대화'에도	대화/NNG+'/SS+에/JKB+도/JX
출연했다.	출연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.7.3
4대강 사업을 위해 호남을 2번이나 찾았고, 철도노조 파업 사태를 해결했다.

4대강	4/SN+대/NNG+강/NNG
사업을	사업/NNG+을/JKO
위해	위하/VV+아/EC
호남을	호남/NNP+을/JKO
2번이나	2/SN+번/NNB+이나/JX
찾았고,	찾/VV+았/EP+고/EC+,/SP
철도노조	철도노조/NNP
파업	파업/NNG
사태를	사태/NNG+를/JKO
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.7.4
APEC(아시아·태평양 경제협력체)회의, 버락 오바마 미국 대통령 방한 등 굵직한 외교 행사도 많았다.

APEC(아시아·태평양	APEC/SL+(/SS+아시아/NNP+·/SP+태평양/NNP
경제협력체)회의,	경제/NNG+협력체/NNG+)/SS+회의/NNG+,/SP
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령	대통령/NNG
방한	방한/NNG
등	등/NNB
굵직한	굵직하/VA+ㄴ/ETM
외교	외교/NNG
행사도	행사/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.443.7.5
각종 현안을 정면돌파하고 국격(國格) 향상을 외치는 그의 모습에 보수층 결집이 이뤄지는 시기였다.

각종	각종/NNG
현안을	현안/NNG+을/JKO
정면돌파하고	정면/NNG+돌파/NNG+하/XSV+고/EC
국격(國格)	국격/NNG+(/SS+國格/SH+)/SS
향상을	향상/NNG+을/JKO
외치는	외치/VV+는/ETM
그의	그/NP+의/JKG
모습에	모습/NNG+에/JKB
보수층	보수/NNG+층/XSN
결집이	결집/NNG+이/JKS
이뤄지는	이뤄지/VV+는/ETM
시기였다.	시기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.443.7.6
덕분에 지지율도 반등했다.

덕분에	덕분/NNG+에/JKB
지지율도	지지/NNG+율/XSN+도/JX
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.8.1
이즈음 청와대 내에서는 내년도 정부의 국정 운영과 대통령 PI(대통령 이미지·Presidential identity) 기조를 정하는 참모회의가 열렸다.

이즈음	이즈음/NNG
청와대	청와대/NNP
내에서는	내/NNB+에서/JKB+는/JX
