# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.239
metadata : {}


# id : NWRW1800000054.239.1.1
입장 바꾼 최경환 "내달 5일 검찰 출석"

입장	입장/NNG
바꾼	바꾸/VV+ㄴ/ETM
최경환	최경환/NNP
"내달	"/SS+내달/NNG
5일	5/SN+일/NNB
검찰	검찰/NNG
출석"	출석/NNG+"/SS


# id : NWRW1800000054.239.2.1
MB때 靑기획관 김태효 압수수색… 이우현에 '공천 대가' 시의원 영장

MB때	MB/SL+때/NNG
靑기획관	靑/SH+기획관/NNG
김태효	김태효/NNP
압수수색…	압수/NNG+수색/NNG+…/SE
이우현에	이우현/NNP+에/JKB
'공천	'/SS+공천/NNG
대가'	대가/NNG+'/SS
시의원	시/NNG+의원/NNG
영장	영장/NNG


# id : NWRW1800000054.239.3.1
국정원에서 특수활동비 1억원을 뇌물로 받았다는 혐의를 받고 있는 자유한국당 최경환 의원이 검찰에 출석하겠다는 입장을 28일 밝혔다.

국정원에서	국정원/NNG+에서/JKB
특수활동비	특수/NNG+활동비/NNG
1억원을	1/SN+억/NR+원/NNB+을/JKO
뇌물로	뇌물/NNG+로/JKB
받았다는	받/VV+았/EP+다는/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
자유한국당	자유한국당/NNP
최경환	최경환/NNP
의원이	의원/NNG+이/JKS
검찰에	검찰/NNG+에/JKB
출석하겠다는	출석/NNG+하/XSV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.239.3.2
전날까지는 나오지 않겠다고 했으나 이날 검찰이 다시 출석을 요구하자 입장을 바꿨다고 한다.

전날까지는	전날/NNG+까지/JX+는/JX
나오지	나오/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
했으나	하/VV+았/EP+으나/EC
이날	이날/NNG
검찰이	검찰/NNG+이/JKS
다시	다시/MAG
출석을	출석/NNG+을/JKO
요구하자	요구/NNG+하/XSV+자/EC
입장을	입장/NNG+을/JKO
바꿨다고	바꾸/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.239.3.3
최 의원은 다음 달 5일 검찰에 나오기로 했다.

최	최/NNP
의원은	의원/NNG+은/JX
다음	다음/NNG
달	달/NNG
5일	5/SN+일/NNB
검찰에	검찰/NNG+에/JKB
나오기로	나오/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.239.3.4
최 의원은 경제부총리 겸 기획재정부 장관이던 2014년 10월 이병기 전 국정원장 지시를 받은 이헌수 전 국정원 기획조정실장으로부터 특수활동비 1억원을 건네받은 혐의를 받고 있다.

최	최/NNP
의원은	의원/NNG+은/JX
경제부총리	경제/NNG+부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관이던	장관/NNG+이/VCP+던/ETM
2014년	2014/SN+년/NNB
10월	10/SN+월/NNB
이병기	이병기/NNP
전	전/MMD
국정원장	국정원장/NNG
지시를	지시/NNG+를/JKO
받은	받/VV+은/ETM
이헌수	이헌수/NNP
국정원	국정원/NNG
기획조정실장으로부터	기획/NNG+조정실장/NNG+으로부터/JKB
특수활동비	특수/NNG+활동비/NNG
