# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.357
metadata : {}


# id : NWRW1800000053.357.1.1
“국정원, 2011년 10·26재보궐 선거 직후 野후보-지지자 엄정 처벌 보고서 작성”

“국정원,	“/SS+국정원/NNG+,/SP
2011년	2011/SN+년/NNB
10·26재보궐	10/SN+·/SP+26/SN+재/XPN+보궐/NNG
선거	선거/NNG
직후	직후/NNG
野후보-지지자	野/SH+후보/NNG+-/SO+지지자/NNG
엄정	엄정/NNG
처벌	처벌/NNG
보고서	보고서/NNG
작성”	작성/NNG+”/SS


# id : NWRW1800000053.357.2.1
적폐청산TF “원세훈 지시… 靑보고” 심리전단에 민간인으로 구성된 ‘사이버 외곽팀’ 총 30개 운영

적폐청산TF	적폐/NNG+청산/NNG+TF/SL
“원세훈	“/SS+원세훈/NNP
지시…	지시/NNG+…/SE
靑보고”	靑/SH+보고/NNG+”/SS
심리전단에	심리전단/NNG+에/JKB
민간인으로	민간인/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘사이버	‘/SS+사이버/NNG
외곽팀’	외곽/NNG+팀/NNG+’/SS
총	총/MMA
30개	30/SN+개/NNB
운영	운영/NNG


# id : NWRW1800000053.357.3.1
국가정보원이 2011년 10·26 재·보궐선거 직후 야당 후보자 및 지지자를 대상으로 엄정한 수사와 처벌을 해야 한다는 보고서를 작성해 청와대에 보고한 것으로 드러났다.

국가정보원이	국가/NNG+정보원/NNG+이/JKS
2011년	2011/SN+년/NNB
10·26	10/SN+·/SP+26/SN
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
직후	직후/NNG
야당	야당/NNG
후보자	후보자/NNG
및	및/MAG
지지자를	지지자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
엄정한	엄정/NNG+하/XSA+ㄴ/ETM
수사와	수사/NNG+와/JC
처벌을	처벌/NNG+을/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
보고서를	보고서/NNG+를/JKO
작성해	작성/NNG+하/XSV+아/EC
청와대에	청와대/NNP+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.4.1
국정원 적폐청산 태스크포스(TF)는 3일 원세훈 전 원장의 선거 개입 의혹과 관련한 문서와 내용을 공개했다.

국정원	국정원/NNG
적폐청산	적폐/NNG+청산/NNG
태스크포스(TF)는	태스크포스/NNG+(/SS+TF/SL+)/SS+는/JX
3일	3/SN+일/NNB
원세훈	원세훈/NNP
전	전/MMD
원장의	원장/NNG+의/JKG
선거	선거/NNG
개입	개입/NNG
의혹과	의혹/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문서와	문서/NNG+와/JC
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.4.2
이에 따르면 2011년 11월 3일 원 전 원장은 회의에서 “선거사범을 최단 시간 내 처리하라”고 지시했고 이후 검찰, 경찰, 중앙선거관리위원회를 담당하는 국내정보 담당관(IO)들이 첩보를 종합해 이튿날 ‘10·26 재·보선 선거사범 엄정처벌로 선거 질서 확립’이란 3쪽짜리 보고서를 작성했다.

이에	이/NP+에/JKB
따르면	따르/VV+면/EC
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
3일	3/SN+일/NNB
원	원/NNP
전	전/MMD
원장은	원장/NNG+은/JX
회의에서	회의/NNG+에서/JKB
“선거사범을	“/SS+선거/NNG+사범/NNG+을/JKO
최단	최단/NNG
시간	시간/NNG
내	내/NNB
처리하라”고	처리/NNG+하/XSV+라/EF+”/SS+고/JKQ
지시했고	지시/NNG+하/XSV+았/EP+고/EC
이후	이후/NNG
검찰,	검찰/NNG+,/SP
경찰,	경찰/NNG+,/SP
중앙선거관리위원회를	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
국내정보	국내/NNG+정보/NNG
담당관(IO)들이	담당관/NNG+(/SS+IO/SL+)/SS+들/XSN+이/JKS
첩보를	첩보/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
이튿날	이튿날/NNG
‘10·26	‘/SS+10/SN+·/SP+26/SN
재·보선	재·보선/NNG
선거사범	선거/NNG+사범/NNG
엄정처벌로	엄정/NNG+처벌/NNG+로/JKB
선거	선거/NNG
질서	질서/NNG
확립’이란	확립/NNG+’/SS+이란/JX
3쪽짜리	3/SN+쪽/NNG+짜리/XSN
보고서를	보고서/NNG+를/JKO
작성했다.	작성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.4.3
해당 보고서는 결재라인을 거쳐 그해 11월 7일 청와대에 보고됐다.

해당	해당/NNG
보고서는	보고서/NNG+는/JX
결재라인을	결재/NNG+라인/NNG+을/JKO
거쳐	거치/VV+어/EC
그해	그해/NNG
11월	11/SN+월/NNB
7일	7/SN+일/NNB
청와대에	청와대/NNP+에/JKB
보고됐다.	보고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.5.1
적폐청산 TF는 “해당 보고서에는 야당 후보자 및 지지자를 대상으로만 검경 지휘부에 신속하고 엄정한 수사와 처벌을 독려했다는 내용이 포함돼 있다”고 설명했다.

적폐청산	적폐/NNG+청산/NNG
TF는	TF/SL+는/JX
“해당	“/SS+해당/NNG
보고서에는	보고서/NNG+에/JKB+는/JX
야당	야당/NNG
후보자	후보자/NNG
및	및/MAG
지지자를	지지자/NNG+를/JKO
대상으로만	대상/NNG+으로/JKB+만/JX
검경	검경/NNG
지휘부에	지휘부/NNG+에/JKB
신속하고	신속/NNG+하/XSA+고/EC
엄정한	엄정/NNG+하/XSA+ㄴ/ETM
수사와	수사/NNG+와/JC
처벌을	처벌/NNG+을/JKO
독려했다는	독려/NNG+하/XSV+았/EP+다는/ETM
내용이	내용/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.6.1
적폐청산 TF는 이와 함께 일부 언론이 제기한 ‘SNS의 선거 영향력 진단 및 고려사항’(2011년 10월 작성) 등 총 8건의 국정원 정치 개입 의혹 문건이 모두 국정원이 작성한 것이라고 확인했다.

적폐청산	적폐/NNG+청산/NNG
TF는	TF/SL+는/JX
이와	이/NP+와/JKB
함께	함께/MAG
일부	일부/NNG
언론이	언론/NNG+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
‘SNS의	‘/SS+SNS/SL+의/JKG
선거	선거/NNG
영향력	영향력/NNG
진단	진단/NNG
및	및/MAG
고려사항’(2011년	고려/NNG+사항/NNG+’/SS+(/SS+2011/SN+년/NNB
10월	10/SN+월/NNB
작성)	작성/NNG+)/SS
등	등/NNB
총	총/MMA
8건의	8/SN+건/NNB+의/JKG
국정원	국정원/NNG
정치	정치/NNG
개입	개입/NNG
의혹	의혹/NNG
문건이	문건/NNG+이/JKS
모두	모두/MAG
국정원이	국정원/NNG+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.7.1
