# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.9
metadata : {}


# id : NWRW1800000052.9.1.1
문닫는 은행지점 터에 ‘뉴스테이’ 공급

문닫는	문/NNG+닫/VV+는/ETM
은행지점	은행/NNG+지점/NNG
터에	터/NNG+에/JKB
‘뉴스테이’	‘/SS+뉴스테이/NNG+’/SS
공급	공급/NNG


# id : NWRW1800000052.9.2.1
KEB하나, 2017년까지 5700가구

KEB하나,	KEB하나/NNP+,/SP
2017년까지	2017/SN+년/NNB+까지/JX
5700가구	5700/SN+가구/NNG


# id : NWRW1800000052.9.3.1
60곳 이상 주택부지 활용키로

60곳	60/SN+곳/NNG
이상	이상/NNG
주택부지	주택/NNG+부지/NNG
활용키로	활용/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000052.9.4.1
국토교통부와 케이이비(KEB)하나은행이 문 닫는 은행 지점 19곳에 2017년까지 기업 임대주택(뉴스테이) 5724채를 짓기로 했다.

국토교통부와	국토/NNG+교통부/NNG+와/JC
케이이비(KEB)하나은행이	케이이비/NNP+(/SS+KEB/SL+)/SS+하나은행/NNP+이/JKS
문	문/NNG
닫는	닫/VV+는/ETM
은행	은행/NNG
지점	지점/NNG
19곳에	19/SN+곳/NNG+에/JKB
2017년까지	2017/SN+년/NNB+까지/JX
기업	기업/NNG
임대주택(뉴스테이)	임대/NNG+주택/NNG+(/SS+뉴스테이/NNG+)/SS
5724채를	5724/SN+채/NNB+를/JKO
짓기로	짓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.9.4.2
통상 은행 지점은 도심이나 교통 요지에 있어 주거지로서는 좋은 입지를 갖고 있다.

통상	통상/MAG
은행	은행/NNG
지점은	지점/NNG+은/JX
도심이나	도심/NNG+이나/JC
교통	교통/NNG
요지에	요지/NNG+에/JKB
있어	있/VA+어/EC
주거지로서는	주거지/NNG+로서/JKB+는/JX
좋은	좋/VA+은/ETM
입지를	입지/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.9.5.1
국토부와 하나금융지주는 지난 11일 서울 동대문구 신설동 케이이비하나은행 지점에서 ‘뉴스테이 추진을 위한 업무 협약’을 맺고, 앞으로 60곳 이상의 케이이비하나은행 지점을 기업 임대주택 부지로 활용하기로 했다고 13일 밝혔다.

국토부와	국토부/NNG+와/JC
하나금융지주는	하나금융지주/NNP+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
서울	서울/NNP
동대문구	동대문구/NNP
신설동	신설동/NNP
케이이비하나은행	케이이비하나은행/NNP
지점에서	지점/NNG+에서/JKB
‘뉴스테이	‘/SS+뉴스테이/NNG
추진을	추진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무	업무/NNG
협약’을	협약/NNG+’/SS+을/JKO
맺고,	맺/VV+고/EC+,/SP
앞으로	앞/NNG+으로/JKB
60곳	60/SN+곳/NNG
이상의	이상/NNG+의/JKG
지점을	지점/NNG+을/JKO
기업	기업/NNG
임대주택	임대/NNG+주택/NNG
부지로	부지/NNG+로/JKB
활용하기로	활용/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.9.5.2
케이이비하나은행은 지점 터를 기업 임대주택 사업을 추진하는 부동산투자회사에 매각하는 대신, 출자와 융자를 하기로 했다.

케이이비하나은행은	케이이비하나은행/NNP+은/JX
지점	지점/NNG
터를	터/NNG+를/JKO
기업	기업/NNG
임대주택	임대/NNG+주택/NNG
사업을	사업/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
부동산투자회사에	부동산/NNG+투자/NNG+회사/NNG+에/JKB
매각하는	매각/NNG+하/XSV+는/ETM
대신,	대신/NNG+,/SP
출자와	출자/NNG+와/JC
융자를	융자/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.9.5.3
국토부는 주택도시기금의 출자와 주택도시보증공사의 보증을 지원하기로 했다.

국토부는	국토부/NNG+는/JX
주택도시기금의	주택/NNG+도시/NNG+기금/NNG+의/JKG
출자와	출자/NNG+와/JC
주택도시보증공사의	주택도시보증공사/NNP+의/JKG
보증을	보증/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.9.6.1
이번 협약에 따라 올해는 서울 신설동과 청파동 등 모두 8개 지점 터에 기업 임대주택 3208채를 착공하고, 2017년엔 서울 관수동과 화양동 등 11개 지점 터에 2516채를 착공한다.

이번	이번/NNG
협약에	협약/NNG+에/JKB
따라	따르/VV+아/EC
올해는	올해/NNG+는/JX
서울	서울/NNP
신설동과	신설동/NNP+과/JC
청파동	청파동/NNP
등	등/NNB
모두	모두/MAG
8개	8/SN+개/NNB
지점	지점/NNG
터에	터/NNG+에/JKB
기업	기업/NNG
임대주택	임대/NNG+주택/NNG
3208채를	3208/SN+채/NNB+를/JKO
착공하고,	착공/NNG+하/XSV+고/EC+,/SP
2017년엔	2017/SN+년/NNB+에/JKB+ㄴ/JX
