# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.172
metadata : {}


# id : NWRW1800000053.172.1.1
출입문쪽 불길에 아이들 갇혔는데… 아무도 도와주지 않았다

출입문쪽	출입문/NNG+쪽/NNB
불길에	불길/NNG+에/JKB
아이들	아이/NNG+들/XSN
갇혔는데…	갇히/VV+었/EP+는데/EC+…/SE
아무도	아무/NP+도/JX
도와주지	도와주/VV+지/EC
않았다	않/VX+았/EP+다/EF


# id : NWRW1800000053.172.2.1
中서 유치원버스 터널안 화재로 한국인 원생 10명 포함 12명 숨져

中서	中/SH+서/JKB
유치원버스	유치원/NNG+버스/NNG
터널안	터널/NNG+안/NNG
화재로	화재/NNG+로/JKB
한국인	한국인/NNG
원생	원생/NNG
10명	10/SN+명/NNB
포함	포함/NNG
12명	12/SN+명/NNB
숨져	숨지/VV+어/EF


# id : NWRW1800000053.172.3.1
9일 오후 10시 반경(현지 시간) 중국 산둥(山東) 성 웨이하이(威海) 환추이(環翠) 구 타오자쾅(陶家. ) 터널 인근 도로.

9일	9/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
반경(현지	반/NNG+경/XSN+(/SS+현지/NNG
시간)	시간/NNG+)/SS
중국	중국/NNP
산둥(山東)	산둥/NNP+(/SS+山東/SH+)/SS
성	성/NNG
웨이하이(威海)	웨이하이/NNP+(/SS+威海/SH+)/SS
환추이(環翠)	환추이/NNP+(/SS+環翠/SH+)/SS
구	구/NNG
타오자쾅(陶家.	타오자쾅/NNP+(/SS+陶家/SH+./SF
)	)/SS
터널	터널/NNG
인근	인근/NNG
도로.	도로/NNG+./SF


# id : NWRW1800000053.172.3.2
한국국제학교 부설 유치원 통학버스 화재 사고가 발생한 지 12시간이 넘게 지났지만 사고 원인 조사를 위한 현장 감식 등 때문에 현장 접근은 엄격히 통제되고 있었다.

한국국제학교	한국국제학교/NNP
부설	부설/NNG
유치원	유치원/NNG
통학버스	통학/NNG+버스/NNG
화재	화재/NNG
사고가	사고/NNG+가/JKS
