# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.142
metadata : {}


# id : NWRW1800000045.142.1.1
“죄책감-책임감이 뭐야” 답없는 사늘한 미소

“죄책감-책임감이	“/SS+죄책감/NNG+-/SO+책임감/NNG+이/JKS
뭐야”	뭐/NP+이/VCP+야/EF+”/SS
답없는	답/NNG+없/VA+는/ETM
사늘한	사늘하/VA+ㄴ/ETM
미소	미소/NNG


# id : NWRW1800000045.142.2.1
드라마-영화 속 사이코패스 활개

드라마-영화	드라마/NNG+-/SO+영화/NNG
속	속/NNG
사이코패스	사이코패스/NNG
활개	활개/NNG


# id : NWRW1800000045.142.3.1
‘요즘 사이코패스 없는 영화나 드라마는 없다?’

‘요즘	‘/SS+요즘/NNG
사이코패스	사이코패스/NNG
없는	없/VA+는/ETM
영화나	영화/NNG+나/JC
드라마는	드라마/NNG+는/JX
없다?’	없/VA+다/EF+?/SF+’/SS


# id : NWRW1800000045.142.4.1
많은 사람이 오가는 서울 명동 한복판을 브레이크 한번 밟지 않고 고속 질주하는 재벌3세 조태오(영화 ‘베테랑’)나 그룹을 독차지하기 위해 아버지의 유언을 저버리고 동생 한여진을 죽이려 하는 한도준(SBS 드라마 ‘용팔이’).

많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
오가는	오가/VV+는/ETM
서울	서울/NNP
명동	명동/NNP
한복판을	한/XPN+복판/NNG+을/JKO
브레이크	브레이크/NNG
한번	한/MMN+번/NNB
밟지	밟/VV+지/EC
않고	않/VX+고/EC
고속	고속/NNG
질주하는	질주/NNG+하/XSV+는/ETM
재벌3세	재벌/NNG+3/SN+세/NNB
조태오(영화	조태오/NNP+(/SS+영화/NNG
‘베테랑’)나	‘/SS+베테랑/NNP+’/SS+)/SS+나/JC
그룹을	그룹/NNG+을/JKO
독차지하기	독차지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
아버지의	아버지/NNG+의/JKG
유언을	유언/NNG+을/JKO
저버리고	저버리/VV+고/EC
동생	동생/NNG
한여진을	한여진/NNP+을/JKO
죽이려	죽이/VV+려/EC
하는	하/VX+는/ETM
한도준(SBS	한도준/NNP+(/SS+SBS/SL
드라마	드라마/NNG
‘용팔이’).	‘/SS+용팔이/NNP+’/SS+)/SS+./SF


# id : NWRW1800000045.142.5.1
영화나 드라마 속 악역인 이들의 공통점은 ‘사이코패스’다.

영화나	영화/NNG+나/JC
드라마	드라마/NNG
속	속/NNG
악역인	악역/NNG+이/VCP+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
공통점은	공통점/NNG+은/JX
‘사이코패스’다.	‘/SS+사이코패스/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.142.5.2
반사회적 인격 장애자를 지칭하는 사이코패스는 실제로는 전체 인구의 1% 미만인 데다 사이코패스적 행동을 외부로 잘 드러내지 않기 때문에 일상에서 찾아보기는 쉽지 않다.

반사회적	반/XPN+사회/NNG+적/XSN
인격	인격/NNG
장애자를	장애자/NNG+를/JKO
지칭하는	지칭/NNG+하/XSV+는/ETM
사이코패스는	사이코패스/NNG+는/JX
실제로는	실제로/MAG+는/JX
전체	전체/NNG
인구의	인구/NNG+의/JKG
1%	1/SN+%/SW
미만인	미만/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
사이코패스적	사이코패스/NNG+적/XSN
행동을	행동/NNG+을/JKO
외부로	외부/NNG+로/JKB
잘	잘/MAG
드러내지	드러내/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
일상에서	일상/NNG+에서/JKB
찾아보기는	찾아보/VV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.142.5.3
하지만 요즘 드라마와 영화 속에는 사이코패스 캐릭터가 단골로 등장한다.

하지만	하지만/MAJ
요즘	요즘/NNG
드라마와	드라마/NNG+와/JC
영화	영화/NNG
속에는	속/NNG+에/JKB+는/JX
사이코패스	사이코패스/NNG
캐릭터가	캐릭터/NNG+가/JKS
단골로	단골/NNG+로/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.142.6.1
연세대 의과대학 정신과학교실 남궁기 교수(55)는 사이코패스를 “꼭 강력범죄뿐만 아니라 사소한 범죄일지라도 자신의 이익을 위한 범법행위에 죄책감을 전혀 느끼지 않은 채 책임감 없이 저지르는 사람을 뜻한다”며 “두 감정이 결여된 사람을 사이코패스라 할 수 있다”라고 말했다.

연세대	연세대/NNP
의과대학	의과/NNG+대학/NNG
정신과학교실	정신과학/NNG+교실/NNG
남궁기	남궁기/NNP
교수(55)는	교수/NNG+(/SS+55/SN+)/SS+는/JX
사이코패스를	사이코패스/NNG+를/JKO
“꼭	“/SS+꼭/MAG
강력범죄뿐만	강력/NNG+범죄/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
사소한	사소하/VA+ㄴ/ETM
범죄일지라도	범죄/NNG+이/VCP+ㄹ지라도/EC
자신의	자신/NNG+의/JKG
이익을	이익/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
범법행위에	범법/NNG+행위/NNG+에/JKB
