# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.99
metadata : {}


# id : NWRW1800000038.99.1.1
[발자취] '50년 최장수 교육자' 진기록으로 유명했던 이상술씨

[발자취]	[/SS+발자취/NNG+]/SS
'50년	'/SS+50/SN+년/NNB
최장수	최/XPN+장수/NNG
교육자'	교육자/NNG+'/SS
진기록으로	진기록/NNG+으로/JKB
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
이상술씨	이상술/NNP+씨/NNB


# id : NWRW1800000038.99.2.1
16세에 교사, 23세에 교감, 66세에 은퇴

16세에	16/SN+세/NNB+에/JKB
교사,	교사/NNG+,/SP
23세에	23/SN+세/NNB+에/JKB
교감,	교감/NNG+,/SP
66세에	66/SN+세/NNB+에/JKB
은퇴	은퇴/NNG


# id : NWRW1800000038.99.3.1
'16세 최연소 교사' '23세 최연소 교감' '28세 최연소 장학사' '50년 최장수 교직' 등 한국 초등교육계의 진기록을 보유한 사실로 유명했던 이상술(86)씨가 지난달 17일 별세했다는 제보가 최근 본사로 들어왔다.

'16세	'/SS+16/SN+세/NNB
최연소	최/XPN+연소/NNG
교사'	교사/NNG+'/SS
'23세	'/SS+23/SN+세/NNB
교감'	교감/NNG+'/SS
'28세	'/SS+28/SN+세/NNB
장학사'	장학사/NNG+'/SS
'50년	'/SS+50/SN+년/NNB
최장수	최/XPN+장수/NNG
교직'	교직/NNG+'/SS
등	등/NNB
한국	한국/NNP
초등교육계의	초등/NNG+교육/NNG+계/XSN+의/JKG
진기록을	진기록/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
사실로	사실/NNG+로/JKB
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
이상술(86)씨가	이상술/NNP+(/SS+86/SN+)/SS+씨/NNB+가/JKS
지난달	지난달/NNG
17일	17/SN+일/NNB
별세했다는	별세/NNG+하/XSV+았/EP+다는/ETM
제보가	제보/NNG+가/JKS
최근	최근/MAG
본사로	본사/NNG+로/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.3.2
그가 거쳐 간 초등학교는 대구·경북 일대 15곳.

그가	그/NP+가/JKS
거쳐	거치/VV+어/EC
간	가/VX+ㄴ/ETM
초등학교는	초등학교/NNG+는/JX
대구·경북	대구/NNP+·/SP+경북/NNP
일대	일대/NNG
15곳.	15/SN+곳/NNG+./SF


# id : NWRW1800000038.99.3.3
한국 교육의 '산증인' 격이었던 그의 별세에 교육계가 안타까워하고 있다.

한국	한국/NNP
교육의	교육/NNG+의/JKG
'산증인'	'/SS+산증인/NNG+'/SS
격이었던	격/NNB+이/VCP+었/EP+던/ETM
그의	그/NP+의/JKG
별세에	별세/NNG+에/JKB
교육계가	교육/NNG+계/XSN+가/JKS
안타까워하고	안타까워하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.99.4.1
1927년 안동에서 태어난 고인은 16세 때인 1943년 대구사범학교를 졸업하고 안동 와룡초등학교에 '최연소 교사'로 부임했다.

1927년	1927/SN+년/NNB
안동에서	안동/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
고인은	고인/NNG+은/JX
16세	16/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1943년	1943/SN+년/NNB
대구사범학교를	대구사범학교/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
안동	안동/NNP
와룡초등학교에	와룡초등학교/NNP+에/JKB
'최연소	'/SS+최/XPN+연소/NNG
교사'로	교사/NNG+'/SS+로/JKB
부임했다.	부임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.4.2
1950년에는 23세 '최연소 교감'으로 승진했다.

1950년에는	1950/SN+년/NNB+에/JKB+는/JX
23세	23/SN+세/NNB
'최연소	'/SS+최/XPN+연소/NNG
교감'으로	교감/NNG+'/SS+으로/JKB
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.4.3
6·25전쟁이 끝난 뒤 1955년에는 장학사로 발령받았다.

6·25전쟁이	6/SN+·/SP+25/SN+전쟁/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
1955년에는	1955/SN+년/NNB+에/JKB+는/JX
장학사로	장학사/NNG+로/JKB
발령받았다.	발령/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.4.4
28세로 역시 '최연소 장학사'였다.

28세로	28/SN+세/NNB+로/JKB
역시	역시/MAG
'최연소	'/SS+최/XPN+연소/NNG
장학사'였다.	장학사/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.99.5.1
고인은 일제강점기, 광복, 6·25, 4·19, 5·16 등 격변의 현대사를 교직에서 겪었다.

고인은	고인/NNG+은/JX
일제강점기,	일제/NNG+강점기/NNG+,/SP
광복,	광복/NNG+,/SP
6·25,	6/SN+·/SP+25/SN+,/SP
4·19,	4/SN+·/SP+19/SN+,/SP
5·16	5/SN+·/SP+16/SN
등	등/NNB
격변의	격변/NNG+의/JKG
현대사를	현대사/NNG+를/JKO
교직에서	교직/NNG+에서/JKB
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.99.5.2
일제강점기에 잡은 교편을 내려놓은 때가 문민정부 출범을 앞둔 1993년 2월이었다.

일제강점기에	일제/NNG+강점기/NNG+에/JKB
잡은	잡/VV+은/ETM
교편을	교편/NNG+을/JKO
내려놓은	내려놓/VV+은/ETM
때가	때/NNG+가/JKS
문민정부	문민정부/NNG
출범을	출범/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
1993년	1993/SN+년/NNB
2월이었다.	2/SN+월/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.99.5.3
그는 정년을 앞두고 가진 본지(1993년 2월 16일자)와의 인터뷰에서 "6·25전쟁 발발 직후 경북 청도군 매전면에 피란민 어린이 1000여명이 방치돼 있는 것을 보고 교사 30여명을 모아 인근 학교 운동장에 천막을 치고 한 달여 동안 아이들을 가르친 것이 교사로서 가장 보람 있는 순간이었다"고 회고했다.

그는	그/NP+는/JX
정년을	정년/NNG+을/JKO
앞두고	앞두/VV+고/EC
가진	가지/VV+ㄴ/ETM
본지(1993년	본지/NNG+(/SS+1993/SN+년/NNB
2월	2/SN+월/NNB
16일자)와의	16/SN+일/NNB+자/NNG+)/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
"6·25전쟁	"/SS+6/SN+·/SP+25/SN+전쟁/NNG
발발	발발/NNG
직후	직후/NNG
경북	경북/NNP
청도군	청도군/NNP
매전면에	매전면/NNP+에/JKB
피란민	피란민/NNG
어린이	어린이/NNG
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
방치돼	방치/NNG+되/XSV+어/EC
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
교사	교사/NNG
30여명을	30/SN+여/XSN+명/NNB+을/JKO
모아	모으/VV+아/EC
인근	인근/NNG
학교	학교/NNG
운동장에	운동장/NNG+에/JKB
천막을	천막/NNG+을/JKO
치고	치/VV+고/EC
한	한/MMN
달여	달/NNB+여/XSN
동안	동안/NNG
아이들을	아이/NNG+들/XSN+을/JKO
가르친	가르치/VV+ㄴ/ETM
것이	것/NNB+이/JKS
교사로서	교사/NNG+로서/JKB
가장	가장/MAG
보람	보람/NNG
순간이었다"고	순간/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.6.1
30대 나이에 장학사를 마친 고인은 1961년 다시 학교 일선으로 돌아가 32년간 교장과 교사로 봉직하며 수많은 제자를 길러냈다.

30대	30/SN+대/NNB
나이에	나이/NNG+에/JKB
장학사를	장학사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
고인은	고인/NNG+은/JX
1961년	1961/SN+년/NNB
다시	다시/MAG
학교	학교/NNG
일선으로	일선/NNG+으로/JKB
돌아가	돌아가/VV+아/EC
32년간	32/SN+년/NNB+간/XSN
교장과	교장/NNG+과/JC
교사로	교사/NNG+로/JKB
봉직하며	봉직/NNG+하/XSV+며/EC
수많은	수많/VA+은/ETM
제자를	제자/NNG+를/JKO
길러냈다.	기르/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.99.6.2
1972년 경산 송림초에 부임, 구룡분교 일대 벽지 화전민촌에 전기가 들어오지 않는 것을 본 고인은 정부를 설득해 분교에 발전기를 설치하기도 했다.

1972년	1972/SN+년/NNB
경산	경산/NNP
송림초에	송림초/NNP+에/JKB
부임,	부임/NNG+,/SP
구룡분교	구룡/NNP+분교/NNG
일대	일대/NNG
벽지	벽지/NNG
화전민촌에	화전민촌/NNG+에/JKB
전기가	전기/NNG+가/JKS
들어오지	들어오/VV+지/EC
않는	않/VX+는/ETM
것을	것/NNB+을/JKO
본	보/VV+ㄴ/ETM
고인은	고인/NNG+은/JX
정부를	정부/NNG+를/JKO
설득해	설득/NNG+하/XSV+아/EC
분교에	분교/NNG+에/JKB
발전기를	발전기/NNG+를/JKO
설치하기도	설치/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.99.6.3
아들 건형(62)씨는 "밤이면 '암흑세계'로 변했던 그곳에 최초로 텔레비전 불빛이 밝혀졌을 때 남녀노소 모두 환호성을 지르며 넋을 잃고 활동사진을 바라봤다"며 "3년 뒤 송림초를 떠나실 때 마을 길을 가득 메운 주민이 아버지 손을 서로 잡으며 슬퍼하던 모습이 기억에 남는다고 입버릇처럼 말씀하셨다"고 말했다.

아들	아들/NNG
건형(62)씨는	건형/NNP+(/SS+62/SN+)/SS+씨/NNB+는/JX
"밤이면	"/SS+밤/NNG+이/VCP+면/EC
'암흑세계'로	'/SS+암흑세계/NNG+'/SS+로/JKB
변했던	변하/VV+았/EP+던/ETM
그곳에	그곳/NP+에/JKB
최초로	최초/NNG+로/JKB
텔레비전	텔레비전/NNG
불빛이	불빛/NNG+이/JKS
밝혀졌을	밝혀지/VV+었/EP+을/ETM
때	때/NNG
남녀노소	남녀노소/NNG
모두	모두/MAG
환호성을	환호성/NNG+을/JKO
지르며	지르/VV+며/EC
넋을	넋/NNG+을/JKO
잃고	잃/VV+고/EC
활동사진을	활동사진/NNG+을/JKO
바라봤다"며	바라보/VV+았/EP+다/EF+"/SS+며/EC
"3년	"/SS+3/SN+년/NNB
뒤	뒤/NNG
송림초를	송림초/NNP+를/JKO
떠나실	떠나/VV+시/EP+ㄹ/ETM
마을	마을/NNG
길을	길/NNG+을/JKO
가득	가득/MAG
메운	메우/VV+ㄴ/ETM
주민이	주민/NNG+이/JKS
아버지	아버지/NNG
손을	손/NNG+을/JKO
서로	서로/MAG
잡으며	잡/VV+으며/EC
슬퍼하던	슬퍼하/VV+던/ETM
모습이	모습/NNG+이/JKS
기억에	기억/NNG+에/JKB
남는다고	남/VV+는다고/EC
입버릇처럼	입버릇/NNG+처럼/JKB
말씀하셨다"고	말씀/NNG+하/XSV+시/EP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.7.1
의성 남부초 교장 시절인 1987년에는 여자 농구부를 창단했고, 1992년 안동 영호초 교장 때는 한·일 친선 축구 경기를 추진하기도 했다.

의성	의성/NNP
남부초	남부초/NNP
교장	교장/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1987년에는	1987/SN+년/NNB+에/JKB+는/JX
여자	여자/NNG
농구부를	농구부/NNG+를/JKO
창단했고,	창단/NNG+하/XSV+았/EP+고/EC+,/SP
1992년	1992/SN+년/NNB
안동	안동/NNP
영호초	영호초/NNP
때는	때/NNG+는/JX
한·일	한·일/NNP
친선	친선/NNG
축구	축구/NNG
경기를	경기/NNG+를/JKO
추진하기도	추진/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.99.7.2
교육에 대한 이러한 헌신을 인정받아 대통령면려포장(1960)·국민훈장목련장(1982)·국민훈장동백장(1993)을 받았다.

교육에	교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이러한	이러하/VA+ㄴ/ETM
헌신을	헌신/NNG+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
대통령면려포장(1960)·국민훈장목련장(1982)·국민훈장동백장(1993)을	대통령/NNG+면려/NNG+포장/NNG+(/SS+1960/SN+)/SS+·/SP+국민/NNG+훈장/NNG+목련장/NNG+(/SS+1982/SN+)/SS+·/SP+국민/NNG+훈장/NNG+동백장/NNG+(/SS+1993/SN+)/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.99.7.3
건형씨는 "정년 인터뷰를 하신 때가 1993년 2월이었는데, 공교롭게도 정확히 20년 뒤에 돌아가셨다"며 "후학을 위해 평생을 바친 아버지의 헌신과 열정이 오래도록 기억되기를 바란다"고 말했다.

건형씨는	건형/NNP+씨/NNB+는/JX
"정년	"/SS+정년/NNG
인터뷰를	인터뷰/NNG+를/JKO
하신	하/VV+시/EP+ㄴ/ETM
때가	때/NNG+가/JKS
1993년	1993/SN+년/NNB
2월이었는데,	2/SN+월/NNB+이/VCP+었/EP+는데/EC+,/SP
공교롭게도	공교롭/VA+게/EC+도/JX
정확히	정확히/MAG
20년	20/SN+년/NNB
뒤에	뒤/NNG+에/JKB
돌아가셨다"며	돌아가/VV+시/EP+었/EP+다/EF+"/SS+며/EC
"후학을	"/SS+후학/NNG+을/JKO
위해	위하/VV+아/EC
평생을	평생/NNG+을/JKO
바친	바치/VV+ㄴ/ETM
아버지의	아버지/NNG+의/JKG
헌신과	헌신/NNG+과/JC
열정이	열정/NNG+이/JKS
오래도록	오래도록/MAG
기억되기를	기억/NNG+되/XSV+기/ETN+를/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


